"query_type","rank","fragment_id","fragment_smiles","pathogen_combination","pathogen_count","total_compounds_both_pathogens","total_tp_count","total_tn_count","overall_avg_attribution","overall_min_attribution","avg_inactivity_rate_percent","pathogen_breakdown"
NEGATIVE SCAFFOLDS,1,11101,C1=NN=CSC=C1,S. aureus + E. coli (NOT C. albicans),2,108,0,108,-0.6184,-0.7616,100.00,"e_coli: 52 compounds (0 TP, 52 TN) | Avg Attr: -0.490 | Inactivity: 100.00% || s_aureus: 56 compounds (0 TP, 56 TN) | Avg Attr: -0.746 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,2,11102,C1=NN=C(NC2=CC=CC=C2)SC=C1,S. aureus + E. coli (NOT C. albicans),2,92,0,92,-0.7137,-0.7616,100.00,"e_coli: 44 compounds (0 TP, 44 TN) | Avg Attr: -0.740 | Inactivity: 100.00% || s_aureus: 48 compounds (0 TP, 48 TN) | Avg Attr: -0.687 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,3,2887,C(C1=NN2C=CN=C2S1)C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,72,0,72,-0.5636,-0.7616,100.00,"e_coli: 36 compounds (0 TP, 36 TN) | Avg Attr: -0.590 | Inactivity: 100.00% || s_aureus: 36 compounds (0 TP, 36 TN) | Avg Attr: -0.537 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,4,2890,C(C1=NN2C=C(C3=CC=CC=C3)N=C2S1)C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,72,0,72,-0.5634,-0.7616,100.00,"e_coli: 36 compounds (0 TP, 36 TN) | Avg Attr: -0.631 | Inactivity: 100.00% || s_aureus: 36 compounds (0 TP, 36 TN) | Avg Attr: -0.495 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,5,2891,C1=CC=C(C2=CN3N=C(C4=CNC5=CC=CC=C45)SC3=N2)C=C1,S. aureus + E. coli (NOT C. albicans),2,72,0,72,-0.5031,-0.7392,100.00,"e_coli: 36 compounds (0 TP, 36 TN) | Avg Attr: -0.585 | Inactivity: 100.00% || s_aureus: 36 compounds (0 TP, 36 TN) | Avg Attr: -0.421 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,6,2889,C1=CC=C2C(C3=NN4C=CN=C4S3)=CNC2=C1,S. aureus + E. coli (NOT C. albicans),2,72,0,72,-0.4887,-0.7616,100.00,"e_coli: 36 compounds (0 TP, 36 TN) | Avg Attr: -0.538 | Inactivity: 100.00% || s_aureus: 36 compounds (0 TP, 36 TN) | Avg Attr: -0.439 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,7,2888,C1=CC=C(C2=CN3N=C(C4=CNC=C4)SC3=N2)C=C1,S. aureus + E. coli (NOT C. albicans),2,71,0,71,-0.3419,-0.5972,100.00,"e_coli: 35 compounds (0 TP, 35 TN) | Avg Attr: -0.371 | Inactivity: 100.00% || s_aureus: 36 compounds (0 TP, 36 TN) | Avg Attr: -0.313 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,8,11109,C1=NN=CC2=CC3=CC=CC=C3N=C2S1,S. aureus + E. coli (NOT C. albicans),2,68,0,68,-0.4304,-0.7616,100.00,"e_coli: 30 compounds (0 TP, 30 TN) | Avg Attr: -0.319 | Inactivity: 100.00% || s_aureus: 38 compounds (0 TP, 38 TN) | Avg Attr: -0.542 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,9,2886,C1=CN2N=C(C3=CNC=C3)SC2=N1,S. aureus + E. coli (NOT C. albicans),2,68,0,68,-0.3953,-0.7063,100.00,"e_coli: 33 compounds (0 TP, 33 TN) | Avg Attr: -0.361 | Inactivity: 100.00% || s_aureus: 35 compounds (0 TP, 35 TN) | Avg Attr: -0.430 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,10,27189,C(CNC1=CC=CC=C1)NC1CCCCC1,S. aureus + E. coli (NOT C. albicans),2,67,0,67,-0.5851,-0.7557,100.00,"e_coli: 33 compounds (0 TP, 33 TN) | Avg Attr: -0.532 | Inactivity: 100.00% || s_aureus: 34 compounds (0 TP, 34 TN) | Avg Attr: -0.638 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,11,5501,C1=CC=C(OCC2=CC=NO2)C=C1,S. aureus + E. coli (NOT C. albicans),2,67,0,67,-0.4899,-0.7616,100.00,"e_coli: 35 compounds (0 TP, 35 TN) | Avg Attr: -0.560 | Inactivity: 100.00% || s_aureus: 32 compounds (0 TP, 32 TN) | Avg Attr: -0.419 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,12,11107,C1=NN=C(NC2=CC=CC=C2)SC(=C1)NC1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,66,0,66,-0.7097,-0.7616,100.00,"e_coli: 32 compounds (0 TP, 32 TN) | Avg Attr: -0.734 | Inactivity: 100.00% || s_aureus: 34 compounds (0 TP, 34 TN) | Avg Attr: -0.685 | Inactivity: 100.00%"
