"query_type","rank","fragment_id","fragment_smiles","pathogen_combination","pathogen_count","total_compounds_both_pathogens","total_tp_count","total_tn_count","overall_avg_attribution","overall_max_attribution","avg_activity_rate_percent","pathogen_breakdown"
POSITIVE SCAFFOLDS,1,355,C1=CC2=C(N=C1)NC=CC2,S. aureus + E. coli (NOT C. albicans),2,622,609,13,0.6759,0.7616,97.60,"e_coli: 270 compounds (257 TP, 13 TN) | Avg Attr: 0.658 | Activity: 95.19% || s_aureus: 352 compounds (352 TP, 0 TN) | Avg Attr: 0.694 | Activity: 100.00%"
POSITIVE SCAFFOLDS,2,5438,C1=CC=C(N2CCC2)C=C1,S. aureus + E. coli (NOT C. albicans),2,352,350,2,0.4287,0.6660,99.46,"e_coli: 183 compounds (181 TP, 2 TN) | Avg Attr: 0.333 | Activity: 98.91% || s_aureus: 169 compounds (169 TP, 0 TN) | Avg Attr: 0.525 | Activity: 100.00%"
POSITIVE SCAFFOLDS,3,2227,C1COC2=CC=C(CNC34CCC(CCC5=CC=NC=C5)(CC3)OC4)N=C2N1,S. aureus + E. coli (NOT C. albicans),2,322,322,0,0.7053,0.7616,100.00,"e_coli: 160 compounds (160 TP, 0 TN) | Avg Attr: 0.720 | Activity: 100.00% || s_aureus: 162 compounds (162 TP, 0 TN) | Avg Attr: 0.691 | Activity: 100.00%"
POSITIVE SCAFFOLDS,4,2233,C1COC2=CC=C(CNC3CCC(CCC4=CC=NC=C4)OC3)N=C2N1,S. aureus + E. coli (NOT C. albicans),2,312,312,0,0.7042,0.7616,100.00,"e_coli: 155 compounds (155 TP, 0 TN) | Avg Attr: 0.720 | Activity: 100.00% || s_aureus: 157 compounds (157 TP, 0 TN) | Avg Attr: 0.688 | Activity: 100.00%"
POSITIVE SCAFFOLDS,5,2232,C1COC2=CC=C(CNC3CCC(CCC4=CC=NC=C4)CC3)N=C2N1,S. aureus + E. coli (NOT C. albicans),2,310,310,0,0.7027,0.7616,100.00,"e_coli: 154 compounds (154 TP, 0 TN) | Avg Attr: 0.708 | Activity: 100.00% || s_aureus: 156 compounds (156 TP, 0 TN) | Avg Attr: 0.698 | Activity: 100.00%"
POSITIVE SCAFFOLDS,6,356,C1=CC=C(N=C1)NC1CC1,S. aureus + E. coli (NOT C. albicans),2,314,306,8,0.4660,0.7207,97.19,"e_coli: 142 compounds (134 TP, 8 TN) | Avg Attr: 0.387 | Activity: 94.37% || s_aureus: 172 compounds (172 TP, 0 TN) | Avg Attr: 0.545 | Activity: 100.00%"
POSITIVE SCAFFOLDS,7,2244,C1=CC=C(CNCCCCCCC2=CC=NC=C2)N=C1,S. aureus + E. coli (NOT C. albicans),2,302,302,0,0.6604,0.7616,100.00,"e_coli: 149 compounds (149 TP, 0 TN) | Avg Attr: 0.648 | Activity: 100.00% || s_aureus: 153 compounds (153 TP, 0 TN) | Avg Attr: 0.673 | Activity: 100.00%"
POSITIVE SCAFFOLDS,8,359,C1=CC2=C(N=C1)N(C1CC1)C=CC2,S. aureus + E. coli (NOT C. albicans),2,306,301,5,0.6797,0.7616,98.16,"e_coli: 136 compounds (131 TP, 5 TN) | Avg Attr: 0.630 | Activity: 96.32% || s_aureus: 170 compounds (170 TP, 0 TN) | Avg Attr: 0.730 | Activity: 100.00%"
POSITIVE SCAFFOLDS,9,1200,C1O[C@@H](CN2C=CN=N2)CN1C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,323,295,28,0.6701,0.7616,81.03,"e_coli: 68 compounds (43 TP, 25 TN) | Avg Attr: 0.622 | Activity: 63.24% || s_aureus: 255 compounds (252 TP, 3 TN) | Avg Attr: 0.719 | Activity: 98.82%"
POSITIVE SCAFFOLDS,10,4360,C1=CN=C(N2CCCC2)C=C1,S. aureus + E. coli (NOT C. albicans),2,286,285,1,0.4663,0.7616,99.66,"e_coli: 146 compounds (145 TP, 1 TN) | Avg Attr: 0.387 | Activity: 99.32% || s_aureus: 140 compounds (140 TP, 0 TN) | Avg Attr: 0.546 | Activity: 100.00%"
POSITIVE SCAFFOLDS,11,1196,C1NC[C@H](CN2C=CN=N2)O1,S. aureus + E. coli (NOT C. albicans),2,326,283,43,0.6698,0.7616,75.40,"e_coli: 82 compounds (43 TP, 39 TN) | Avg Attr: 0.672 | Activity: 52.44% || s_aureus: 244 compounds (240 TP, 4 TN) | Avg Attr: 0.668 | Activity: 98.36%"
POSITIVE SCAFFOLDS,12,4361,C1=CNC2=C(C1)C=CC(N1CCCC1)=N2,S. aureus + E. coli (NOT C. albicans),2,282,282,0,0.7306,0.7616,100.00,"e_coli: 141 compounds (141 TP, 0 TN) | Avg Attr: 0.727 | Activity: 100.00% || s_aureus: 141 compounds (141 TP, 0 TN) | Avg Attr: 0.734 | Activity: 100.00%"
POSITIVE SCAFFOLDS,13,1194,C1=CC=C(NCCCN2C=CN=N2)C=C1,S. aureus + E. coli (NOT C. albicans),2,314,282,32,0.6932,0.7616,79.24,"e_coli: 72 compounds (43 TP, 29 TN) | Avg Attr: 0.661 | Activity: 59.72% || s_aureus: 242 compounds (239 TP, 3 TN) | Avg Attr: 0.726 | Activity: 98.76%"
POSITIVE SCAFFOLDS,14,2237,C1COC2=CC=C(CNCCCCCCC3=CC=NC=C3)N=C2N1,S. aureus + E. coli (NOT C. albicans),2,280,280,0,0.7058,0.7616,100.00,"e_coli: 139 compounds (139 TP, 0 TN) | Avg Attr: 0.713 | Activity: 100.00% || s_aureus: 141 compounds (141 TP, 0 TN) | Avg Attr: 0.699 | Activity: 100.00%"
POSITIVE SCAFFOLDS,15,2246,C1COC2=CC=C(CNC34CCC(CC3)OC4)N=C2N1,S. aureus + E. coli (NOT C. albicans),2,272,272,0,0.6095,0.7616,100.00,"e_coli: 135 compounds (135 TP, 0 TN) | Avg Attr: 0.699 | Activity: 100.00% || s_aureus: 137 compounds (137 TP, 0 TN) | Avg Attr: 0.520 | Activity: 100.00%"
POSITIVE SCAFFOLDS,16,2221,C1COC2=CC=C(CNC34CCC(CCC5=CC=NC6=CC=CN=C56)(CC3)OC4)N=C2N1,S. aureus + E. coli (NOT C. albicans),2,270,270,0,0.7068,0.7616,100.00,"e_coli: 135 compounds (135 TP, 0 TN) | Avg Attr: 0.711 | Activity: 100.00% || s_aureus: 135 compounds (135 TP, 0 TN) | Avg Attr: 0.703 | Activity: 100.00%"
POSITIVE SCAFFOLDS,17,2242,C1=CC=C(CNC2CCC(CCC3=CC=NC=C3)OC2)N=C1,S. aureus + E. coli (NOT C. albicans),2,266,266,0,0.6723,0.7616,100.00,"e_coli: 131 compounds (131 TP, 0 TN) | Avg Attr: 0.672 | Activity: 100.00% || s_aureus: 135 compounds (135 TP, 0 TN) | Avg Attr: 0.673 | Activity: 100.00%"
POSITIVE SCAFFOLDS,18,2238,C1=CC=C(CNC23CCC(CCC4=CC=NC=C4)(CC2)OC3)N=C1,S. aureus + E. coli (NOT C. albicans),2,264,264,0,0.6719,0.7616,100.00,"e_coli: 130 compounds (130 TP, 0 TN) | Avg Attr: 0.674 | Activity: 100.00% || s_aureus: 134 compounds (134 TP, 0 TN) | Avg Attr: 0.670 | Activity: 100.00%"
POSITIVE SCAFFOLDS,19,2241,C1=CC=C(CNC2CCC(CCC3=CC=NC=C3)CC2)N=C1,S. aureus + E. coli (NOT C. albicans),2,264,264,0,0.6705,0.7609,100.00,"e_coli: 130 compounds (130 TP, 0 TN) | Avg Attr: 0.671 | Activity: 100.00% || s_aureus: 134 compounds (134 TP, 0 TN) | Avg Attr: 0.670 | Activity: 100.00%"
POSITIVE SCAFFOLDS,20,2223,C1COC2=CC=C(CNC3CCC(CCC4=CC=NC5=CC=CN=C45)OC3)N=C2N1,S. aureus + E. coli (NOT C. albicans),2,262,262,0,0.7049,0.7616,100.00,"e_coli: 131 compounds (131 TP, 0 TN) | Avg Attr: 0.709 | Activity: 100.00% || s_aureus: 131 compounds (131 TP, 0 TN) | Avg Attr: 0.701 | Activity: 100.00%"
POSITIVE SCAFFOLDS,21,2222,C1COC2=CC=C(CNC3CCC(CCC4=CC=NC5=CC=CN=C45)CC3)N=C2N1,S. aureus + E. coli (NOT C. albicans),2,260,260,0,0.6978,0.7616,100.00,"e_coli: 130 compounds (130 TP, 0 TN) | Avg Attr: 0.685 | Activity: 100.00% || s_aureus: 130 compounds (130 TP, 0 TN) | Avg Attr: 0.711 | Activity: 100.00%"
POSITIVE SCAFFOLDS,22,2224,C1COC2=CC=C(CNC34CCC(CCCC5=NC=CC=C5)(CC3)OC4)N=C2N1,S. aureus + E. coli (NOT C. albicans),2,236,236,0,0.7209,0.7616,100.00,"e_coli: 118 compounds (118 TP, 0 TN) | Avg Attr: 0.724 | Activity: 100.00% || s_aureus: 118 compounds (118 TP, 0 TN) | Avg Attr: 0.718 | Activity: 100.00%"
POSITIVE SCAFFOLDS,23,11671,C1=CNC2=CC(N3CCC3)=CC=C2C1,S. aureus + E. coli (NOT C. albicans),2,234,234,0,0.7274,0.7616,100.00,"e_coli: 121 compounds (121 TP, 0 TN) | Avg Attr: 0.731 | Activity: 100.00% || s_aureus: 113 compounds (113 TP, 0 TN) | Avg Attr: 0.724 | Activity: 100.00%"
POSITIVE SCAFFOLDS,24,2243,C(CCCCCCNCC1=CC=CC=N1)C1=NC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,232,232,0,0.6609,0.7616,100.00,"e_coli: 115 compounds (115 TP, 0 TN) | Avg Attr: 0.635 | Activity: 100.00% || s_aureus: 117 compounds (117 TP, 0 TN) | Avg Attr: 0.687 | Activity: 100.00%"
POSITIVE SCAFFOLDS,25,2099,C1=CC2=CC=CCN2C=C1,S. aureus + E. coli (NOT C. albicans),2,228,228,0,0.7158,0.7616,100.00,"e_coli: 117 compounds (117 TP, 0 TN) | Avg Attr: 0.708 | Activity: 100.00% || s_aureus: 111 compounds (111 TP, 0 TN) | Avg Attr: 0.724 | Activity: 100.00%"
POSITIVE SCAFFOLDS,26,2236,C1=CC=C(CNCCCCCCC2=CC=NC3=CC=CN=C23)N=C1,S. aureus + E. coli (NOT C. albicans),2,226,226,0,0.6768,0.7616,100.00,"e_coli: 112 compounds (112 TP, 0 TN) | Avg Attr: 0.678 | Activity: 100.00% || s_aureus: 114 compounds (114 TP, 0 TN) | Avg Attr: 0.675 | Activity: 100.00%"
