"query_type","rank","fragment_id","fragment_smiles","pathogen_combination","pathogen_count","total_compounds_both_pathogens","total_tp_count","total_tn_count","overall_avg_attribution","overall_max_attribution","avg_activity_rate_percent","pathogen_breakdown"
POSITIVE SUBSTITUENTS,1,2250,N-C-CF,S. aureus + E. coli (NOT C. albicans),2,469,469,0,0.3570,0.3808,100.00,"e_coli: 182 compounds (182 TP, 0 TN) | Avg Attr: 0.350 | Activity: 100.00% || s_aureus: 287 compounds (287 TP, 0 TN) | Avg Attr: 0.364 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,2,5524,O=CC1=CSNC1=O,S. aureus + E. coli (NOT C. albicans),2,226,226,0,0.2388,0.3808,100.00,"e_coli: 104 compounds (104 TP, 0 TN) | Avg Attr: 0.172 | Activity: 100.00% || s_aureus: 122 compounds (122 TP, 0 TN) | Avg Attr: 0.306 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,3,2178,CC1=C(Cl)C(Cl)=C(C(N)=O)N1,S. aureus + E. coli (NOT C. albicans),2,165,157,8,0.2152,0.3808,95.23,"e_coli: 70 compounds (67 TP, 3 TN) | Avg Attr: 0.205 | Activity: 95.71% || s_aureus: 95 compounds (90 TP, 5 TN) | Avg Attr: 0.225 | Activity: 94.74%"
POSITIVE SUBSTITUENTS,4,11047,CC(C)C1=CSC=N1,S. aureus + E. coli (NOT C. albicans),2,137,136,1,0.2913,0.3808,99.31,"e_coli: 72 compounds (71 TP, 1 TN) | Avg Attr: 0.241 | Activity: 98.61% || s_aureus: 65 compounds (65 TP, 0 TN) | Avg Attr: 0.342 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,5,271,CCF,S. aureus + E. coli (NOT C. albicans),2,135,135,0,0.2873,0.3808,100.00,"e_coli: 58 compounds (58 TP, 0 TN) | Avg Attr: 0.305 | Activity: 100.00% || s_aureus: 77 compounds (77 TP, 0 TN) | Avg Attr: 0.270 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,6,90,CC(C)(ON)C(=O)O,S. aureus + E. coli (NOT C. albicans),2,130,129,1,0.3292,0.3808,99.45,"e_coli: 90 compounds (89 TP, 1 TN) | Avg Attr: 0.338 | Activity: 98.89% || s_aureus: 40 compounds (40 TP, 0 TN) | Avg Attr: 0.321 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,7,2296,O=C-C(C(=O)O)-C-NC1=CC=C(F)C=C1F,S. aureus + E. coli (NOT C. albicans),2,125,124,1,0.1240,0.2462,99.14,"e_coli: 58 compounds (57 TP, 1 TN) | Avg Attr: 0.121 | Activity: 98.28% || s_aureus: 67 compounds (67 TP, 0 TN) | Avg Attr: 0.127 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,8,542,C-C(F)-C-CNC,S. aureus + E. coli (NOT C. albicans),2,111,109,2,0.2130,0.3808,98.46,"e_coli: 46 compounds (46 TP, 0 TN) | Avg Attr: 0.214 | Activity: 100.00% || s_aureus: 65 compounds (63 TP, 2 TN) | Avg Attr: 0.212 | Activity: 96.92%"
POSITIVE SUBSTITUENTS,9,588,O=C(O)C1=CN(C2CC2)C2=C(F)C=C(F)C=C2C1=O,S. aureus + E. coli (NOT C. albicans),2,103,103,0,0.1277,0.2612,100.00,"e_coli: 4 compounds (4 TP, 0 TN) | Avg Attr: 0.110 | Activity: 100.00% || s_aureus: 99 compounds (99 TP, 0 TN) | Avg Attr: 0.145 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,10,4759,C-CF,S. aureus + E. coli (NOT C. albicans),2,103,102,1,0.3434,0.3808,98.89,"e_coli: 45 compounds (44 TP, 1 TN) | Avg Attr: 0.342 | Activity: 97.78% || s_aureus: 58 compounds (58 TP, 0 TN) | Avg Attr: 0.345 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,11,5692,O=C-C(C(=O)O)-C-NC1=CC=C(F)C=C1,S. aureus + E. coli (NOT C. albicans),2,100,100,0,0.1439,0.2376,100.00,"e_coli: 46 compounds (46 TP, 0 TN) | Avg Attr: 0.134 | Activity: 100.00% || s_aureus: 54 compounds (54 TP, 0 TN) | Avg Attr: 0.154 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,12,3232,C-C-C(=O)-NC,S. aureus + E. coli (NOT C. albicans),2,97,97,0,0.3391,0.3776,100.00,"e_coli: 36 compounds (36 TP, 0 TN) | Avg Attr: 0.322 | Activity: 100.00% || s_aureus: 61 compounds (61 TP, 0 TN) | Avg Attr: 0.356 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,13,4364,N[C@H]1CCNC1,S. aureus + E. coli (NOT C. albicans),2,91,91,0,0.2351,0.3808,100.00,"e_coli: 44 compounds (44 TP, 0 TN) | Avg Attr: 0.225 | Activity: 100.00% || s_aureus: 47 compounds (47 TP, 0 TN) | Avg Attr: 0.245 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,14,9398,NOCCF,S. aureus + E. coli (NOT C. albicans),2,86,86,0,0.2828,0.3808,100.00,"e_coli: 48 compounds (48 TP, 0 TN) | Avg Attr: 0.312 | Activity: 100.00% || s_aureus: 38 compounds (38 TP, 0 TN) | Avg Attr: 0.254 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,15,16940,C-C-CC(=O)N(C(CO)CO)C=O,S. aureus + E. coli (NOT C. albicans),2,84,84,0,0.3075,0.3608,100.00,"e_coli: 39 compounds (39 TP, 0 TN) | Avg Attr: 0.280 | Activity: 100.00% || s_aureus: 45 compounds (45 TP, 0 TN) | Avg Attr: 0.335 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,16,15263,O=C-C(C(=O)O)-C-NC1=CC=C(O)C=C1,S. aureus + E. coli (NOT C. albicans),2,82,82,0,0.1696,0.3076,100.00,"e_coli: 33 compounds (33 TP, 0 TN) | Avg Attr: 0.126 | Activity: 100.00% || s_aureus: 49 compounds (49 TP, 0 TN) | Avg Attr: 0.213 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,17,8044,C-C(F)-C-N,S. aureus + E. coli (NOT C. albicans),2,81,80,1,0.3715,0.3808,98.81,"e_coli: 39 compounds (39 TP, 0 TN) | Avg Attr: 0.375 | Activity: 100.00% || s_aureus: 42 compounds (41 TP, 1 TN) | Avg Attr: 0.368 | Activity: 97.62%"
POSITIVE SUBSTITUENTS,18,2978,C[N+]C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,82,77,5,0.3424,0.3808,95.69,"e_coli: 24 compounds (24 TP, 0 TN) | Avg Attr: 0.320 | Activity: 100.00% || s_aureus: 58 compounds (53 TP, 5 TN) | Avg Attr: 0.365 | Activity: 91.38%"
POSITIVE SUBSTITUENTS,19,18867,O=C-NC1CC1,S. aureus + E. coli (NOT C. albicans),2,77,77,0,0.3296,0.3808,100.00,"e_coli: 27 compounds (27 TP, 0 TN) | Avg Attr: 0.302 | Activity: 100.00% || s_aureus: 50 compounds (50 TP, 0 TN) | Avg Attr: 0.357 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,20,623,CCNCC1CCNC1,S. aureus + E. coli (NOT C. albicans),2,76,76,0,0.1726,0.3028,100.00,"e_coli: 23 compounds (23 TP, 0 TN) | Avg Attr: 0.117 | Activity: 100.00% || s_aureus: 53 compounds (53 TP, 0 TN) | Avg Attr: 0.228 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,21,9395,NC1=NC(/C(=N\OCCF)C(=O)NCC=O)=CS1,S. aureus + E. coli (NOT C. albicans),2,75,75,0,0.1930,0.3376,100.00,"e_coli: 40 compounds (40 TP, 0 TN) | Avg Attr: 0.158 | Activity: 100.00% || s_aureus: 35 compounds (35 TP, 0 TN) | Avg Attr: 0.228 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,22,9394,NC(=O)/C(=N/OCCF)C1=CSC(N)=N1,S. aureus + E. coli (NOT C. albicans),2,74,74,0,0.1410,0.2397,100.00,"e_coli: 37 compounds (37 TP, 0 TN) | Avg Attr: 0.112 | Activity: 100.00% || s_aureus: 37 compounds (37 TP, 0 TN) | Avg Attr: 0.170 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,23,8147,C[C@@H]1C[C@H](N(C)C)[C@@H](O)[C@H](O)O1,S. aureus + E. coli (NOT C. albicans),2,75,73,2,0.3079,0.3808,97.92,"e_coli: 27 compounds (27 TP, 0 TN) | Avg Attr: 0.283 | Activity: 100.00% || s_aureus: 48 compounds (46 TP, 2 TN) | Avg Attr: 0.332 | Activity: 95.83%"
POSITIVE SUBSTITUENTS,24,361,O=C(O)C1=CN(C2CC2)C2=C(C=C(F)C=N2)C1=O,S. aureus + E. coli (NOT C. albicans),2,69,69,0,0.1249,0.2164,100.00,"e_coli: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.119 | Activity: 100.00% || s_aureus: 59 compounds (59 TP, 0 TN) | Avg Attr: 0.131 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,25,3205,CCCC[C@@H](C=O)CN(O)C=O,S. aureus + E. coli (NOT C. albicans),2,72,68,4,0.3107,0.3808,81.82,"e_coli: 11 compounds (7 TP, 4 TN) | Avg Attr: 0.281 | Activity: 63.64% || s_aureus: 61 compounds (61 TP, 0 TN) | Avg Attr: 0.341 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,26,269,O=C-C(C(=O)O)-C-NCCF,S. aureus + E. coli (NOT C. albicans),2,67,67,0,0.1779,0.2865,100.00,"e_coli: 27 compounds (27 TP, 0 TN) | Avg Attr: 0.140 | Activity: 100.00% || s_aureus: 40 compounds (40 TP, 0 TN) | Avg Attr: 0.216 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,27,24509,NN(-C=O)-C=O,S. aureus + E. coli (NOT C. albicans),2,65,65,0,0.2974,0.3638,100.00,"e_coli: 34 compounds (34 TP, 0 TN) | Avg Attr: 0.339 | Activity: 100.00% || s_aureus: 31 compounds (31 TP, 0 TN) | Avg Attr: 0.256 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,28,4284,CC(C)(O/N=C(\C(=O)NCC=O)C1=CN=C(N)S1)C(=O)O,S. aureus + E. coli (NOT C. albicans),2,65,65,0,0.2268,0.3559,100.00,"e_coli: 35 compounds (35 TP, 0 TN) | Avg Attr: 0.131 | Activity: 100.00% || s_aureus: 30 compounds (30 TP, 0 TN) | Avg Attr: 0.323 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,29,7348,CO[C@H]1CNCC[C@H]1NC(=O)C1=C(Cl)C(Cl)=C(C)N1,S. aureus + E. coli (NOT C. albicans),2,65,65,0,0.2103,0.2854,100.00,"e_coli: 26 compounds (26 TP, 0 TN) | Avg Attr: 0.225 | Activity: 100.00% || s_aureus: 39 compounds (39 TP, 0 TN) | Avg Attr: 0.196 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,30,28806,NN(-C=O)-C(=O)-NC1CC1,S. aureus + E. coli (NOT C. albicans),2,64,64,0,0.2445,0.3094,100.00,"e_coli: 33 compounds (33 TP, 0 TN) | Avg Attr: 0.244 | Activity: 100.00% || s_aureus: 31 compounds (31 TP, 0 TN) | Avg Attr: 0.245 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,31,16941,O=CN(C(CO)CO)C=O,S. aureus + E. coli (NOT C. albicans),2,63,63,0,0.2121,0.3720,100.00,"e_coli: 18 compounds (18 TP, 0 TN) | Avg Attr: 0.126 | Activity: 100.00% || s_aureus: 45 compounds (45 TP, 0 TN) | Avg Attr: 0.298 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,32,16340,N[C@@H]1CNC[C@H](N)C1,S. aureus + E. coli (NOT C. albicans),2,61,61,0,0.3303,0.3808,100.00,"e_coli: 34 compounds (34 TP, 0 TN) | Avg Attr: 0.330 | Activity: 100.00% || s_aureus: 27 compounds (27 TP, 0 TN) | Avg Attr: 0.331 | Activity: 100.00%"
