"rank","compound_id","smiles","mw","logp","tpsa","hbd","hba","rings","ar_rings","hetero_atoms","hetero_cycles","ec_pred","sa_pred","ca_pred","avg_attr","max_attr","num_fragments","score","pattern","select_compliance"
1,CHEMBL3781864,COC1=CC(O)=C(C(=O)/C=C/C2=CC=C(OC)C(OCC3=CN(C4=CC=C(F)C=C4F)N=N3)=C2)C(OC)=C1,523.5,4.75,104.9,1,9,4,4,11,1,0.610,0.337,0.445,0.577,0.762,8,0.288,E. coli-specific (IIA),Outside windows
2,CHEMBL324842,O=C(/C=C/C1=CC=C(O)C(O)=C1)O[C@H](CC1=CC=C(O)C(O)=C1)C(=O)O,360.3,1.76,144.5,5,8,2,2,8,0,0.485,0.100,0.038,0.571,0.762,2,0.536,E. coli-specific (IIA),Outside windows
3,CHEMBL1213376,COC1=CC=C(CCN2CN=C(SCC3=CC=C(Cl)C=C3)NC2)C=C1OC,406.0,4.01,46.1,1,5,3,2,7,1,0.668,0.018,0.043,0.566,0.762,8,0.283,E. coli-specific (IIA),Outside windows
4,CHEMBL2298038,CC1=CC=C2N=C(Cl)C(C3CC(C4=CC=CC=C4[N+](=O)[O-])=NN3C3=NC(=O)CS3)=CC2=C1,465.9,4.89,101.1,0,8,5,3,10,3,0.720,0.041,0.004,0.559,0.762,24,0.529,E. coli-specific (IIA),Outside windows
5,CHEMBL2298047,CC1=CC=C2N=C(Cl)C(C3CC(C4=CC=CC=C4F)=NN3C3=NC(=O)CS3)=CC2=C1,438.9,5.12,57.9,0,5,5,3,8,3,0.648,0.061,0.004,0.551,0.762,24,0.525,E. coli-specific (IIA),Outside windows
6,CHEMBL2298037,CC1=CC=C2N=C(Cl)C(C3CC(C4=CC=C(F)C=C4)=NN3C3=NC(=O)CS3)=CC2=C1,438.9,5.12,57.9,0,5,5,3,8,3,0.649,0.082,0.004,0.546,0.762,24,0.523,E. coli-specific (IIA),Outside windows
7,CHEMBL2298040,CC1=CC=C2N=C(Cl)C(C3CC(C4=CC=C([N+](=O)[O-])C=C4)=NN3C3=NC(=O)CS3)=CC2=C1,465.9,4.89,101.1,0,8,5,3,10,3,0.658,0.052,0.004,0.545,0.762,24,0.523,E. coli-specific (IIA),Outside windows
8,CHEMBL2159914,O=C1CSC(N2N=C(C3=CC=CC=C3F)CC2C2=CC3=CC(F)=CC=C3N=C2Cl)=N1,442.9,4.95,57.9,0,5,5,3,9,3,0.696,0.074,0.005,0.536,0.762,24,0.518,E. coli-specific (IIA),Outside windows
9,CHEMBL2159917,O=C1CSC(N2N=C(C3=CC=CC=C3[N+](=O)[O-])CC2C2=CC3=CC(F)=CC=C3N=C2Cl)=N1,469.9,4.72,101.1,0,8,5,3,11,3,0.758,0.050,0.004,0.529,0.762,25,0.515,E. coli-specific (IIA),Outside windows
10,CHEMBL2159919,O=C1CSC(N2N=C(C3=CC=C([N+](=O)[O-])C=C3)CC2C2=CC3=CC(F)=CC=C3N=C2Cl)=N1,469.9,4.72,101.1,0,8,5,3,11,3,0.703,0.065,0.004,0.529,0.762,24,0.515,E. coli-specific (IIA),Outside windows
