"rank","fragment_id","fragment_smiles","total_compounds","tp_count","tn_count","fp_count","fn_count","avg_attribution","min_attribution","inactivity_rate_percent","negative_appearances","total_appearances","negative_consistency_percent","min_attribution_ever","max_attribution_ever","lowest_attribution_example","highest_attribution_example","active_negative_attribution_example","inactive_positive_attribution_example"
1,227719,C([N-]SOC1=CC=CC=C1)NC1=NC=CC=N1,54,0,54,0,0,-0.7492,-0.7616,100.00,54,54,100.0,-0.762,-0.598,LOWEST ATTR (INACTIVE): CHEMBL4515297 | SMILES: COC(=O)C1=CC=CC=C1OS(=O)(=O)[N-]C(=O)NC1=NC(C)=CC(Cl)=N1 | Attribution: -0.762 | Prediction: 0.011 | MW: 399.8 | LogP: 2.45,HIGHEST ATTR (INACTIVE): CHEMBL4450886 | SMILES: COC1=CC(OC)=NC(NC(=O)[N-]S(=O)(=O)OC2=CC=CC=C2C(=O)OC2=CC=CC=C2)=N1 | Attribution: -0.598 | Prediction: 0.092 | MW: 473.4 | LogP: 2.94,,
2,227739,C1=CC=C(CC(CN2C=NC=N2)C2=CC=CC=C2)C=C1,50,0,50,0,0,-0.6091,-0.7616,100.00,48,50,96.0,-0.762,-0.067,LOWEST ATTR (INACTIVE): CHEMBL418706 | SMILES: CC(O)(C1=CC=C(F)C=C1)C(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1Cl | Attribution: -0.762 | Prediction: 0.029 | MW: 396.2 | LogP: 3.52,HIGHEST ATTR (INACTIVE): CHEMBL2051995 | SMILES: O=S1O[C@H](C2=CC=CC=C2)[C@](CN2C=NC=N2)(C2=CC=C(Cl)C=C2Cl)O1 | Attribution: -0.067 | Prediction: 0.008 | MW: 410.3 | LogP: 3.85,,
3,227599,C(CSC1=NN=NN1)N/N=C/C1=CC=CC=C1,31,0,31,0,0,-0.7616,-0.7616,100.00,31,31,100.0,-0.762,-0.762,LOWEST ATTR (INACTIVE): CHEMBL2204116 | SMILES: CN1N=NN=C1SCC(=O)N/N=C/C1=CC=CC=C1Br | Attribution: -0.762 | Prediction: 0.006 | MW: 355.2 | LogP: 1.22,HIGHEST ATTR (INACTIVE): CHEMBL2204131 | SMILES: C/C(=N\NC(=O)CSC1=NN=NN1C)C1=CC(Cl)=CC=C1Cl | Attribution: -0.762 | Prediction: 0.009 | MW: 359.2 | LogP: 2.15,,
4,227393,C1=CC=C(CN2CC=CC3=C2C=CS3)C=C1,26,0,26,0,0,-0.4894,-0.7616,100.00,23,26,88.5,-0.762,0.217,LOWEST ATTR (INACTIVE): CHEMBL5176193 | SMILES: O=C(NCC1=CC(F)=CC(F)=C1)C1=C(O)C2=C(C=CS2)N(CC2=CC=CC=C2)C1=O | Attribution: -0.762 | Prediction: 0.080 | MW: 426.4 | LogP: 4.03,HIGHEST ATTR (INACTIVE): CHEMBL5191109 | SMILES: CC(NC(=O)C1=C(O)C2=C(C=CS2)N(CC2=CC=CC=C2)C1=O)C1=CC=C(F)C=C1 | Attribution: 0.217 | Prediction: 0.027 | MW: 422.5 | LogP: 4.45,,INACTIVE w/ POS ATTR: CHEMBL5191109 | SMILES: CC(NC(=O)C1=C(O)C2=C(C=CS2)N(CC2=CC=CC=C2)C1=O)C1=CC=C(F)C=C1 | Attribution: 0.217 | Prediction: 0.027 | MW: 422.5
5,227389,C1=CC2=C(C=CS2)NC1,26,0,26,0,0,-0.2539,-0.7180,100.00,19,26,73.1,-0.718,0.320,LOWEST ATTR (INACTIVE): CHEMBL5178538 | SMILES: CSC1=CC=C(CNC(=O)C2=C(O)C3=C(C=CS3)N(CC3=CC=CC=C3)C2=O)C=C1 | Attribution: -0.718 | Prediction: 0.058 | MW: 436.6 | LogP: 4.47,HIGHEST ATTR (INACTIVE): CHEMBL5180033 | SMILES: O=C(NCCC1=CC=CS1)C1=C(O)C2=C(C=CS2)N(CC2=CC=CC=C2)C1=O | Attribution: 0.320 | Prediction: 0.043 | MW: 410.5 | LogP: 3.85,,INACTIVE w/ POS ATTR: CHEMBL5180033 | SMILES: O=C(NCCC1=CC=CS1)C1=C(O)C2=C(C=CS2)N(CC2=CC=CC=C2)C1=O | Attribution: 0.320 | Prediction: 0.043 | MW: 410.5
6,229912,C1NC2=CC=CC=C2C2(CCNCC2)O1,25,0,25,0,0,-0.5725,-0.7391,100.00,25,25,100.0,-0.739,-0.235,LOWEST ATTR (INACTIVE): CHEMBL5426045 | SMILES: COC1=CC=C2NC(=O)OC3(CCN(C(=O)/C=C/C(=O)NC4=CC=C(C(F)(F)F)C=C4C(F)(F)F)CC3)C2=C1 | Attribution: -0.739 | Prediction: 0.313 | MW: 557.4 | LogP: 5.31,HIGHEST ATTR (INACTIVE): CHEMBL5431760 | SMILES: COC1=CC=C2NC(=O)OC3(CCN(C(=O)CC(=O)NC4=CC=C(Br)C=C4)CC3)C2=C1 | Attribution: -0.235 | Prediction: 0.018 | MW: 488.3 | LogP: 3.87,,
7,229907,C1NC=CC2(CCNCC2)O1,25,0,25,0,0,-0.5237,-0.7373,100.00,25,25,100.0,-0.737,-0.129,LOWEST ATTR (INACTIVE): CHEMBL5426045 | SMILES: COC1=CC=C2NC(=O)OC3(CCN(C(=O)/C=C/C(=O)NC4=CC=C(C(F)(F)F)C=C4C(F)(F)F)CC3)C2=C1 | Attribution: -0.737 | Prediction: 0.313 | MW: 557.4 | LogP: 5.31,HIGHEST ATTR (INACTIVE): CHEMBL5431760 | SMILES: COC1=CC=C2NC(=O)OC3(CCN(C(=O)CC(=O)NC4=CC=C(Br)C=C4)CC3)C2=C1 | Attribution: -0.129 | Prediction: 0.018 | MW: 488.3 | LogP: 3.87,,
8,229908,C1=CC=C(C=C1)C1CCNCC1,25,0,25,0,0,-0.5060,-0.6923,100.00,25,25,100.0,-0.692,-0.233,LOWEST ATTR (INACTIVE): CHEMBL5404857 | SMILES: COC1=CC=C(NC(=O)C(O)C(O)C(=O)N2CCC3(CC2)OC(=O)NC2=CC=C(OC)C=C23)C=C1 | Attribution: -0.692 | Prediction: 0.024 | MW: 485.5 | LogP: 1.44,HIGHEST ATTR (INACTIVE): CHEMBL5432731 | SMILES: COC1=CC=C2NC(=O)OC3(CCN(C(=O)CCC(=O)NC4=CC=C(Br)C=C4)CC3)C2=C1 | Attribution: -0.233 | Prediction: 0.014 | MW: 502.4 | LogP: 4.26,,
9,227879,C(C1=CC=CC=C1)C(CN1C=NC=N1)C1=CC=CC=C1,24,1,23,0,0,-0.6126,-0.7577,95.83,24,24,100.0,-0.758,-0.109,LOWEST ATTR (INACTIVE): CHEMBL10593 | SMILES: O=C(C1=CC=C(Cl)C=C1Cl)C(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1 | Attribution: -0.758 | Prediction: 0.084 | MW: 396.7 | LogP: 4.01,HIGHEST ATTR (ACTIVE): CHEMBL1169574 | SMILES: O=C(C1=CC=C(Cl)C=C1Cl)[C@@](O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1Cl | Attribution: -0.109 | Prediction: 0.664 | MW: 431.1 | LogP: 4.66,ACTIVE w/ NEG ATTR: CHEMBL1169574 | SMILES: O=C(C1=CC=C(Cl)C=C1Cl)[C@@](O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1Cl | Attribution: -0.109 | Prediction: 0.664 | MW: 431.1,
10,229381,C1OCC(C2=CC=CC=C2)O1,20,0,20,0,0,-0.5134,-0.7406,100.00,20,20,100.0,-0.741,-0.381,LOWEST ATTR (INACTIVE): CHEMBL10449 | SMILES: O=C1O[C@H](C2=CC=C(F)C=C2)[C@@](CN2C=CN=C2)(C2=CC=C(Cl)C=C2Cl)O1 | Attribution: -0.741 | Prediction: 0.051 | MW: 407.2 | LogP: 5.13,HIGHEST ATTR (INACTIVE): CHEMBL10394 | SMILES: O=C1O[C@H](C2=CC=C(Cl)C=C2)[C@](CN2C=NC=N2)(C2=CC=C(Cl)C=C2Cl)O1 | Attribution: -0.381 | Prediction: 0.145 | MW: 424.7 | LogP: 5.04,,
