"rank","fragment_id","fragment_smiles","total_compounds","tp_count","tn_count","fp_count","fn_count","avg_attribution","min_attribution","inactivity_rate_percent","negative_appearances","total_appearances","negative_consistency_percent","min_attribution_ever","max_attribution_ever","example_tn_compounds","lowest_attribution_example","highest_attribution_example","active_negative_attribution_example","inactive_positive_attribution_example"
1,208042,C[C@H](O)C1=C(Cl)C=CC(F)=C1Cl,30,1,29,0,0,-0.2333,-0.3808,96.67,25,30,83.3,-0.381,0.096,Compound: CHEMBL5075706 | SMILES: C[C@H](OC1=CC=NC(C2CC2)=N1)C1=C(Cl)C=CC(F)=C1Cl | Attribution: -0.352 | Prediction: 0.066 | MW: 327.2 | LogP: 4.94 || Compound: CHEMBL5089183 | SMILES: CC1=CC(O[C@@H](C)C2=C(Cl)C=CC(F)=C2Cl)=CC=C1/C=C/C(=O)O | Attribution: -0.381 | Prediction: 0.178 | MW: 369.2 | LogP: 5.68 || Compound: CHEMBL5085788 | SMILES: C[C@H](OC1=CC=C(/C=C/C(=O)O)C=C1)C1=C(Cl)C=CC(F)=C1Cl | Attribution: -0.381 | Prediction: 0.230 | MW: 355.2 | LogP: 5.37,LOWEST ATTR (INACTIVE): CHEMBL5089183 | SMILES: CC1=CC(O[C@@H](C)C2=C(Cl)C=CC(F)=C2Cl)=CC=C1/C=C/C(=O)O | Attribution: -0.381 | Prediction: 0.178 | MW: 369.2 | LogP: 5.68,HIGHEST ATTR (INACTIVE): CHEMBL5094212 | SMILES: C[C@H](OC1=CC=C2N=CC(S(=O)(=O)CC(=O)O)=C(C3CC3)C2=C1)C1=C(Cl)C=CC(F)=C1Cl | Attribution: 0.096 | Prediction: 0.243 | MW: 498.4 | LogP: 5.56,ACTIVE w/ NEG ATTR: CHEMBL5078285 | SMILES: C[C@H](OC1=CC=C2N=CC(/C=C/C3=NNN=N3)=C(C3CC3)C2=C1)C1=C(Cl)C=CC(F)=C1Cl | Attribution: -0.101 | Prediction: 0.546 | MW: 470.3,INACTIVE w/ POS ATTR: CHEMBL5094212 | SMILES: C[C@H](OC1=CC=C2N=CC(S(=O)(=O)CC(=O)O)=C(C3CC3)C2=C1)C1=C(Cl)C=CC(F)=C1Cl | Attribution: 0.096 | Prediction: 0.243 | MW: 498.4
2,208044,C-C-C(O[C@@H](C)C1=C(Cl)C=CC(F)=C1Cl)-C,21,1,20,0,0,-0.1429,-0.3123,95.24,15,21,71.4,-0.312,0.321,Compound: CHEMBL5078661 | SMILES: C[C@H](OC1=CC=C2N=CC(/C=C/C(=O)O)=C(C#N)C2=C1)C1=C(Cl)C=CC(F)=C1Cl | Attribution: -0.300 | Prediction: 0.105 | MW: 431.3 | LogP: 5.79 || Compound: CHEMBL5091199 | SMILES: C[C@H](OC1=CC=C2N=CC(/C=C/C(=O)O)=C(N3C=CN=C3)C2=C1)C1=C(Cl)C=CC(F)=C1Cl | Attribution: -0.312 | Prediction: 0.096 | MW: 472.3 | LogP: 6.10 || Compound: CHEMBL5090325 | SMILES: C[C@H](OC1=CC=C2N=CC(/C=C/C(=O)O)=CC2=C1)C1=C(Cl)C=CC(F)=C1Cl | Attribution: -0.280 | Prediction: 0.154 | MW: 406.2 | LogP: 5.92,LOWEST ATTR (INACTIVE): CHEMBL5091199 | SMILES: C[C@H](OC1=CC=C2N=CC(/C=C/C(=O)O)=C(N3C=CN=C3)C2=C1)C1=C(Cl)C=CC(F)=C1Cl | Attribution: -0.312 | Prediction: 0.096 | MW: 472.3 | LogP: 6.10,HIGHEST ATTR (ACTIVE): CHEMBL5078285 | SMILES: C[C@H](OC1=CC=C2N=CC(/C=C/C3=NNN=N3)=C(C3CC3)C2=C1)C1=C(Cl)C=CC(F)=C1Cl | Attribution: 0.321 | Prediction: 0.546 | MW: 470.3 | LogP: 6.38,,INACTIVE w/ POS ATTR: CHEMBL5076273 | SMILES: C[C@H](OC1=CC=C2N=CC(CCC(=O)O)=C(C3CC3)C2=C1)C1=C(Cl)C=CC(F)=C1Cl | Attribution: 0.128 | Prediction: 0.175 | MW: 448.3
3,205860,C=C[C@]1(C)C[C@@H](OC(=O)CSC(-N)-N-C=O)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,19,0,19,0,0,-0.2675,-0.3472,100.00,19,19,100.0,-0.347,-0.200,Compound: CHEMBL5416214 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=NC3=CC=C(Cl)C=C3C(=O)N2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: -0.336 | Prediction: 0.110 | MW: 573.2 | LogP: 5.58 || Compound: CHEMBL5422538 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=NC3=CC(Cl)=CC=C3C(=O)N2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: -0.347 | Prediction: 0.079 | MW: 573.2 | LogP: 5.58 || Compound: CHEMBL5396514 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=NC3=C(Cl)C=CC=C3C(=O)N2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: -0.330 | Prediction: 0.140 | MW: 573.2 | LogP: 5.58,LOWEST ATTR (INACTIVE): CHEMBL5422538 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=NC3=CC(Cl)=CC=C3C(=O)N2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: -0.347 | Prediction: 0.079 | MW: 573.2 | LogP: 5.58,HIGHEST ATTR (INACTIVE): CHEMBL5394996 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=NC3=CC=C(OC)C=C3C(=O)N2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: -0.200 | Prediction: 0.114 | MW: 568.7 | LogP: 4.93,,
4,206829,C[C@@H]1CCCC1,15,1,14,0,0,-0.3033,-0.3808,93.33,13,15,86.7,-0.381,0.209,Compound: CHEMBL3425786 | SMILES: C=C(C(/C=C/C(C)(O)COC(C)=O)OC(C)=O)[C@@H]1C[C@@H](O)[C@@]2(C)[C@@H]1[C@@H]1[C@H](C)CC[C@@H]12 | Attribution: -0.381 | Prediction: 0.009 | MW: 420.5 | LogP: 3.02 || Compound: CHEMBL3425782 | SMILES: C=C(C(O)/C=C/C(C)=O)[C@@H]1C[C@@H](O)[C@@]2(C)[C@@H]1[C@@H]1[C@H](C)CC[C@@H]12 | Attribution: -0.381 | Prediction: 0.055 | MW: 304.4 | LogP: 2.73 || Compound: CHEMBL3425784 | SMILES: C=C(C(O)/C=C/C(C)(O)COC(C)=O)[C@@H]1C[C@@H](O)[C@@]2(C)[C@@H]1[C@@H]1[C@H](C)CC[C@@H]12 | Attribution: -0.381 | Prediction: 0.015 | MW: 378.5 | LogP: 2.45,LOWEST ATTR (INACTIVE): CHEMBL3425782 | SMILES: C=C(C(O)/C=C/C(C)=O)[C@@H]1C[C@@H](O)[C@@]2(C)[C@@H]1[C@@H]1[C@H](C)CC[C@@H]12 | Attribution: -0.381 | Prediction: 0.055 | MW: 304.4 | LogP: 2.73,HIGHEST ATTR (INACTIVE): CHEMBL3425788 | SMILES: C=C(C(=O)/C=C/C(C)(O)COC(C)=O)[C@@H]1C[C@@H](OC(C)=O)[C@@]2(C)[C@@H]1[C@@H]1[C@H](C)CC[C@@H]12 | Attribution: 0.209 | Prediction: 0.145 | MW: 418.5 | LogP: 3.23,,INACTIVE w/ POS ATTR: CHEMBL3425788 | SMILES: C=C(C(=O)/C=C/C(C)(O)COC(C)=O)[C@@H]1C[C@@H](OC(C)=O)[C@@]2(C)[C@@H]1[C@@H]1[C@H](C)CC[C@@H]12 | Attribution: 0.209 | Prediction: 0.145 | MW: 418.5
5,208077,C=C1C=C(CNC(=O)C2=CC=C(C)C=C2)C(=O)O1,13,0,13,0,0,-0.2296,-0.2719,100.00,13,13,100.0,-0.272,-0.192,Compound: CHEMBL5417218 | SMILES: C=C1OC(=O)C(CNC(=O)C2=CC=C(C)C=C2)=C1C1=CC=CC=C1Br | Attribution: -0.272 | Prediction: 0.003 | MW: 398.3 | LogP: 4.01 || Compound: CHEMBL5435996 | SMILES: C=C1OC(=O)C(CNC(=O)C2=CC=C(C)C=C2)=C1C1=CC=CC=C1Cl | Attribution: -0.261 | Prediction: 0.004 | MW: 353.8 | LogP: 3.90 || Compound: CHEMBL5438127 | SMILES: C=C1OC(=O)C(CNC(=O)C2=CC=C(C)C=C2)=C1C1=CC=CC(Br)=C1 | Attribution: -0.268 | Prediction: 0.003 | MW: 398.3 | LogP: 4.01,LOWEST ATTR (INACTIVE): CHEMBL5417218 | SMILES: C=C1OC(=O)C(CNC(=O)C2=CC=C(C)C=C2)=C1C1=CC=CC=C1Br | Attribution: -0.272 | Prediction: 0.003 | MW: 398.3 | LogP: 4.01,HIGHEST ATTR (INACTIVE): CHEMBL5406063 | SMILES: C=C1OC(=O)C(CNC(=O)C2=CC=C(C)C=C2)=C1C1=CC=C(OC)C=C1 | Attribution: -0.192 | Prediction: 0.005 | MW: 349.4 | LogP: 3.26,,
6,208644,C[C@@H](O)[C@H]1O[C@H](O)[C@H](N)[C@@H](O)[C@@H]1O,13,0,13,0,0,-0.1805,-0.3164,100.00,10,13,76.9,-0.316,-0.026,Compound: CHEMBL5279472 | SMILES: C[C@H](NCCO)[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H]([C@@H](C)O)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O | Attribution: -0.316 | Prediction: 0.167 | MW: 526.6 | LogP: -6.25 || Compound: CHEMBL3808721 | SMILES: C[C@@H](O)[C@H]1O[C@H](O[C@@H]2[C@@H](O[C@@H]3O[C@H](CN)[C@@H](O)[C@H]3O)[C@H](O)[C@@H](N)C[C@H]2N)[C@H](N)[C@@H](O)[C@@H]1O | Attribution: -0.236 | Prediction: 0.093 | MW: 468.5 | LogP: -6.26 || Compound: CHEMBL5289990 | SMILES: C[C@@H](O)[C@H]1O[C@H](O[C@H]2[C@H](O[C@@H]3O[C@H]([C@H](C)N(CCO)CCO)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](N)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]1O | Attribution: -0.243 | Prediction: 0.122 | MW: 570.6 | LogP: -6.55,LOWEST ATTR (INACTIVE): CHEMBL5279472 | SMILES: C[C@H](NCCO)[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H]([C@@H](C)O)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O | Attribution: -0.316 | Prediction: 0.167 | MW: 526.6 | LogP: -6.25,HIGHEST ATTR (INACTIVE): CHEMBL2206184 | SMILES: C[C@H](N)[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](NC(=O)[C@@H](O)CCN)C[C@H](N)[C@H]2O[C@H]2O[C@H]([C@@H](C)O)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O | Attribution: -0.026 | Prediction: 0.317 | MW: 583.6 | LogP: -7.01,,
7,204808,NC(=O)C1=CN=C2C(C(F)(F)F)=CC=CC2=C1O,10,0,10,0,0,-0.3705,-0.3808,100.00,10,10,100.0,-0.381,-0.350,Compound: CHEMBL4088327 | SMILES: O=C(NN1C(=O)CCSC1C1=CC=CC=C1)C1=CN=C2C(C(F)(F)F)=CC=CC2=C1O | Attribution: -0.381 | Prediction: 0.126 | MW: 447.4 | LogP: 4.27 || Compound: CHEMBL4077974 | SMILES: O=C(NN1C(=O)CCSC1C1=CC=CC(F)=C1)C1=CN=C2C(C(F)(F)F)=CC=CC2=C1O | Attribution: -0.381 | Prediction: 0.108 | MW: 465.4 | LogP: 4.41 || Compound: CHEMBL4067055 | SMILES: CC1=CC=C(C2SCCC(=O)N2NC(=O)C2=CN=C3C(C(F)(F)F)=CC=CC3=C2O)C=C1 | Attribution: -0.381 | Prediction: 0.132 | MW: 461.5 | LogP: 4.58,LOWEST ATTR (INACTIVE): CHEMBL4088327 | SMILES: O=C(NN1C(=O)CCSC1C1=CC=CC=C1)C1=CN=C2C(C(F)(F)F)=CC=CC2=C1O | Attribution: -0.381 | Prediction: 0.126 | MW: 447.4 | LogP: 4.27,HIGHEST ATTR (INACTIVE): CHEMBL4102236 | SMILES: O=C(NN1C(=O)CCSC1C1=CC=CC(Cl)=C1)C1=CN=C2C(C(F)(F)F)=CC=CC2=C1O | Attribution: -0.350 | Prediction: 0.099 | MW: 481.9 | LogP: 4.92,,
8,204809,O=C(NN1CSCCC1=O)C1=CN=C2C(C(F)(F)F)=CC=CC2=C1O,10,0,10,0,0,-0.1074,-0.1813,100.00,4,10,40.0,-0.181,-0.068,Compound: CHEMBL4102236 | SMILES: O=C(NN1C(=O)CCSC1C1=CC=CC(Cl)=C1)C1=CN=C2C(C(F)(F)F)=CC=CC2=C1O | Attribution: -0.181 | Prediction: 0.099 | MW: 481.9 | LogP: 4.92 || Compound: CHEMBL4104695 | SMILES: O=C(NN1C(=O)CCSC1C1=CC=C(Cl)C=C1)C1=CN=C2C(C(F)(F)F)=CC=CC2=C1O | Attribution: -0.161 | Prediction: 0.134 | MW: 481.9 | LogP: 4.92 || Compound: CHEMBL4084929 | SMILES: O=C(NN1C(=O)CCSC1C1=CC=C(O)C=C1)C1=CN=C2C(C(F)(F)F)=CC=CC2=C1O | Attribution: -0.150 | Prediction: 0.128 | MW: 463.4 | LogP: 3.97,LOWEST ATTR (INACTIVE): CHEMBL4102236 | SMILES: O=C(NN1C(=O)CCSC1C1=CC=CC(Cl)=C1)C1=CN=C2C(C(F)(F)F)=CC=CC2=C1O | Attribution: -0.181 | Prediction: 0.099 | MW: 481.9 | LogP: 4.92,HIGHEST ATTR (INACTIVE): CHEMBL4067055 | SMILES: CC1=CC=C(C2SCCC(=O)N2NC(=O)C2=CN=C3C(C(F)(F)F)=CC=CC3=C2O)C=C1 | Attribution: -0.068 | Prediction: 0.132 | MW: 461.5 | LogP: 4.58,,
9,205532,N-C-C/C=C/C(=O)O,9,0,9,0,0,-0.2948,-0.3808,100.00,9,9,100.0,-0.381,-0.118,Compound: CHEMBL5077512 | SMILES: C[C@H](OC1=CC(CO)=C2N=CC(/C=C/C(=O)O)=C(C3CC3)C2=C1)C1=C(Cl)C=CC(F)=C1Cl | Attribution: -0.377 | Prediction: 0.224 | MW: 476.3 | LogP: 6.29 || Compound: CHEMBL5082873 | SMILES: CC(C)OC1=CC=C2N=CC(/C=C/C(=O)O)=C(C3CC3)C2=C1 | Attribution: -0.381 | Prediction: 0.147 | MW: 297.4 | LogP: 4.00 || Compound: CHEMBL5085020 | SMILES: C[C@H](OC1=CC=C2N=CC(/C=C/C(=O)O)=C(C3COC3)C2=C1)C1=C(Cl)C=CC(F)=C1Cl | Attribution: -0.343 | Prediction: 0.198 | MW: 462.3 | LogP: 6.03,LOWEST ATTR (INACTIVE): CHEMBL5082873 | SMILES: CC(C)OC1=CC=C2N=CC(/C=C/C(=O)O)=C(C3CC3)C2=C1 | Attribution: -0.381 | Prediction: 0.147 | MW: 297.4 | LogP: 4.00,HIGHEST ATTR (INACTIVE): CHEMBL5081836 | SMILES: C[C@H](OC1=CC(B(O)O)=C2N=CC(/C=C/C(=O)O)=C(C3CC3)C2=C1)C1=C(Cl)C=CC(F)=C1Cl | Attribution: -0.118 | Prediction: 0.438 | MW: 490.1 | LogP: 4.48,,
10,207876,CC1=NC2=CC=CC=C2N1CC1=NN=CS1,9,0,9,0,0,-0.2194,-0.2639,100.00,9,9,100.0,-0.264,-0.173,Compound: CHEMBL550747 | SMILES: CC1=NC2=CC=CC=C2N1CC1=NN=C(N2C(=O)C(Cl)C2C2=CC=CC=C2O)S1 | Attribution: -0.264 | Prediction: 0.067 | MW: 425.9 | LogP: 3.65 || Compound: CHEMBL539990 | SMILES: CC1=NC2=CC=CC=C2N1CC1=NN=C(N2C(=O)C(Cl)C2C2=CC=CC=C2Cl)S1 | Attribution: -0.241 | Prediction: 0.065 | MW: 444.3 | LogP: 4.59 || Compound: CHEMBL556077 | SMILES: CC1=CC=CC=C1C1C(Cl)C(=O)N1C1=NN=C(CN2C(C)=NC3=CC=CC=C32)S1 | Attribution: -0.256 | Prediction: 0.058 | MW: 423.9 | LogP: 4.25,LOWEST ATTR (INACTIVE): CHEMBL550747 | SMILES: CC1=NC2=CC=CC=C2N1CC1=NN=C(N2C(=O)C(Cl)C2C2=CC=CC=C2O)S1 | Attribution: -0.264 | Prediction: 0.067 | MW: 425.9 | LogP: 3.65,HIGHEST ATTR (INACTIVE): CHEMBL565152 | SMILES: COC1=CC=C(C2C(Cl)C(=O)N2C2=NN=C(CN3C(C)=NC4=CC=CC=C43)S2)C=C1 | Attribution: -0.173 | Prediction: 0.065 | MW: 439.9 | LogP: 3.95,,
