"rank","fragment_id","fragment_smiles","total_compounds","tp_count","tn_count","fp_count","fn_count","avg_attribution","min_attribution","inactivity_rate_percent","negative_appearances","total_appearances","negative_consistency_percent","min_attribution_ever","max_attribution_ever","lowest_attribution_example","highest_attribution_example","active_negative_attribution_example","inactive_positive_attribution_example"
1,7423,C1NC[C@H]2CNO[C@@H]12,39,0,39,0,0,-0.4361,-0.7544,100.00,37,39,94.9,-0.754,-0.026,LOWEST ATTR (INACTIVE): CHEMBL387485 | SMILES: CN1C(=O)[C@@H]2[C@@H](ON(C)[C@H]2C2=CC=C([N+](=O)[O-])C=C2)C1=O | Attribution: -0.754 | Prediction: 0.034 | MW: 291.3 | LogP: 0.50,HIGHEST ATTR (INACTIVE): CHEMBL437929 | SMILES: COC1=CC=C([C@H]2[C@@H]3C(=O)N(C4=CC=CC=C4)C(=O)[C@@H]3ON2C)C=C1 | Attribution: -0.026 | Prediction: 0.042 | MW: 338.4 | LogP: 2.17,,
2,7427,C1C[C@@H](CN1)CC1=CC=CC=C1,39,0,39,0,0,-0.2308,-0.5760,100.00,32,39,82.1,-0.576,0.425,LOWEST ATTR (INACTIVE): CHEMBL390739 | SMILES: CN1C(=O)[C@@H]2[C@@H](ON(C3=CC=CC=C3)[C@H]2C2=CC=C(N(C)C)C=C2)C1=O | Attribution: -0.576 | Prediction: 0.016 | MW: 351.4 | LogP: 2.23,HIGHEST ATTR (INACTIVE): CHEMBL225684 | SMILES: CN1O[C@H]2C(=O)N(C3=CC=CC=C3)C(=O)[C@H]2[C@@H]1C1=CC=C(Cl)C=C1 | Attribution: 0.425 | Prediction: 0.096 | MW: 342.8 | LogP: 2.82,,INACTIVE w/ POS ATTR: CHEMBL225684 | SMILES: CN1O[C@H]2C(=O)N(C3=CC=CC=C3)C(=O)[C@H]2[C@@H]1C1=CC=C(Cl)C=C1 | Attribution: 0.425 | Prediction: 0.096 | MW: 342.8
3,25373,C1=CC=C(OCC2CCNCC2)C=C1,30,1,29,0,0,-0.6399,-0.7616,96.67,29,30,96.7,-0.762,0.740,LOWEST ATTR (INACTIVE): CHEMBL2046517 | SMILES: CCCCCC[C@@H](CN1CCC(COC2=CC=C(C(=O)C3=CC=C(Cl)C=C3)C(Cl)=C2)CC1)OC(N)=O | Attribution: -0.762 | Prediction: 0.032 | MW: 535.5 | LogP: 6.75,HIGHEST ATTR (ACTIVE): CHEMBL4550867 | SMILES: OC1=CC=C(C2=NC(C3=CC=C(OC4CN5CCC4CC5)C=C3)=NO2)C=C1 | Attribution: 0.740 | Prediction: 0.459 | MW: 363.4 | LogP: 3.58,,
4,10276,C(NCC1COCC1)C1=CC=CC=C1,27,0,27,0,0,-0.7215,-0.7616,100.00,27,27,100.0,-0.762,-0.620,LOWEST ATTR (INACTIVE): CHEMBL4460008 | SMILES: O=C(NC[C@]1(O)CO[C@H](CNC(=O)C2=CC=CC=C2OC(F)(F)F)[C@H]1O)C1=CC=CC=C1 | Attribution: -0.762 | Prediction: 0.012 | MW: 454.4 | LogP: 1.24,HIGHEST ATTR (INACTIVE): CHEMBL4483596 | SMILES: O=C(NC[C@]1(O)CO[C@H](CNC(=O)C2=CC=CC=C2I)[C@H]1O)C1=CC=CC=C1 | Attribution: -0.620 | Prediction: 0.003 | MW: 496.3 | LogP: 0.94,,
5,8699,C1=CCN(C2=NC=CS2)CC1,42,16,26,0,0,-0.2843,-0.7616,61.90,28,42,66.7,-0.762,0.584,LOWEST ATTR (INACTIVE): CHEMBL4578566 | SMILES: ClC1=CC=C2C3=C(CN(C4=NC5=CC=C(Cl)C=C5S4)CC3)NC2=C1 | Attribution: -0.762 | Prediction: 0.052 | MW: 374.3 | LogP: 5.65,HIGHEST ATTR (ACTIVE): CHEMBL4461620 | SMILES: N=CNCC1CN(C2=NC3=CC=C(Cl)C=C3S2)CC2=C1C1=CC(Cl)=CC=C1N2 | Attribution: 0.584 | Prediction: 0.927 | MW: 430.4 | LogP: 5.38,ACTIVE w/ NEG ATTR: CHEMBL4446474 | SMILES: FC(F)(F)C1=CC(Br)=CC2=C1N=C(N1CCC3=C(C1)NC1=CC=C(Cl)C=C31)S2 | Attribution: -0.714 | Prediction: 0.541 | MW: 486.7,
6,8504,C(NC[C@@H]1CCCO1)C1=CC=CC=C1,24,0,24,0,0,-0.7197,-0.7616,100.00,24,24,100.0,-0.762,-0.606,LOWEST ATTR (INACTIVE): CHEMBL4076813 | SMILES: CC(=O)NC[C@]1(O)CO[C@H](CNC(=O)C2=CC=CC=C2Cl)[C@H]1O | Attribution: -0.762 | Prediction: 0.006 | MW: 342.8 | LogP: -0.30,HIGHEST ATTR (INACTIVE): CHEMBL4082179 | SMILES: O=C(NC[C@]1(O)CO[C@H](CNC(=O)C2=CC=CC=C2Cl)[C@H]1O)C1=CC=CC=C1F | Attribution: -0.606 | Prediction: 0.004 | MW: 422.8 | LogP: 1.13,,
7,20977,C1CCCC[C@@]23NCC[C@@]12C1=CC=CC=C1N3,23,0,23,0,0,-0.5939,-0.7616,100.00,22,23,95.7,-0.762,-0.048,LOWEST ATTR (INACTIVE): CHEMBL3909182 | SMILES: C#CCN1C2=CC(C)=CC(C)=C2[C@@]23CCN(C(=O)OC)[C@@]12CCCCC3=C | Attribution: -0.762 | Prediction: 0.002 | MW: 364.5 | LogP: 4.29,HIGHEST ATTR (INACTIVE): CHEMBL3890862 | SMILES: C=C1CCCC[C@@]23N(C(=N)N)CC[C@@]12C1=C(C)C=C(C)C=C1N3C | Attribution: -0.048 | Prediction: 0.048 | MW: 324.5 | LogP: 3.42,,
8,20973,C1CCCCC2NCC[C@@]12C1=CC=CC=C1,23,0,23,0,0,-0.5674,-0.7291,100.00,22,23,95.7,-0.729,-0.039,LOWEST ATTR (INACTIVE): CHEMBL3963826 | SMILES: C=C1CCCC[C@@]23N(C(=O)NCC)CC[C@@]12C1=C(C)C=C(C)C=C1N3C | Attribution: -0.729 | Prediction: 0.003 | MW: 353.5 | LogP: 4.25,HIGHEST ATTR (INACTIVE): CHEMBL3890862 | SMILES: C=C1CCCC[C@@]23N(C(=N)N)CC[C@@]12C1=C(C)C=C(C)C=C1N3C | Attribution: -0.039 | Prediction: 0.048 | MW: 324.5 | LogP: 3.42,,
9,20975,C1CCCCC2NC3=CC=CC=C3C12,23,0,23,0,0,-0.5451,-0.7548,100.00,22,23,95.7,-0.755,0.013,LOWEST ATTR (INACTIVE): CHEMBL3909182 | SMILES: C#CCN1C2=CC(C)=CC(C)=C2[C@@]23CCN(C(=O)OC)[C@@]12CCCCC3=C | Attribution: -0.755 | Prediction: 0.002 | MW: 364.5 | LogP: 4.29,HIGHEST ATTR (INACTIVE): CHEMBL3890862 | SMILES: C=C1CCCC[C@@]23N(C(=N)N)CC[C@@]12C1=C(C)C=C(C)C=C1N3C | Attribution: 0.013 | Prediction: 0.048 | MW: 324.5 | LogP: 3.42,,INACTIVE w/ POS ATTR: CHEMBL3890862 | SMILES: C=C1CCCC[C@@]23N(C(=N)N)CC[C@@]12C1=C(C)C=C(C)C=C1N3C | Attribution: 0.013 | Prediction: 0.048 | MW: 324.5
10,20969,C1CCCCC2NCCC12,23,0,23,0,0,-0.5398,-0.7547,100.00,23,23,100.0,-0.755,-0.319,LOWEST ATTR (INACTIVE): CHEMBL3970004 | SMILES: C=C1CCCC[C@@]23N(C(=O)OCC)CC[C@@]12C1=CC(F)=C(OC)C=C1N3C | Attribution: -0.755 | Prediction: 0.005 | MW: 374.5 | LogP: 4.21,HIGHEST ATTR (INACTIVE): CHEMBL3951610 | SMILES: C=C1CCCC[C@@]23N(CC)CC[C@@]12C1=C(C)C=C(C)C=C1N3C | Attribution: -0.319 | Prediction: 0.008 | MW: 310.5 | LogP: 4.54,,
11,20970,C1CCCCCC1C1=CC=CC=C1,23,0,23,0,0,-0.4885,-0.6794,100.00,22,23,95.7,-0.679,-0.010,LOWEST ATTR (INACTIVE): CHEMBL3985641 | SMILES: C=C1CCCC[C@]23N(C)C4=CC(C)=CC(C)=C4[C@]12CCN3S(=O)(=O)C1=CC=C(Cl)C=C1 | Attribution: -0.679 | Prediction: 0.004 | MW: 457.0 | LogP: 5.57,HIGHEST ATTR (INACTIVE): CHEMBL3890862 | SMILES: C=C1CCCC[C@@]23N(C(=N)N)CC[C@@]12C1=C(C)C=C(C)C=C1N3C | Attribution: -0.010 | Prediction: 0.048 | MW: 324.5 | LogP: 3.42,,
