"rank","fragment_id","fragment_smiles","total_compounds","tp_count","tn_count","fp_count","fn_count","avg_attribution","min_attribution","inactivity_rate_percent","negative_appearances","total_appearances","negative_consistency_percent","min_attribution_ever","max_attribution_ever","example_tn_compounds","lowest_attribution_example","highest_attribution_example","active_negative_attribution_example","inactive_positive_attribution_example"
1,6172,CC(=O)NCN1C=CC(=O)O1,62,17,45,0,0,-0.2291,-0.3808,72.58,55,62,88.7,-0.381,-0.028,Compound: CHEMBL183258 | SMILES: CC(=O)NCN1C=C(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C(=O)O1 | Attribution: -0.381 | Prediction: 0.260 | MW: 368.2 | LogP: 3.24 || Compound: CHEMBL371680 | SMILES: CC(=O)NCN1C=C(C2=CC=C(C3=CC=CC(N)=C3)C=C2)C(=O)O1 | Attribution: -0.354 | Prediction: 0.293 | MW: 323.4 | LogP: 2.45 || Compound: CHEMBL366305 | SMILES: COC1=CC(OC)=CC(C2=CN(CNC(C)=O)OC2=O)=C1 | Attribution: -0.381 | Prediction: 0.352 | MW: 292.3 | LogP: 1.22,LOWEST ATTR (INACTIVE): CHEMBL183258 | SMILES: CC(=O)NCN1C=C(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C(=O)O1 | Attribution: -0.381 | Prediction: 0.260 | MW: 368.2 | LogP: 3.24,HIGHEST ATTR (ACTIVE): CHEMBL190115 | SMILES: CC(=O)NCN1C=C(C2=CC=C(C3=CC=C(Cl)S3)C=C2)C(=O)O1 | Attribution: -0.028 | Prediction: 0.701 | MW: 348.8 | LogP: 3.58,ACTIVE w/ NEG ATTR: CHEMBL197515 | SMILES: CC(=O)NCN1C=C(C2=CC=C(C3=CC=C(Cl)C=C3)C=C2)C(=O)O1 | Attribution: -0.351 | Prediction: 0.453 | MW: 342.8,
2,6174,CC(=O)NCN1C=C(C2=CC=CC=C2)C(=O)O1,49,6,43,0,0,-0.2732,-0.3389,87.76,48,49,98.0,-0.339,0.041,Compound: CHEMBL186883 | SMILES: CC(=O)NCN1C=C(C2=CC=C(C3=CCSCC3)C=C2)C(=O)O1 | Attribution: -0.338 | Prediction: 0.057 | MW: 330.4 | LogP: 2.72 || Compound: CHEMBL189442 | SMILES: CC(=O)NCN1C=C(C2=CC=C(C3=CCN(C(=O)OC(C)(C)C)CC3)C=C2)C(=O)O1 | Attribution: -0.339 | Prediction: 0.070 | MW: 413.5 | LogP: 3.23 || Compound: CHEMBL190959 | SMILES: CC(=O)NCN1C=C(C2=CC=C(C3=CC[S+]([O-])CC3)C=C2)C(=O)O1 | Attribution: -0.334 | Prediction: 0.055 | MW: 346.4 | LogP: 1.74,LOWEST ATTR (INACTIVE): CHEMBL189442 | SMILES: CC(=O)NCN1C=C(C2=CC=C(C3=CCN(C(=O)OC(C)(C)C)CC3)C=C2)C(=O)O1 | Attribution: -0.339 | Prediction: 0.070 | MW: 413.5 | LogP: 3.23,HIGHEST ATTR (ACTIVE): CHEMBL190115 | SMILES: CC(=O)NCN1C=C(C2=CC=C(C3=CC=C(Cl)S3)C=C2)C(=O)O1 | Attribution: 0.041 | Prediction: 0.701 | MW: 348.8 | LogP: 3.58,ACTIVE w/ NEG ATTR: CHEMBL197515 | SMILES: CC(=O)NCN1C=C(C2=CC=C(C3=CC=C(Cl)C=C3)C=C2)C(=O)O1 | Attribution: -0.248 | Prediction: 0.453 | MW: 342.8,
3,16091,C-C(C1=CC=C(OCCC)C=C1)-N,27,0,27,0,0,-0.1358,-0.2670,100.00,19,27,70.4,-0.267,0.290,Compound: CHEMBL2385668 | SMILES: CCCOC1=CC=C(C2=CC(OCCN3CCC(=O)CC3)=C3C=CC=CC3=N2)C=C1 | Attribution: -0.224 | Prediction: 0.041 | MW: 404.5 | LogP: 4.73 || Compound: CHEMBL5170795 | SMILES: CCCOC1=CC=C(C2=CC(OCCN3CCCCCC3)=C3C=C(SC)C=CC3=N2)C=C1 | Attribution: -0.222 | Prediction: 0.075 | MW: 450.6 | LogP: 6.67 || Compound: CHEMBL5207238 | SMILES: CCCOC1=CC=C(C2=CC(OCCN3CCCCC3)=C3C=C(SC)C=CC3=N2)C=C1 | Attribution: -0.267 | Prediction: 0.079 | MW: 436.6 | LogP: 6.28,LOWEST ATTR (INACTIVE): CHEMBL5207238 | SMILES: CCCOC1=CC=C(C2=CC(OCCN3CCCCC3)=C3C=C(SC)C=CC3=N2)C=C1 | Attribution: -0.267 | Prediction: 0.079 | MW: 436.6 | LogP: 6.28,HIGHEST ATTR (INACTIVE): CHEMBL2385678 | SMILES: CCCOC1=CC=C(C2=CC(OC3CCCN(C)C3)=C3C=CC=CC3=N2)C=C1 | Attribution: 0.290 | Prediction: 0.148 | MW: 376.5 | LogP: 5.16,,INACTIVE w/ POS ATTR: CHEMBL2385678 | SMILES: CCCOC1=CC=C(C2=CC(OC3CCCN(C)C3)=C3C=CC=CC3=N2)C=C1 | Attribution: 0.290 | Prediction: 0.148 | MW: 376.5
4,4582,CCOC(=O)C-C(C)-NCC1=CC=CC=C1,24,1,23,0,0,-0.2716,-0.3808,95.83,22,24,91.7,-0.381,0.187,Compound: CHEMBL3775322 | SMILES: CCOC(=O)C1=C(C)N(CC2=CC=CC=C2)C2=CC=C(OCCN3CCCCC3)C=C12 | Attribution: -0.381 | Prediction: 0.078 | MW: 420.6 | LogP: 5.04 || Compound: CHEMBL3775105 | SMILES: CCOC(=O)C1=C(C)N(CC2=CC=CC=C2)C2=CC=C(OCCCN3CCCCC3)C=C12 | Attribution: -0.381 | Prediction: 0.086 | MW: 434.6 | LogP: 5.43 || Compound: CHEMBL3774853 | SMILES: CCOC(=O)C1=C(C)N(CC2=CC=CC=C2)C2=CC=C(OCCCN3CCCCCC3)C=C12 | Attribution: -0.381 | Prediction: 0.111 | MW: 448.6 | LogP: 5.82,LOWEST ATTR (INACTIVE): CHEMBL3775322 | SMILES: CCOC(=O)C1=C(C)N(CC2=CC=CC=C2)C2=CC=C(OCCN3CCCCC3)C=C12 | Attribution: -0.381 | Prediction: 0.078 | MW: 420.6 | LogP: 5.04,HIGHEST ATTR (ACTIVE): CHEMBL3948087 | SMILES: CCOC(=O)C1=C(C)N(CC2=CC=CC=C2)C2=CC=C(OCCCNCC3=CC=C(F)C(OC)=C3)C=C12 | Attribution: 0.187 | Prediction: 0.480 | MW: 504.6 | LogP: 5.88,,
5,16167,ClC1=CC=C2NC3=C(CCNC3)C2=C1,28,6,22,0,0,-0.2134,-0.3761,78.57,23,28,82.1,-0.376,0.057,Compound: CHEMBL4574363 | SMILES: NC1=CC=C2N=C(N3CCC4=C(C3)NC3=CC=C(Cl)C=C43)SC2=C1 | Attribution: -0.376 | Prediction: 0.084 | MW: 354.9 | LogP: 4.58 || Compound: CHEMBL4465446 | SMILES: OC1=CC(Cl)=C2N=C(N3CCC4=C(C3)NC3=CC=C(Cl)C=C43)SC2=C1 | Attribution: -0.347 | Prediction: 0.406 | MW: 390.3 | LogP: 5.35 || Compound: CHEMBL4470890 | SMILES: ClC1=CC=C2NC3=C(CCN(C4=NC5=CC=CC=C5O4)C3)C2=C1 | Attribution: -0.350 | Prediction: 0.059 | MW: 323.8 | LogP: 4.53,LOWEST ATTR (INACTIVE): CHEMBL4574363 | SMILES: NC1=CC=C2N=C(N3CCC4=C(C3)NC3=CC=C(Cl)C=C43)SC2=C1 | Attribution: -0.376 | Prediction: 0.084 | MW: 354.9 | LogP: 4.58,HIGHEST ATTR (ACTIVE): CHEMBL4437582 | SMILES: NC1=CC(C(F)(F)F)=C2N=C(N3CCC4=C(C3)NC3=CC=C(Cl)C=C43)SC2=C1 | Attribution: 0.057 | Prediction: 0.583 | MW: 422.9 | LogP: 5.59,ACTIVE w/ NEG ATTR: CHEMBL4446474 | SMILES: FC(F)(F)C1=CC(Br)=CC2=C1N=C(N1CCC3=C(C1)NC1=CC=C(Cl)C=C31)S2 | Attribution: -0.232 | Prediction: 0.541 | MW: 486.7,
6,7439,CNOCC=O,17,0,17,0,0,-0.2994,-0.3532,100.00,17,17,100.0,-0.353,-0.197,Compound: CHEMBL388960 | SMILES: CN1O[C@H]2C(=O)N(C3=CC=CC=C3)C(=O)[C@H]2[C@@H]1C1=CC=CC=C1 | Attribution: -0.353 | Prediction: 0.033 | MW: 308.3 | LogP: 2.16 || Compound: CHEMBL390738 | SMILES: CN1O[C@H]2C(=O)N(C3=CC=CC=C3)C(=O)[C@H]2[C@H]1C1=CC=C([N+](=O)[O-])C=C1 | Attribution: -0.342 | Prediction: 0.031 | MW: 353.3 | LogP: 2.07 || Compound: CHEMBL225686 | SMILES: CN1O[C@H]2C(=O)N(C3=CC=CC=C3)C(=O)[C@H]2[C@@H]1C1=CC=C([N+](=O)[O-])C=C1 | Attribution: -0.353 | Prediction: 0.063 | MW: 353.3 | LogP: 2.07,LOWEST ATTR (INACTIVE): CHEMBL225686 | SMILES: CN1O[C@H]2C(=O)N(C3=CC=CC=C3)C(=O)[C@H]2[C@@H]1C1=CC=C([N+](=O)[O-])C=C1 | Attribution: -0.353 | Prediction: 0.063 | MW: 353.3 | LogP: 2.07,HIGHEST ATTR (INACTIVE): CHEMBL387702 | SMILES: CCN(CC)C1=CC=C([C@@H]2[C@@H]3C(=O)N(C4=CC=CC=C4)C(=O)[C@@H]3ON2C)C=C1 | Attribution: -0.197 | Prediction: 0.021 | MW: 379.5 | LogP: 3.01,,
7,6021,NC(=S)NNC(=O)C1=CC=CC=C1O,15,0,15,0,0,-0.3767,-0.3808,100.00,15,15,100.0,-0.381,-0.345,Compound: CHEMBL4524762 | SMILES: COC1=CC=C(NC(=S)NNC(=O)C2=CC=CC=C2O)C=C1 | Attribution: -0.381 | Prediction: 0.100 | MW: 317.4 | LogP: 2.03 || Compound: CHEMBL4445254 | SMILES: O=C(NNC(=S)NC1=CC=CC(Cl)=C1)C1=CC=CC=C1O | Attribution: -0.381 | Prediction: 0.134 | MW: 321.8 | LogP: 2.68 || Compound: CHEMBL4465913 | SMILES: O=C(NNC(=S)NC1=CC=C(OCC2=CC=CC=C2)C=C1)C1=CC=CC=C1O | Attribution: -0.381 | Prediction: 0.100 | MW: 393.5 | LogP: 3.60,LOWEST ATTR (INACTIVE): CHEMBL4445254 | SMILES: O=C(NNC(=S)NC1=CC=CC(Cl)=C1)C1=CC=CC=C1O | Attribution: -0.381 | Prediction: 0.134 | MW: 321.8 | LogP: 2.68,HIGHEST ATTR (INACTIVE): CHEMBL4591078 | SMILES: O=C(NNC(=S)NC1=CC=CC(I)=C1)C1=CC=CC=C1O | Attribution: -0.345 | Prediction: 0.175 | MW: 413.2 | LogP: 2.63,,
8,10743,N[C@@H]1C[C@H]1C1=CC=C(F)C(F)=C1,14,0,14,0,0,-0.2522,-0.3667,100.00,14,14,100.0,-0.367,-0.152,Compound: CHEMBL4781858 | SMILES: CCN1N=NC2=C(N[C@@H]3C[C@H]3C3=CC=C(F)C(F)=C3)N=C(SC)N=C21 | Attribution: -0.367 | Prediction: 0.154 | MW: 362.4 | LogP: 3.21 || Compound: CHEMBL4794159 | SMILES: CCCSC1=NC(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=C2N=NN(C3CCCC3)C2=N1 | Attribution: -0.321 | Prediction: 0.382 | MW: 430.5 | LogP: 5.08 || Compound: CHEMBL4795337 | SMILES: CCSC1=NC(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=C2N=NN(CC)C2=N1 | Attribution: -0.320 | Prediction: 0.062 | MW: 376.4 | LogP: 3.60,LOWEST ATTR (INACTIVE): CHEMBL4781858 | SMILES: CCN1N=NC2=C(N[C@@H]3C[C@H]3C3=CC=C(F)C(F)=C3)N=C(SC)N=C21 | Attribution: -0.367 | Prediction: 0.154 | MW: 362.4 | LogP: 3.21,HIGHEST ATTR (INACTIVE): CHEMBL4800478 | SMILES: O[C@@H]1[C@H](O)[C@@H](O)C[C@H]1N1N=NC2=C(N[C@@H]3C[C@H]3C3=CC=C(F)C(F)=C3)N=CN=C21 | Attribution: -0.152 | Prediction: 0.049 | MW: 404.4 | LogP: 0.50,,
9,5132,CC1=C([N+](=O)[O-])N=CN1C,13,0,13,0,0,-0.3230,-0.3632,100.00,13,13,100.0,-0.363,-0.251,Compound: CHEMBL251192 | SMILES: CN1C=NC([N+](=O)[O-])=C1/C=C1\OC2=CC(Cl)=CC=C2C1=O | Attribution: -0.363 | Prediction: 0.019 | MW: 305.7 | LogP: 2.60 || Compound: CHEMBL401302 | SMILES: CC1=CC=C2C(=O)/C(=C/C3=C([N+](=O)[O-])N=CN3C)OC2=C1 | Attribution: -0.351 | Prediction: 0.022 | MW: 285.3 | LogP: 2.25 || Compound: CHEMBL266680 | SMILES: CN1C=NC([N+](=O)[O-])=C1/C=C1\OC2=CC=C(Br)C=C2C1=O | Attribution: -0.361 | Prediction: 0.023 | MW: 350.1 | LogP: 2.71,LOWEST ATTR (INACTIVE): CHEMBL251192 | SMILES: CN1C=NC([N+](=O)[O-])=C1/C=C1\OC2=CC(Cl)=CC=C2C1=O | Attribution: -0.363 | Prediction: 0.019 | MW: 305.7 | LogP: 2.60,HIGHEST ATTR (INACTIVE): CHEMBL250801 | SMILES: COC1=CC=CC2=C1O/C(=C\C1=C([N+](=O)[O-])N=CN1C)C2=O | Attribution: -0.251 | Prediction: 0.033 | MW: 301.3 | LogP: 1.95,,
10,5131,CN1C=NC([N+](=O)[O-])=C1/C=C(\O)C=O,13,0,13,0,0,-0.2572,-0.3029,100.00,13,13,100.0,-0.303,-0.188,Compound: CHEMBL266680 | SMILES: CN1C=NC([N+](=O)[O-])=C1/C=C1\OC2=CC=C(Br)C=C2C1=O | Attribution: -0.303 | Prediction: 0.023 | MW: 350.1 | LogP: 2.71 || Compound: CHEMBL251192 | SMILES: CN1C=NC([N+](=O)[O-])=C1/C=C1\OC2=CC(Cl)=CC=C2C1=O | Attribution: -0.294 | Prediction: 0.019 | MW: 305.7 | LogP: 2.60 || Compound: CHEMBL251193 | SMILES: COC1=CC=C2C(=O)/C(=C/C3=C([N+](=O)[O-])N=CN3C)OC2=C1 | Attribution: -0.300 | Prediction: 0.017 | MW: 301.3 | LogP: 1.95,LOWEST ATTR (INACTIVE): CHEMBL266680 | SMILES: CN1C=NC([N+](=O)[O-])=C1/C=C1\OC2=CC=C(Br)C=C2C1=O | Attribution: -0.303 | Prediction: 0.023 | MW: 350.1 | LogP: 2.71,HIGHEST ATTR (INACTIVE): CHEMBL250802 | SMILES: CN1C=NC([N+](=O)[O-])=C1/C=C1\OC2=CC=C([N+](=O)[O-])C=C2C1=O | Attribution: -0.188 | Prediction: 0.043 | MW: 316.2 | LogP: 1.85,,
11,8364,CN(C1=CC=C(Cl)C=C1)S(=O)(=O)C1=CC=C(C(N)=O)C=C1,14,2,12,0,0,-0.2612,-0.3808,85.71,12,14,85.7,-0.381,0.171,Compound: CHEMBL245337 | SMILES: CN(C1=CC=C(Cl)C=C1)S(=O)(=O)C1=CC=C(C(=O)NC2=CC=C(Br)C=C2C2=NOC(=O)N2)C=C1 | Attribution: -0.381 | Prediction: 0.058 | MW: 563.8 | LogP: 4.52 || Compound: CHEMBL247172 | SMILES: CN(C1=CC=C(Cl)C=C1)S(=O)(=O)C1=CC=C(C(=O)NC2=CC=C(Br)C=C2S(N)(=O)=O)C=C1 | Attribution: -0.360 | Prediction: 0.026 | MW: 558.9 | LogP: 3.83 || Compound: CHEMBL395865 | SMILES: CC(=O)C1=CC(Br)=CC=C1NC(=O)C1=CC=C(S(=O)(=O)N(C)C2=CC=C(Cl)C=C2)C=C1 | Attribution: -0.377 | Prediction: 0.040 | MW: 521.8 | LogP: 5.38,LOWEST ATTR (INACTIVE): CHEMBL245337 | SMILES: CN(C1=CC=C(Cl)C=C1)S(=O)(=O)C1=CC=C(C(=O)NC2=CC=C(Br)C=C2C2=NOC(=O)N2)C=C1 | Attribution: -0.381 | Prediction: 0.058 | MW: 563.8 | LogP: 4.52,HIGHEST ATTR (ACTIVE): CHEMBL223097 | SMILES: CN(C1=CC=C(Cl)C=C1)S(=O)(=O)C1=CC=C(C(=O)NC2=CC=C(Cl)C=C2C(=O)O)C=C1 | Attribution: 0.171 | Prediction: 0.542 | MW: 479.3 | LogP: 4.77,,
12,28612,COC1=CC=C(C(=O)/C=C/C2=CN(C3=CC=CC=C3)N=C2)C(OC)=C1,10,0,10,0,0,-0.2931,-0.3455,100.00,10,10,100.0,-0.346,-0.185,Compound: CHEMBL594561 | SMILES: COC1=CC=C(C(=O)/C=C/C2=CN(C3=CC=CC=C3)N=C2C2=CC=C(Br)C=C2)C(OC)=C1 | Attribution: -0.346 | Prediction: 0.150 | MW: 489.4 | LogP: 6.22 || Compound: CHEMBL606360 | SMILES: COC1=CC=C(C(=O)/C=C/C2=CN(C3=CC=CC=C3)N=C2C2=CC=C(Cl)C=C2)C(OC)=C1 | Attribution: -0.327 | Prediction: 0.131 | MW: 444.9 | LogP: 6.11 || Compound: CHEMBL592916 | SMILES: COC1=CC=C(C(=O)/C=C/C2=CN(C3=CC=CC=C3)N=C2C2=CC=C(Cl)C=C2Cl)C(OC)=C1 | Attribution: -0.344 | Prediction: 0.113 | MW: 479.4 | LogP: 6.76,LOWEST ATTR (INACTIVE): CHEMBL594561 | SMILES: COC1=CC=C(C(=O)/C=C/C2=CN(C3=CC=CC=C3)N=C2C2=CC=C(Br)C=C2)C(OC)=C1 | Attribution: -0.346 | Prediction: 0.150 | MW: 489.4 | LogP: 6.22,HIGHEST ATTR (INACTIVE): CHEMBL606984 | SMILES: COC1=CC=C(C(=O)/C=C/C2=CN(C3=CC=CC=C3)N=C2C2=CC=CC=C2)C(OC)=C1 | Attribution: -0.185 | Prediction: 0.252 | MW: 410.5 | LogP: 5.45,,
13,11950,S=C1NN=C(C2=CC=CC(Cl)=C2)N1,10,0,10,0,0,-0.2828,-0.3808,100.00,10,10,100.0,-0.381,-0.124,Compound: CHEMBL1652196 | SMILES: COC1=CC=C(N2C(C3=CC=CC(Cl)=C3)=NNC2=S)C=C1 | Attribution: -0.381 | Prediction: 0.058 | MW: 317.8 | LogP: 4.26 || Compound: CHEMBL1652200 | SMILES: S=C1NN=C(C2=CC=CC(Cl)=C2)N1C1=CC=CC=C1I | Attribution: -0.381 | Prediction: 0.043 | MW: 413.7 | LogP: 4.85 || Compound: CHEMBL1652194 | SMILES: S=C1NN=C(C2=CC=CC(Cl)=C2)N1C1=CC=CC=C1 | Attribution: -0.381 | Prediction: 0.035 | MW: 287.8 | LogP: 4.25,LOWEST ATTR (INACTIVE): CHEMBL1652200 | SMILES: S=C1NN=C(C2=CC=CC(Cl)=C2)N1C1=CC=CC=C1I | Attribution: -0.381 | Prediction: 0.043 | MW: 413.7 | LogP: 4.85,HIGHEST ATTR (INACTIVE): CHEMBL1652204 | SMILES: FC1=CC=CC(F)=C1N1C(C2=CC=CC(Cl)=C2)=NNC1=S | Attribution: -0.124 | Prediction: 0.177 | MW: 323.8 | LogP: 4.53,,
