"rank","fragment_id","fragment_smiles","total_compounds","tp_count","tn_count","fp_count","fn_count","avg_attribution","max_attribution","activity_rate_percent","positive_appearances","total_appearances","positive_consistency_percent","min_attribution_ever","max_attribution_ever","highest_attribution_example","lowest_attribution_example","inactive_positive_attribution_example","active_negative_attribution_example"
1,227246,C1=CC2C3C[C@@H]4CCC[C@H]4C2CC13,126,123,3,0,0,0.6013,0.7616,97.62,125,126,99.2,-0.382,0.762,HIGHEST ATTR (ACTIVE): CHEMBL275196 | SMILES: CCCCCC(=O)O[C@H]1C(O)[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@H]1OC | Attribution: 0.762 | Prediction: 0.969 | MW: 590.8 | LogP: 4.54,LOWEST ATTR (INACTIVE): CHEMBL150094 | SMILES: CC(C)C1=CC2CC3(C=O)[C@@H]4CC[C@@H](C)[C@H]4CC2(C(=O)C#CC2=CC=CC=C2)[C@]13C(=O)O | Attribution: -0.382 | Prediction: 0.218 | MW: 430.5 | LogP: 4.53,INACTIVE w/ POS ATTR: CHEMBL151873 | SMILES: CCCCCCCCCCCCCCCCC(O)C12C[C@@H]3[C@H](C)CC[C@H]3C3(C=O)CC1C=C(C(C)C)[C@@]23C(=O)O | Attribution: 0.609 | Prediction: 0.418 | MW: 556.9,
2,227244,C1=CC2C[C@@H]3CCC[C@H]3CC2C1,117,114,3,0,0,0.6098,0.7616,97.44,116,117,99.1,-0.346,0.762,HIGHEST ATTR (ACTIVE): CHEMBL345944 | SMILES: CC(C)C1=CC2CC3(C=O)[C@@H]4CC[C@@H](C)[C@H]4CC2(C(=O)CCC2=CC=CC=C2)[C@]13C(=O)O | Attribution: 0.762 | Prediction: 0.588 | MW: 434.6 | LogP: 5.11,LOWEST ATTR (INACTIVE): CHEMBL150094 | SMILES: CC(C)C1=CC2CC3(C=O)[C@@H]4CC[C@@H](C)[C@H]4CC2(C(=O)C#CC2=CC=CC=C2)[C@]13C(=O)O | Attribution: -0.346 | Prediction: 0.218 | MW: 430.5 | LogP: 4.53,INACTIVE w/ POS ATTR: CHEMBL151873 | SMILES: CCCCCCCCCCCCCCCCC(O)C12C[C@@H]3[C@H](C)CC[C@H]3C3(C=O)CC1C=C(C(C)C)[C@@]23C(=O)O | Attribution: 0.742 | Prediction: 0.418 | MW: 556.9,
3,227245,C1=CC2C3CC1C2CCC3,110,107,3,0,0,0.5270,0.7574,97.27,109,110,99.1,-0.362,0.757,HIGHEST ATTR (ACTIVE): CHEMBL326746 | SMILES: CCCCCCOCC12C[C@H]3[C@@H](CC[C@]3(C)O)C3(C=O)CC1C=C(C(C)C)[C@@]23C(=O)O | Attribution: 0.757 | Prediction: 0.887 | MW: 432.6 | LogP: 4.62,LOWEST ATTR (INACTIVE): CHEMBL150094 | SMILES: CC(C)C1=CC2CC3(C=O)[C@@H]4CC[C@@H](C)[C@H]4CC2(C(=O)C#CC2=CC=CC=C2)[C@]13C(=O)O | Attribution: -0.362 | Prediction: 0.218 | MW: 430.5 | LogP: 4.53,INACTIVE w/ POS ATTR: CHEMBL151873 | SMILES: CCCCCCCCCCCCCCCCC(O)C12C[C@@H]3[C@H](C)CC[C@H]3C3(C=O)CC1C=C(C(C)C)[C@@]23C(=O)O | Attribution: 0.649 | Prediction: 0.418 | MW: 556.9,
4,227235,C1CCC(C1)[C@@H]1CCCC1,108,105,3,0,0,0.5541,0.7616,97.22,107,108,99.1,-0.215,0.762,HIGHEST ATTR (ACTIVE): CHEMBL434071 | SMILES: CCCCC#CC(=O)C12C[C@@H]3[C@H](C)CC[C@H]3C3(C=O)CC1C=C(C(C)C)[C@@]23C(=O)O | Attribution: 0.762 | Prediction: 0.944 | MW: 410.6 | LogP: 4.67,LOWEST ATTR (INACTIVE): CHEMBL150094 | SMILES: CC(C)C1=CC2CC3(C=O)[C@@H]4CC[C@@H](C)[C@H]4CC2(C(=O)C#CC2=CC=CC=C2)[C@]13C(=O)O | Attribution: -0.215 | Prediction: 0.218 | MW: 430.5 | LogP: 4.53,INACTIVE w/ POS ATTR: CHEMBL151873 | SMILES: CCCCCCCCCCCCCCCCC(O)C12C[C@@H]3[C@H](C)CC[C@H]3C3(C=O)CC1C=C(C(C)C)[C@@]23C(=O)O | Attribution: 0.718 | Prediction: 0.418 | MW: 556.9,
5,227236,C1=CCC(C1)C[C@@H]1CCCC1,103,100,3,0,0,0.5641,0.7616,97.09,101,103,98.1,-0.527,0.762,HIGHEST ATTR (ACTIVE): CHEMBL173912 | SMILES: CC(C)CO/N=C/C12C[C@@H]3[C@H](C)CC[C@H]3C3(C=O)CC1C=C(C(C)C)[C@@]23C(=O)O | Attribution: 0.762 | Prediction: 0.949 | MW: 401.5 | LogP: 4.57,LOWEST ATTR (INACTIVE): CHEMBL151873 | SMILES: CCCCCCCCCCCCCCCCC(O)C12C[C@@H]3[C@H](C)CC[C@H]3C3(C=O)CC1C=C(C(C)C)[C@@]23C(=O)O | Attribution: -0.527 | Prediction: 0.418 | MW: 556.9 | LogP: 9.14,INACTIVE w/ POS ATTR: CHEMBL148973 | SMILES: CC(C)C1=CC2CC3(C=O)[C@@H]4CC[C@@H](C)[C@H]4CC2(C(=O)C#CC(C)(C)C)[C@]13C(=O)O | Attribution: 0.407 | Prediction: 0.162 | MW: 410.6,
6,227035,C(NCCN1C=CN=C1)C1=CC=C(C2=CC=CC=C2)C=C1,84,83,1,0,0,0.6402,0.7616,98.81,83,84,98.8,-0.511,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4532739 | SMILES: CC[C@H](C)[C@@H](CN1C=CN=C1)NC(=O)C1=CC=C(C2=CC=CC=C2F)C=C1F | Attribution: 0.762 | Prediction: 0.966 | MW: 383.4 | LogP: 4.67,LOWEST ATTR (INACTIVE): CHEMBL4850896 | SMILES: O=C(C1=CC=C(C2=CC=CC=C2)C=C1)N1CCC[C@@H]1CN1C=CN=C1 | Attribution: -0.511 | Prediction: 0.076 | MW: 331.4 | LogP: 3.85,,
7,227243,C1C[C@H]2C3CCC(C[C@@H]2C1)C3,77,74,3,0,0,0.5334,0.7506,96.10,76,77,98.7,-0.333,0.751,HIGHEST ATTR (INACTIVE): CHEMBL151873 | SMILES: CCCCCCCCCCCCCCCCC(O)C12C[C@@H]3[C@H](C)CC[C@H]3C3(C=O)CC1C=C(C(C)C)[C@@]23C(=O)O | Attribution: 0.751 | Prediction: 0.418 | MW: 556.9 | LogP: 9.14,LOWEST ATTR (INACTIVE): CHEMBL150094 | SMILES: CC(C)C1=CC2CC3(C=O)[C@@H]4CC[C@@H](C)[C@H]4CC2(C(=O)C#CC2=CC=CC=C2)[C@]13C(=O)O | Attribution: -0.333 | Prediction: 0.218 | MW: 430.5 | LogP: 4.53,INACTIVE w/ POS ATTR: CHEMBL151873 | SMILES: CCCCCCCCCCCCCCCCC(O)C12C[C@@H]3[C@H](C)CC[C@H]3C3(C=O)CC1C=C(C(C)C)[C@@]23C(=O)O | Attribution: 0.751 | Prediction: 0.418 | MW: 556.9,
8,227234,C1C[C@@H]2CCC[C@H]2CC1,75,72,3,0,0,0.1208,0.3257,96.00,60,75,80.0,-0.724,0.326,HIGHEST ATTR (ACTIVE): CHEMBL347554 | SMILES: CCCCC#CC(O)C12C[C@@H]3[C@H](C)CC[C@H]3C3(C=O)CC1C=C(C(C)C)[C@@]23C(=O)O | Attribution: 0.326 | Prediction: 0.973 | MW: 412.6 | LogP: 4.47,LOWEST ATTR (INACTIVE): CHEMBL148973 | SMILES: CC(C)C1=CC2CC3(C=O)[C@@H]4CC[C@@H](C)[C@H]4CC2(C(=O)C#CC(C)(C)C)[C@]13C(=O)O | Attribution: -0.724 | Prediction: 0.162 | MW: 410.6 | LogP: 4.53,,ACTIVE w/ NEG ATTR: CHEMBL148979 | SMILES: CC(C)CCCCC(=O)C12C[C@@H]3[C@H](C)CC[C@H]3C3(C=O)CC1C=C(C(C)C)[C@@]23C(=O)O | Attribution: -0.205 | Prediction: 0.699 | MW: 428.6
9,227800,C1=CC=C(CC2=CNC=C2C2=CC=CC=C2)C=C1,63,62,1,0,0,0.2857,0.6790,98.41,43,63,68.3,-0.281,0.679,HIGHEST ATTR (ACTIVE): CHEMBL188801 | SMILES: CN1C=C(C2=CC=C(Cl)C=C2Cl)C(C(C2=CC=CC=C2)N2C=CNC2)=C1 | Attribution: 0.679 | Prediction: 0.905 | MW: 384.3 | LogP: 5.42,LOWEST ATTR (ACTIVE): CHEMBL3084301 | SMILES: O=[N+]([O-])C1=CC=C(C2=CNC=C2[C@@H](C2=CC=C(Cl)C=C2Cl)N2C=CN=C2)C=C1 | Attribution: -0.281 | Prediction: 0.712 | MW: 413.3 | LogP: 5.73,,ACTIVE w/ NEG ATTR: CHEMBL3084301 | SMILES: O=[N+]([O-])C1=CC=C(C2=CNC=C2[C@@H](C2=CC=C(Cl)C=C2Cl)N2C=CN=C2)C=C1 | Attribution: -0.281 | Prediction: 0.712 | MW: 413.3
10,227801,C1=CC=C(C2=CNC=C2CN2C=CN=C2)C=C1,61,61,0,0,0,0.4135,0.7467,100.00,55,61,90.2,-0.018,0.747,HIGHEST ATTR (ACTIVE): CHEMBL3084296 | SMILES: CSC1=CC=C(C2=CNC=C2[C@H](C2=CC=C(Cl)C=C2Cl)N2C=CN=C2)C=C1 | Attribution: 0.747 | Prediction: 0.949 | MW: 414.4 | LogP: 6.54,LOWEST ATTR (ACTIVE): CHEMBL337263 | SMILES: ClC1=CC=C(C(C2=CNC=C2C2=CC=C(Cl)C(Cl)=C2)N2C=CN=C2)C=C1 | Attribution: -0.018 | Prediction: 0.803 | MW: 402.7 | LogP: 6.48,,ACTIVE w/ NEG ATTR: CHEMBL337263 | SMILES: ClC1=CC=C(C(C2=CNC=C2C2=CC=C(Cl)C(Cl)=C2)N2C=CN=C2)C=C1 | Attribution: -0.018 | Prediction: 0.803 | MW: 402.7
