"rank","fragment_id","fragment_smiles","total_compounds","tp_count","tn_count","fp_count","fn_count","avg_attribution","max_attribution","activity_rate_percent","positive_appearances","total_appearances","positive_consistency_percent","min_attribution_ever","max_attribution_ever","highest_attribution_example","lowest_attribution_example","inactive_positive_attribution_example","active_negative_attribution_example"
1,206033,C1=CC2=C(C=C1)C1=C(N3C=CC=N3)C=CN=C1N2,62,62,0,0,0,0.6554,0.7616,100.00,61,62,98.4,-0.130,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4740143 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=CN=C3)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.762 | Prediction: 0.973 | MW: 441.4 | LogP: 4.95,LOWEST ATTR (ACTIVE): CHEMBL4764767 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C4C(=C3)C(=O)C(C(=O)O)=CN4C)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: -0.130 | Prediction: 0.882 | MW: 565.5 | LogP: 5.10,,ACTIVE w/ NEG ATTR: CHEMBL4764767 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C4C(=C3)C(=O)C(C(=O)O)=CN4C)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: -0.130 | Prediction: 0.882 | MW: 565.5
2,206418,C1=CC=C(C=C1)C1=C(N2C=CC=N2)C=CN=C1,60,60,0,0,0,0.6576,0.7616,100.00,59,60,98.3,-0.126,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4744111 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=CC(N)=C3)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.762 | Prediction: 0.972 | MW: 455.4 | LogP: 5.14,LOWEST ATTR (ACTIVE): CHEMBL4764767 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C4C(=C3)C(=O)C(C(=O)O)=CN4C)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: -0.126 | Prediction: 0.882 | MW: 565.5 | LogP: 5.10,,ACTIVE w/ NEG ATTR: CHEMBL4764767 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C4C(=C3)C(=O)C(C(=O)O)=CN4C)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: -0.126 | Prediction: 0.882 | MW: 565.5
3,204814,C1NCC2=CC=CN12,49,49,0,0,0,0.3514,0.7616,100.00,49,49,100.0,0.207,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4450249 | SMILES: CC(C)(O)C#CC#CC1=CN2C(=O)N(CC[C@](C)(C(=O)NO)S(C)(=O)=O)CC2=C1 | Attribution: 0.762 | Prediction: 0.995 | MW: 421.5 | LogP: 0.10,LOWEST ATTR (ACTIVE): CHEMBL3754028 | SMILES: C[C@@](CCN1CC2=CC(C#CC3=CC=C(C4(CN)CC4)C=C3)=CN2C1=O)(C(=O)NO)S(C)(=O)=O | Attribution: 0.207 | Prediction: 0.995 | MW: 484.6 | LogP: 1.36,,
4,206183,C(=N\OCC1=CCC=CN1)/C1=CSC=N1,48,48,0,0,0,0.4677,0.7616,100.00,48,48,100.0,0.184,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4162805 | SMILES: CC(C)C(O/N=C(\C(=O)NC1C(=O)N(S(=O)(=O)O)C12CCC2)C1=CSC(N)=N1)C1=CC(=O)C(O)=CN1O | Attribution: 0.762 | Prediction: 0.972 | MW: 556.6 | LogP: 0.00,LOWEST ATTR (ACTIVE): CHEMBL294974 | SMILES: NC1=NC(/C(=N/OCC2=CC(=O)C(O)=CN2O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSC4=NN=NN4CC(=O)O)SC[C@H]23)=CS1 | Attribution: 0.184 | Prediction: 0.986 | MW: 680.7 | LogP: -1.65,,
5,206416,C(N1C=CC=N1)C1=CNC2=C1C=CC=C2,47,47,0,0,0,0.6195,0.7467,100.00,47,47,100.0,0.326,0.747,HIGHEST ATTR (ACTIVE): CHEMBL4740143 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=CN=C3)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.747 | Prediction: 0.973 | MW: 441.4 | LogP: 4.95,LOWEST ATTR (ACTIVE): CHEMBL4759928 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=CC(C#N)=C3)C(N3N=C(C(F)F)C4=C3CNC4)=C12 | Attribution: 0.326 | Prediction: 0.964 | MW: 488.5 | LogP: 4.95,,
6,206180,C(\C=N/OCC1=CCC=CN1)N[C@@H]1CNC1,47,47,0,0,0,0.6003,0.7574,100.00,47,47,100.0,0.433,0.757,HIGHEST ATTR (ACTIVE): CHEMBL4099493 | SMILES: CC(O/N=C(\C(=O)N[C@@H]1C(=O)N(OS(=O)(=O)O)C1(C)C)C1=NSC(N)=N1)C1=CC(=O)C(O)=CN1O | Attribution: 0.757 | Prediction: 0.984 | MW: 533.5 | LogP: -1.45,LOWEST ATTR (ACTIVE): CHEMBL43018 | SMILES: NC1=NC(/C(=N/OCC2=CC(=O)C(O)=CN2O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSC4=CN=NS4)SC[C@H]23)=CS1 | Attribution: 0.433 | Prediction: 0.973 | MW: 638.7 | LogP: 0.13,,
7,206186,C(N[C@@H]1CNC1)/C(=N\OCC1=CCC=CN1)C1=CSC=N1,43,43,0,0,0,0.7341,0.7616,100.00,43,43,100.0,0.528,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4083553 | SMILES: CC(C)OCC(O/N=C(\C(=O)N[C@@H]1C(=O)N(OS(=O)(=O)O)C1(C)C)C1=CSC(N)=N1)C1=CC(=O)C(O)=CN1O | Attribution: 0.762 | Prediction: 0.994 | MW: 590.6 | LogP: -0.44,LOWEST ATTR (ACTIVE): CHEMBL294974 | SMILES: NC1=NC(/C(=N/OCC2=CC(=O)C(O)=CN2O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSC4=NN=NN4CC(=O)O)SC[C@H]23)=CS1 | Attribution: 0.528 | Prediction: 0.986 | MW: 680.7 | LogP: -1.65,,
8,206415,C1=CC2=C(C=C1)C1=CC=CN=C1N2,37,37,0,0,0,0.5155,0.6319,100.00,37,37,100.0,0.161,0.632,HIGHEST ATTR (ACTIVE): CHEMBL4740143 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=CN=C3)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.632 | Prediction: 0.973 | MW: 441.4 | LogP: 4.95,LOWEST ATTR (ACTIVE): CHEMBL4759845 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=CC(C#N)=C3)C(N3C=CC(C#N)=N3)=C12 | Attribution: 0.161 | Prediction: 0.957 | MW: 422.4 | LogP: 4.28,,
9,207853,C1=CC=C(NC1)C1=CC=C2NC=CC2=C1,35,35,0,0,0,0.7403,0.7616,100.00,35,35,100.0,0.660,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4207556 | SMILES: COC1CCN(CC2=CC3=CC4=C(C=C3N2C)CCCC2=C4NC(=O)C(C(=O)O)=C2O)C1 | Attribution: 0.762 | Prediction: 0.958 | MW: 437.5 | LogP: 2.65,LOWEST ATTR (ACTIVE): CHEMBL4207600 | SMILES: CC(C)NCC1=CC2=CC3=C(C=C2N1C)SCCC1=C3NC(=O)C(C(=O)O)=C1O | Attribution: 0.660 | Prediction: 0.977 | MW: 413.5 | LogP: 3.08,,
10,206419,C1=CC(C2=CN=C3NC4=C(C=CC=C4)C3=C2)=CN=C1,34,34,0,0,0,0.5989,0.7439,100.00,34,34,100.0,0.133,0.744,HIGHEST ATTR (ACTIVE): CHEMBL4761261 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=CC(C#N)=C3)C(N3N=C(C(F)(F)F)C=C3C)=C12 | Attribution: 0.744 | Prediction: 0.964 | MW: 479.4 | LogP: 5.73,LOWEST ATTR (ACTIVE): CHEMBL4764767 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C4C(=C3)C(=O)C(C(=O)O)=CN4C)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.133 | Prediction: 0.882 | MW: 565.5 | LogP: 5.10,,
