"rank","fragment_id","fragment_smiles","total_compounds","tp_count","tn_count","fp_count","fn_count","avg_attribution","max_attribution","activity_rate_percent","positive_appearances","total_appearances","positive_consistency_percent","min_attribution_ever","max_attribution_ever","highest_attribution_example","lowest_attribution_example","inactive_positive_attribution_example","active_negative_attribution_example"
1,204818,CN(CC[C@](C)(C(=O)NO)S(C)(=O)=O)C=O,66,66,0,0,0,0.1502,0.3390,100.00,57,66,86.4,0.074,0.339,HIGHEST ATTR (ACTIVE): CHEMBL4450249 | SMILES: CC(C)(O)C#CC#CC1=CN2C(=O)N(CC[C@](C)(C(=O)NO)S(C)(=O)=O)CC2=C1 | Attribution: 0.339 | Prediction: 0.995 | MW: 421.5 | LogP: 0.10,LOWEST ATTR (ACTIVE): CHEMBL4446012 | SMILES: C[C@@](CCN1CC2=C(SC(C#CC#C[C@H]3C[C@@H]3CO)=C2)C1=O)(C(=O)NO)S(C)(=O)=O | Attribution: 0.074 | Prediction: 0.995 | MW: 450.5 | LogP: 0.39,,
2,206034,C-C(F)-C-CNCC,63,63,0,0,0,0.1985,0.3808,100.00,36,63,57.1,-0.026,0.381,HIGHEST ATTR (ACTIVE): CHEMBL4744193 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=CC(CC4=NC=CN4)=C3)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.381 | Prediction: 0.964 | MW: 520.5 | LogP: 5.87,LOWEST ATTR (ACTIVE): CHEMBL4746589 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=CC(C#N)=C3)C(N3C=C(C(=O)OCC)C(C(F)(F)F)=N3)=C12 | Attribution: -0.026 | Prediction: 0.893 | MW: 537.5 | LogP: 5.60,,ACTIVE w/ NEG ATTR: CHEMBL4746589 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=CC(C#N)=C3)C(N3C=C(C(=O)OCC)C(C(F)(F)F)=N3)=C12 | Attribution: -0.026 | Prediction: 0.893 | MW: 537.5
3,206035,CCNC1=CC(F)=CC=C1N,56,56,0,0,0,0.1923,0.3382,100.00,49,56,87.5,0.020,0.338,HIGHEST ATTR (ACTIVE): CHEMBL4750738 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C(OC4CCNC4)N=C3)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.338 | Prediction: 0.984 | MW: 526.5 | LogP: 4.69,LOWEST ATTR (ACTIVE): CHEMBL4746589 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=CC(C#N)=C3)C(N3C=C(C(=O)OCC)C(C(F)(F)F)=N3)=C12 | Attribution: 0.020 | Prediction: 0.893 | MW: 537.5 | LogP: 5.60,,
4,208395,O=CNS(=O)(=O)O,48,48,0,0,0,0.3089,0.3660,100.00,48,48,100.0,0.110,0.366,HIGHEST ATTR (ACTIVE): CHEMBL4206120 | SMILES: CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N(S(=O)(=O)O)[C@@H]1CN1C[C@H](CNC(=N)N)OC1=O)C1=CSC(N)=N1)C(=O)O | Attribution: 0.366 | Prediction: 0.996 | MW: 591.6 | LogP: -2.89,LOWEST ATTR (ACTIVE): CHEMBL4164311 | SMILES: CC(C)C(O/N=C(\C(=O)NC1C(=O)N(S(=O)(=O)O)C12CCCCC2)C1=CSC(N)=N1)C1=CC(=O)C(O)=CN1O | Attribution: 0.110 | Prediction: 0.948 | MW: 584.6 | LogP: 0.78,,
5,206196,CC1(C)[C@H](NC=O)C(=O)N1OS(=O)(=O)O,37,37,0,0,0,0.1937,0.2455,100.00,34,37,91.9,0.079,0.246,HIGHEST ATTR (ACTIVE): CHEMBL4070934 | SMILES: CSC[C@@H](O/N=C(\C(=O)N[C@@H]1C(=O)N(OS(=O)(=O)O)C1(C)C)C1=CSC(N)=N1)C1=CC(=O)C(O)=CN1O | Attribution: 0.246 | Prediction: 0.996 | MW: 578.6 | LogP: -0.51,LOWEST ATTR (ACTIVE): CHEMBL4060716 | SMILES: CC1(C)[C@H](NC(=O)/C(=N\OC(C2=NC=CS2)C2=CC(=O)C(O)=CN2O)C2=CSC(N)=N2)C(=O)N1OS(=O)(=O)O | Attribution: 0.079 | Prediction: 0.987 | MW: 601.6 | LogP: -0.36,,
6,207081,O=CNOS(=O)(=O)[O-],22,22,0,0,0,0.1298,0.2556,100.00,11,22,50.0,0.051,0.256,HIGHEST ATTR (ACTIVE): CHEMBL4088713 | SMILES: CC(=O)NNC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-] | Attribution: 0.256 | Prediction: 0.981 | MW: 321.3 | LogP: -2.19,LOWEST ATTR (ACTIVE): CHEMBL4586377 | SMILES: CC(C)(C)OC(=O)NCC1=CN(C[C@@H]2CC[C@@H]3CN2C(=O)N3OS(=O)(=O)[O-])N=N1 | Attribution: 0.051 | Prediction: 0.983 | MW: 431.5 | LogP: -0.04,,
7,207412,C#CC#CC1CC1,22,22,0,0,0,0.1282,0.1582,100.00,17,22,77.3,0.089,0.158,HIGHEST ATTR (ACTIVE): CHEMBL4216639 | SMILES: C[C@@H](O)[C@H](NC(=O)C1=CC=C(C#CC#CC2CC2)C=N1)C(=O)NO | Attribution: 0.158 | Prediction: 0.983 | MW: 327.3 | LogP: -0.17,LOWEST ATTR (ACTIVE): CHEMBL4215305 | SMILES: CC(C)(N)[C@H](NC(=O)C1=CC=C(C#CC#CC2CC2)C=C1F)C(=O)NO | Attribution: 0.089 | Prediction: 0.988 | MW: 357.4 | LogP: 0.93,,
8,208103,O=CNS(=O)(=O)[O-],21,21,0,0,0,0.2941,0.3614,100.00,21,21,100.0,0.156,0.361,HIGHEST ATTR (ACTIVE): CHEMBL340423 | SMILES: O=C(OCC1=CC=CC=C1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)[O-] | Attribution: 0.361 | Prediction: 0.989 | MW: 325.3 | LogP: 0.07,LOWEST ATTR (ACTIVE): CHEMBL129226 | SMILES: CN1C=CN=C1SCC(=O)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)[O-] | Attribution: 0.156 | Prediction: 0.996 | MW: 345.4 | LogP: -1.22,,
9,208899,CC(C)C(ON)C1=CC(=O)C(O)=CN1O,20,20,0,0,0,0.2840,0.3407,100.00,20,20,100.0,0.205,0.341,HIGHEST ATTR (ACTIVE): CHEMBL4174225 | SMILES: CC(C)C(O/N=C(\C(=O)N[C@@H]1C(=O)N(S(=O)(=O)O)[C@@H]1CSC1=NC(=O)C(O)=NN1C)C1=CSC(N)=N1)C1=CC(=O)C(O)=CN1O | Attribution: 0.341 | Prediction: 0.946 | MW: 687.7 | LogP: -1.57,LOWEST ATTR (ACTIVE): CHEMBL4172263 | SMILES: CC1=NN=C(SC[C@@H]2[C@H](NC(=O)/C(=N\OC(C3=CC(=O)C(O)=CN3O)C(C)C)C3=CSC(N)=N3)C(=O)N2S(=O)(=O)O)S1 | Attribution: 0.205 | Prediction: 0.975 | MW: 660.7 | LogP: 0.40,,
10,209995,O=C1NC[C@@H](C(=O)NO)O1,18,18,0,0,0,0.1488,0.3808,100.00,13,18,72.2,0.048,0.381,HIGHEST ATTR (ACTIVE): CHEMBL3827305 | SMILES: O=C(NO)[C@@H]1CN(C2=CC=C(C#CC#CCCCO)C=C2)C(=O)O1 | Attribution: 0.381 | Prediction: 0.958 | MW: 328.3 | LogP: 0.64,LOWEST ATTR (ACTIVE): CHEMBL5281495 | SMILES: CNS(=O)(=O)C1=CC=C(C#CC#CC2=CC=C(N3C[C@@H](C(=O)NO)OC3=O)C=C2)C=C1 | Attribution: 0.048 | Prediction: 0.979 | MW: 439.4 | LogP: 0.83,,
