"rank","fragment_id","fragment_smiles","total_compounds","tp_count","tn_count","fp_count","fn_count","avg_attribution","max_attribution","activity_rate_percent","positive_appearances","total_appearances","positive_consistency_percent","min_attribution_ever","max_attribution_ever","highest_attribution_example","lowest_attribution_example","inactive_positive_attribution_example","active_negative_attribution_example"
1,6105,C1OC[C@@H]2COC3=CC=CC=C3N12,87,85,2,0,0,0.6896,0.7616,97.70,86,87,98.9,-0.139,0.762,HIGHEST ATTR (ACTIVE): CHEMBL1915624 | SMILES: CC(=O)NC[C@@H]1OC(=O)N2C3=CC=C(C4=CN=C(N)N=C4)C=C3OC[C@@H]12 | Attribution: 0.762 | Prediction: 0.983 | MW: 355.4 | LogP: 0.95,LOWEST ATTR (INACTIVE): CHEMBL2397049 | SMILES: N#CC1=CC=C(C2=CC=C3C(=C2)OC[C@H]2[C@H](C(N)=O)OC(=O)N32)C=N1 | Attribution: -0.139 | Prediction: 0.151 | MW: 336.3 | LogP: 1.19,INACTIVE w/ POS ATTR: CHEMBL2397058 | SMILES: C/C(=N\OC(C)C)C1=CC=C(C2=CC=C3C(=C2)OC[C@H]2[C@H](CN4C=CN=N4)OC(=O)N32)C=N1 | Attribution: 0.189 | Prediction: 0.371 | MW: 448.5,
2,6101,C1OC[C@@H]2COC=CN12,87,85,2,0,0,0.6825,0.7616,97.70,87,87,100.0,0.220,0.762,HIGHEST ATTR (ACTIVE): CHEMBL1915600 | SMILES: CC(=O)NC[C@@H]1OC(=O)N2C3=CC=C(N4CCOCC4)C=C3OC[C@@H]12 | Attribution: 0.762 | Prediction: 0.953 | MW: 347.4 | LogP: 0.75,LOWEST ATTR (INACTIVE): CHEMBL2397049 | SMILES: N#CC1=CC=C(C2=CC=C3C(=C2)OC[C@H]2[C@H](C(N)=O)OC(=O)N32)C=N1 | Attribution: 0.220 | Prediction: 0.151 | MW: 336.3 | LogP: 1.19,INACTIVE w/ POS ATTR: CHEMBL2397058 | SMILES: C/C(=N\OC(C)C)C1=CC=C(C2=CC=C3C(=C2)OC[C@H]2[C@H](CN4C=CN=N4)OC(=O)N32)C=N1 | Attribution: 0.492 | Prediction: 0.371 | MW: 448.5,
3,6104,C1OC[C@@H]2COC3=CC(C4=CC=CN=C4)=CC=C3N12,74,72,2,0,0,0.6122,0.7616,97.30,71,74,95.9,-0.191,0.762,HIGHEST ATTR (ACTIVE): CHEMBL1915811 | SMILES: CC(=O)NC[C@@H]1OC(=O)N2C3=CC=C(C4=CC=C(N5C=NC=N5)N=C4)C=C3OC[C@@H]12 | Attribution: 0.762 | Prediction: 0.979 | MW: 406.4 | LogP: 1.55,LOWEST ATTR (INACTIVE): CHEMBL2397058 | SMILES: C/C(=N\OC(C)C)C1=CC=C(C2=CC=C3C(=C2)OC[C@H]2[C@H](CN4C=CN=N4)OC(=O)N32)C=N1 | Attribution: -0.191 | Prediction: 0.371 | MW: 448.5 | LogP: 3.28,,
4,6040,C1O[C@@H](CN2C=CN=N2)CN1C1=CC=C(C2=CC=CN=C2)C=C1,68,67,1,0,0,0.6926,0.7616,98.53,68,68,100.0,0.119,0.762,HIGHEST ATTR (ACTIVE): CHEMBL230219 | SMILES: CO[C@@H](C)C1=CC=C(C2=CC=C(N3C[C@H](CN4C=CN=N4)OC3=O)C=C2F)C=N1 | Attribution: 0.762 | Prediction: 0.997 | MW: 397.4 | LogP: 3.21,LOWEST ATTR (ACTIVE): CHEMBL2397063 | SMILES: CN1N=NN=C1C1=CC=C(C2=CC=C3C(=C2)OC[C@H]2[C@H](CN4C=CN=N4)OC(=O)N32)C=N1 | Attribution: 0.119 | Prediction: 0.916 | MW: 431.4 | LogP: 1.32,INACTIVE w/ POS ATTR: CHEMBL2397058 | SMILES: C/C(=N\OC(C)C)C1=CC=C(C2=CC=C3C(=C2)OC[C@H]2[C@H](CN4C=CN=N4)OC(=O)N32)C=N1 | Attribution: 0.337 | Prediction: 0.371 | MW: 448.5,
5,6103,C1=CN=CC(C2=CC=C3NCCOC3=C2)=C1,72,66,6,0,0,0.3455,0.6836,91.67,63,72,87.5,-0.762,0.684,HIGHEST ATTR (ACTIVE): CHEMBL2323166 | SMILES: O=C1O[C@@H](CO)[C@@H]2COC3=CC(C4=CC=C(N5CCC(O)CC5)N=C4)=CC=C3N12 | Attribution: 0.684 | Prediction: 0.915 | MW: 397.4 | LogP: 1.79,LOWEST ATTR (INACTIVE): CHEMBL2397049 | SMILES: N#CC1=CC=C(C2=CC=C3C(=C2)OC[C@H]2[C@H](C(N)=O)OC(=O)N32)C=N1 | Attribution: -0.762 | Prediction: 0.151 | MW: 336.3 | LogP: 1.19,,ACTIVE w/ NEG ATTR: CHEMBL1915632 | SMILES: CC(=O)NC[C@@H]1OC(=O)N2C3=CC=C(C4=CC=C(C5=NN=NN5C)N=C4)C=C3OC[C@@H]12 | Attribution: -0.111 | Prediction: 0.761 | MW: 421.4
6,1041,C1=NC=CC(CCC[C@@H]2CCNCC2)=C1,66,62,4,0,0,0.6747,0.7616,93.94,64,66,97.0,-0.178,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4103746 | SMILES: COC1=CC=C2N=CC(F)=C([C@@H](O)CC[C@@H]3CCN(C4CC(C5=CC=CC=C5)C4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.762 | Prediction: 0.982 | MW: 492.6 | LogP: 5.17,LOWEST ATTR (INACTIVE): CHEMBL2158042 | SMILES: COC1=CC=C2N=CC=C([C@H](O)CC[C@@H]3CCN(CCS(=O)(=O)C4=CC=C[Se]4)C[C@@H]3C(=O)O)C2=C1 | Attribution: -0.178 | Prediction: 0.256 | MW: 565.6 | LogP: 2.61,INACTIVE w/ POS ATTR: CHEMBL2159979 | SMILES: COC1=CC=C2N=CC=C([C@H](O)CC[C@@H]3CCN(CCSC4=C(P(=O)(O)O)C=CS4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.507 | Prediction: 0.089 | MW: 566.6,
7,14274,C1=NC=CC(CC[C@H]2OCCCO2)=C1,67,62,5,0,0,0.6549,0.7616,92.54,67,67,100.0,0.149,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4755530 | SMILES: COC1=CC=C2N=CC=C(CC[C@H]3OC[C@H](NC(=O)C4=CC=C(C(C)(C)C)C=C4)CO3)C2=C1 | Attribution: 0.762 | Prediction: 0.962 | MW: 448.6 | LogP: 4.65,LOWEST ATTR (INACTIVE): CHEMBL4759717 | SMILES: COC1=CC=C2N=CC=C(CC[C@H]3OC[C@H](NC(=O)[C@H]4CC[C@H](O)CC4)CO3)C2=C1 | Attribution: 0.149 | Prediction: 0.045 | MW: 414.5 | LogP: 2.58,INACTIVE w/ POS ATTR: CHEMBL4779883 | SMILES: COC1=CC=C2N=CC=C(CC[C@H]3OC[C@H](NC(=O)C4COC5=CC=CC=C5C4)CO3)C2=C1 | Attribution: 0.696 | Prediction: 0.070 | MW: 448.5,
8,1044,C1=CC=C2C(CCC[C@@H]3CCNCC3)=CC=NC2=C1,65,61,4,0,0,0.6936,0.7616,93.85,63,65,96.9,-0.275,0.762,HIGHEST ATTR (ACTIVE): CHEMBL2159974 | SMILES: COC1=CC=C2N=CC=C([C@@H](O)CC[C@@H]3CCN(CCSC4=CC=CO4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.762 | Prediction: 0.928 | MW: 470.6 | LogP: 4.47,LOWEST ATTR (INACTIVE): CHEMBL2158042 | SMILES: COC1=CC=C2N=CC=C([C@H](O)CC[C@@H]3CCN(CCS(=O)(=O)C4=CC=C[Se]4)C[C@@H]3C(=O)O)C2=C1 | Attribution: -0.275 | Prediction: 0.256 | MW: 565.6 | LogP: 2.61,INACTIVE w/ POS ATTR: CHEMBL2159979 | SMILES: COC1=CC=C2N=CC=C([C@H](O)CC[C@@H]3CCN(CCSC4=C(P(=O)(O)O)C=CS4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.398 | Prediction: 0.089 | MW: 566.6,
9,1039,C(CCC[C@@H]1CCNCC1)C1=CC=CC=C1,65,61,4,0,0,0.5868,0.7510,93.85,63,65,96.9,-0.489,0.751,HIGHEST ATTR (ACTIVE): CHEMBL2158050 | SMILES: COC1=CC=C2N=CC(F)=C([C@@H](O)CC[C@@H]3CCN(CCSC4=CC=CS4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.751 | Prediction: 0.978 | MW: 504.6 | LogP: 5.07,LOWEST ATTR (INACTIVE): CHEMBL2158042 | SMILES: COC1=CC=C2N=CC=C([C@H](O)CC[C@@H]3CCN(CCS(=O)(=O)C4=CC=C[Se]4)C[C@@H]3C(=O)O)C2=C1 | Attribution: -0.489 | Prediction: 0.256 | MW: 565.6 | LogP: 2.61,INACTIVE w/ POS ATTR: CHEMBL2159979 | SMILES: COC1=CC=C2N=CC=C([C@H](O)CC[C@@H]3CCN(CCSC4=C(P(=O)(O)O)C=CS4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.143 | Prediction: 0.089 | MW: 566.6,
10,3490,C1C[C@H]2CCCCC2C2=C1C=CC=C2,58,58,0,0,0,0.6588,0.7488,100.00,58,58,100.0,0.469,0.749,HIGHEST ATTR (ACTIVE): CHEMBL4092823 | SMILES: CC(C)C1=CC2=C(C=C1Br)[C@@]1(C)CCC[C@@](C)(C(=O)O)[C@@H]1C/C2=N\OCCCNC(=O)C1=CC=C(C(F)(F)F)C=C1 | Attribution: 0.749 | Prediction: 0.859 | MW: 637.5 | LogP: 7.68,LOWEST ATTR (ACTIVE): CHEMBL519712 | SMILES: CC(C)C1=CC2=C(C=C1O)[C@@]1(C)C(=O)CCC(C)(C)[C@@H]1[C@H](O)C2=O | Attribution: 0.469 | Prediction: 0.479 | MW: 330.4 | LogP: 3.34,,
11,4201,C1OCCN1C1=CC=C2C=CCCCC2=C1,57,57,0,0,0,0.7466,0.7616,100.00,57,57,100.0,0.623,0.762,HIGHEST ATTR (ACTIVE): CHEMBL250717 | SMILES: CCCC(=O)NC[C@H]1CN(C2=CC=C3C(=C2)CCCC2=C3NN=C2CCC)C(=O)O1 | Attribution: 0.762 | Prediction: 0.967 | MW: 410.5 | LogP: 3.76,LOWEST ATTR (ACTIVE): CHEMBL392230 | SMILES: CC(=O)NC[C@H]1CN(C2=CC=C3C(=C2)CCCC2=C3NN=C2C2=CSC(C3=CC=CC=C3)=N2)C(=O)O1 | Attribution: 0.623 | Prediction: 0.945 | MW: 499.6 | LogP: 4.82,,
12,4202,C1OCCN1C1=CC=C(C=C1)C1=CC=NN1,55,55,0,0,0,0.6888,0.7616,100.00,55,55,100.0,0.567,0.762,HIGHEST ATTR (ACTIVE): CHEMBL400333 | SMILES: O=C(NC[C@H]1CN(C2=CC=C3C(=C2)CCCC2=C3NN=C2C2=CC=NO2)C(=O)O1)C1=CC=CN=C1 | Attribution: 0.762 | Prediction: 0.977 | MW: 470.5 | LogP: 3.37,LOWEST ATTR (ACTIVE): CHEMBL247940 | SMILES: CCCC1=NNC2=C1CCCC1=CC(N3C[C@H](CNC(C)=O)OC3=O)=CC=C12 | Attribution: 0.567 | Prediction: 0.989 | MW: 382.5 | LogP: 2.98,,
13,4197,C1OCCN1C1=CC=C2C(=C1)CCCC1=C2NN=C1,55,55,0,0,0,0.6716,0.7616,100.00,55,55,100.0,0.554,0.762,HIGHEST ATTR (ACTIVE): CHEMBL401265 | SMILES: O=C(NC[C@H]1CN(C2=CC=C3C(=C2)CCCC2=C3NN=C2C2=CC=NO2)C(=O)O1)C(F)F | Attribution: 0.762 | Prediction: 0.997 | MW: 443.4 | LogP: 2.93,LOWEST ATTR (ACTIVE): CHEMBL400479 | SMILES: CC(=O)NC[C@H]1CN(C2=CC=C3C(=C2)CCCC2=C3NN=C2NC(=O)CO)C(=O)O1 | Attribution: 0.554 | Prediction: 0.988 | MW: 413.4 | LogP: 0.96,,
