"rank","fragment_id","fragment_smiles","total_compounds","tp_count","tn_count","fp_count","fn_count","avg_attribution","max_attribution","activity_rate_percent","positive_appearances","total_appearances","positive_consistency_percent","min_attribution_ever","max_attribution_ever","highest_attribution_example","lowest_attribution_example","inactive_positive_attribution_example","active_negative_attribution_example"
1,3497,C-C(Br)-C(C(C)C)-C,71,71,0,0,0,0.1189,0.1925,100.00,47,71,66.2,0.005,0.193,HIGHEST ATTR (ACTIVE): CHEMBL3747653 | SMILES: COC1=CC=CC=C1C(=O)NCCO/N=C1\C[C@H]2[C@](C)(C(=O)O)CCC[C@]2(C)C2=CC(Br)=C(C(C)C)C=C12 | Attribution: 0.193 | Prediction: 0.884 | MW: 585.5 | LogP: 6.28,LOWEST ATTR (ACTIVE): CHEMBL4060675 | SMILES: CC(C)C1=CC2=C(C=C1Br)[C@@]1(C)CCC[C@@](C)(C(=O)O)[C@@H]1C/C2=N\OCCCNC(=O)CC1=CC=CC(C(F)(F)F)=C1 | Attribution: 0.005 | Prediction: 0.854 | MW: 651.6 | LogP: 7.61,,
2,3502,C[C@@H]1C(C)CCC[C@@]1(C)C(=O)O,66,66,0,0,0,0.1725,0.2326,100.00,63,66,95.5,0.050,0.233,HIGHEST ATTR (ACTIVE): CHEMBL4228797 | SMILES: CC(C)C1=CC2=C(C=C1Br)[C@@]1(C)CCC[C@@](C)(C(=O)O)[C@@H]1C/C2=N\OCCNS(=O)(=O)C1CC1 | Attribution: 0.233 | Prediction: 0.939 | MW: 555.5 | LogP: 4.93,LOWEST ATTR (ACTIVE): CHEMBL3747096 | SMILES: CC(C)C1=CC2=C(C=C1Br)[C@@]1(C)CCC[C@@](C)(C(=O)O)[C@@H]1C/C2=N\OCCNC(=O)C1=C(F)C(F)=C(F)C(F)=C1F | Attribution: 0.050 | Prediction: 0.824 | MW: 645.5 | LogP: 6.97,,
3,4839,CCNC(=O)NC(-N)-S,64,63,1,0,0,0.2563,0.3287,98.44,63,64,98.4,-0.173,0.329,HIGHEST ATTR (ACTIVE): CHEMBL3321952 | SMILES: CCNC(=O)NC1=NC2=CC(C3=CN=C(C4(O)CCNCC4)N=C3)=CC(C3=CC=CC=N3)=C2S1 | Attribution: 0.329 | Prediction: 0.988 | MW: 475.6 | LogP: 3.53,LOWEST ATTR (INACTIVE): CHEMBL3114204 | SMILES: CCNC(=O)NC1=NC2=C(S1)N(C(C)C)C(=O)C(C1=CC=C(C3=NN=NN3C)N=C1)=C2 | Attribution: -0.173 | Prediction: 0.340 | MW: 439.5 | LogP: 2.43,,
4,1886,C-CCC,59,59,0,0,0,0.3406,0.3808,100.00,59,59,100.0,0.259,0.381,HIGHEST ATTR (ACTIVE): CHEMBL4173632 | SMILES: COC1=CC=C2C(=C1OCC(=O)C(C)(C)C)C=[N+]1CCC3=C4C(=C5OCOC5=C3)C=CC2=C41 | Attribution: 0.381 | Prediction: 0.875 | MW: 444.5 | LogP: 4.72,LOWEST ATTR (ACTIVE): CHEMBL4288526 | SMILES: COC1=CC=C2C(=C1OC)C=[N+]1CCC3=C4C(=C5OCOC5=C3)C(CC3=CC=CC=C3[N+](=O)[O-])=CC2=C41 | Attribution: 0.259 | Prediction: 0.818 | MW: 495.5 | LogP: 5.23,,
5,3503,CC(C)C1=CC=CC=C1Br,54,54,0,0,0,0.2534,0.3273,100.00,54,54,100.0,0.151,0.327,HIGHEST ATTR (ACTIVE): CHEMBL4226828 | SMILES: CC(C)C1=CC2=C(C=C1Br)[C@@]1(C)CCC[C@@](C)(C(=O)O)[C@@H]1C/C2=N\OCCNS(=O)(=O)C1=CC=C(Br)C=C1 | Attribution: 0.327 | Prediction: 0.934 | MW: 670.5 | LogP: 6.59,LOWEST ATTR (ACTIVE): CHEMBL4227419 | SMILES: CC(C)C1=CC2=C(C=C1Br)[C@@]1(C)CCC[C@@](C)(C(=O)O)[C@@H]1C/C2=N\OCCNS(=O)(=O)C1=CC=C(Cl)C(C(F)(F)F)=C1 | Attribution: 0.151 | Prediction: 0.896 | MW: 694.0 | LogP: 7.50,,
6,8941,OC-C(Br)-C-CBr,51,51,0,0,0,0.3287,0.3808,100.00,51,51,100.0,0.127,0.381,HIGHEST ATTR (ACTIVE): CHEMBL4280090 | SMILES: CC1=NC2=C(O)C(Br)=CC(Br)=C2C=C1C(=O)C1=CC=CC=C1 | Attribution: 0.381 | Prediction: 0.961 | MW: 421.1 | LogP: 5.00,LOWEST ATTR (ACTIVE): CHEMBL4248757 | SMILES: CC(C)(C)C1=CC=C2N=C3C(O)=C(Br)C=C(Br)C3=NC2=C1 | Attribution: 0.127 | Prediction: 0.950 | MW: 410.1 | LogP: 5.31,,
7,1984,C/C(=N\NC(=N)N)C1=CC=C(NC(N)=O)C=C1,46,46,0,0,0,0.2055,0.3074,100.00,44,46,95.7,-0.064,0.307,HIGHEST ATTR (ACTIVE): CHEMBL5289347 | SMILES: CCCCCCC#CC1=CC=C(NC(=O)NC2=CC=C(/C(C)=N/NC(=N)N)C=C2)C=C1 | Attribution: 0.307 | Prediction: 0.978 | MW: 418.5 | LogP: 4.86,LOWEST ATTR (ACTIVE): CHEMBL5271551 | SMILES: C/C(=N\NC(=N)N)C1=CC=C(NC(=O)NC2=CC=C(C#CC3=CC=CC=C3)C=C2)C=C1 | Attribution: -0.064 | Prediction: 0.845 | MW: 410.5 | LogP: 3.94,,ACTIVE w/ NEG ATTR: CHEMBL5271551 | SMILES: C/C(=N\NC(=N)N)C1=CC=C(NC(=O)NC2=CC=C(C#CC3=CC=CC=C3)C=C2)C=C1 | Attribution: -0.064 | Prediction: 0.845 | MW: 410.5
8,12522,CC(=O)NC[C@@H]1OC(=O)N[C@H]1CO,45,45,0,0,0,0.1464,0.2226,100.00,40,45,88.9,0.008,0.223,HIGHEST ATTR (ACTIVE): CHEMBL1915615 | SMILES: CC(=O)NC[C@@H]1OC(=O)N2C3=CC=C(C4=CC=CC(N)=C4)C=C3OC[C@@H]12 | Attribution: 0.223 | Prediction: 0.971 | MW: 353.4 | LogP: 2.16,LOWEST ATTR (ACTIVE): CHEMBL1915619 | SMILES: CC(=O)NC[C@@H]1OC(=O)N2C3=CC=C(C4=CC=C(C#N)N=C4)C=C3OC[C@@H]12 | Attribution: 0.008 | Prediction: 0.938 | MW: 364.4 | LogP: 1.84,,
9,15299,C-[N+]CC,41,41,0,0,0,0.3779,0.3808,100.00,41,41,100.0,0.361,0.381,HIGHEST ATTR (ACTIVE): CHEMBL4160973 | SMILES: COC1=CC=C2C(=C1NCC1=CC=CO1)C=[N+]1CCC3=C4C(=C5OCOC5=C3)C=CC2=C41 | Attribution: 0.381 | Prediction: 0.945 | MW: 425.5 | LogP: 4.93,LOWEST ATTR (ACTIVE): CHEMBL4281740 | SMILES: COC1=CC=C2C(=C1OC)C=[N+]1CCC3=C4C(=C5OCOC5=C3)C(CC3=CC=NC=C3)=CC2=C41 | Attribution: 0.361 | Prediction: 0.893 | MW: 451.5 | LogP: 4.72,,
10,11575,CCNC(=O)NC(-N)-N,41,41,0,0,0,0.2758,0.3677,100.00,41,41,100.0,0.144,0.368,HIGHEST ATTR (ACTIVE): CHEMBL472009 | SMILES: CCNC(=O)NC1=NC2=CC(C3=CC=CN=C3)=C(F)C=C2N1 | Attribution: 0.368 | Prediction: 0.911 | MW: 299.3 | LogP: 2.91,LOWEST ATTR (ACTIVE): CHEMBL3357000 | SMILES: CCNC(=O)NC1=NC2=CC(C3=CC(=O)N(CC4=CC=CC=N4)C(C)=C3)=C(F)C(N3C=C(C)C=N3)=C2N1 | Attribution: 0.144 | Prediction: 0.992 | MW: 500.5 | LogP: 3.92,,
11,6113,O=C1N[C@@H](CO)[C@H](CO)O1,38,38,0,0,0,0.1733,0.2758,100.00,35,38,92.1,-0.003,0.276,HIGHEST ATTR (ACTIVE): CHEMBL2323169 | SMILES: NCC1=CC=C(C2=CC=C3C(=C2)OC[C@H]2[C@H](CO)OC(=O)N32)C=N1 | Attribution: 0.276 | Prediction: 0.934 | MW: 327.3 | LogP: 1.29,LOWEST ATTR (ACTIVE): CHEMBL2323191 | SMILES: N#CC1=CC=C(C2=CC=C3C(=C2)OC[C@H]2[C@H](CO)OC(=O)N32)C=N1 | Attribution: -0.003 | Prediction: 0.785 | MW: 323.3 | LogP: 1.70,,ACTIVE w/ NEG ATTR: CHEMBL2323191 | SMILES: N#CC1=CC=C(C2=CC=C3C(=C2)OC[C@H]2[C@H](CO)OC(=O)N32)C=N1 | Attribution: -0.003 | Prediction: 0.785 | MW: 323.3
