compound_id,smiles,violations,violation_details,SA_binary,EC_binary,CA_binary,SA_ensemble,EC_ensemble,CA_ensemble,SA_mic,EC_mic,CA_mic,MW,LogP,TPSA,HBD,HBA,RotBonds,Rings,Fsp3
CHEMBL2297203,CC1=CC(C(=O)/C=C/C2=CC=CN2)=C(C)O1,0,[],1,1,1,0.7969464898109436,0.9183004021644592,0.9756702423095704,30.0,40.0,30.0,215.3,3.12,46.0,1,2,3,2,0.15
CHEMBL478705,COC1=CC=C(C(=O)NC2=CC=CC=C2)C=C1OC,0,[],1,1,1,0.8482493162155151,0.6039977550506592,0.7998664617538452,23.0,23.0,16.0,257.3,2.96,47.6,1,3,4,2,0.13
CHEMBL448020,COC1=CC=C(C(=O)NC2=CC=C(Cl)C=C2)C=C1OC,0,[],1,1,1,0.6834797978401184,0.6328287482261657,0.8016782879829407,19.0,17.0,13.5,291.7,3.61,47.6,1,3,4,2,0.13
CHEMBL45854,COC1=CC=C(C(=O)NC2=CC=CC=C2Cl)C=C1OC,0,[],1,1,1,0.8526615262031555,0.5842710375785828,0.6800970911979676,15.0,17.0,13.5,291.7,3.61,47.6,1,3,4,2,0.13
CHEMBL476282,COC1=CC=C(C(=O)NC2=CC=C(C)C=C2)C=C1OC,0,[],1,1,1,0.6943217575550079,0.6186407923698425,0.7749057173728943,18.5,17.0,13.0,271.3,3.26,47.6,1,3,4,2,0.19
CHEMBL470988,COC1=CC=C(C(=O)NC2=CC=CC=C2C)C=C1OC,0,[],1,1,1,0.8701910018920899,0.51163449883461,0.5976522713899612,17.0,18.5,13.0,271.3,3.26,47.6,1,3,4,2,0.19
CHEMBL476281,COC1=CC=C(C(=O)NC2=CC=CC(C)=C2)C=C1OC,0,[],1,1,1,0.7409005045890809,0.4973917126655579,0.7296648144721984,17.0,17.0,10.0,271.3,3.26,47.6,1,3,4,2,0.19
CHEMBL476844,COC1=CC=C(C(=O)NC2=CC=C(Br)C=C2)C=C1OC,0,[],1,1,1,0.5428490445017815,0.6151599168777466,0.7884310722351074,19.0,19.0,15.0,336.2,3.72,47.6,1,3,4,2,0.13
CHEMBL250454,COC1=CC=C(C(=O)NC2=CC=CC(Cl)=C2)C=C1OC,0,[],1,1,1,0.5986478745937347,0.5479774117469788,0.7783372282981873,20.0,17.0,15.0,291.7,3.61,47.6,1,3,4,2,0.13
CHEMBL2047931,C=C(C(=O)OCC)C(O)C1=CC=C(Cl)C=C1,1,['Rings: 1 (range: 1.88-2.92)'],1,1,1,0.9884684085845948,0.9629948854446412,0.969174838066101,18.0,15.0,12.0,240.7,2.49,46.5,1,3,4,1,0.25
CHEMBL2047935,C=C(C(=O)OCC)C(O)C1=CC=C(F)C=C1,1,['Rings: 1 (range: 1.88-2.92)'],1,1,1,0.9867940783500672,0.963403820991516,0.9700034379959106,20.0,16.0,15.0,224.2,1.98,46.5,1,3,4,1,0.25
CHEMBL2047937,C=C(C(=O)OCC)C(O)C1=CC=CC=C1Cl,1,['Rings: 1 (range: 1.88-2.92)'],1,1,1,0.9876679182052612,0.9614529728889464,0.9543111681938172,18.0,16.0,13.0,240.7,2.49,46.5,1,3,4,1,0.25
CHEMBL2047939,C=C(C(=O)OCC)C(O)C1=CC=C(Cl)C=C1Cl,1,['Rings: 1 (range: 1.88-2.92)'],1,1,1,0.9872927069664,0.9628297448158264,0.934698176383972,18.0,20.0,15.0,275.1,3.15,46.5,1,3,4,1,0.25
