feature,pathogen1,pathogen2,comparison,p_value,effect_size,mean_diff,fold_change,mean1,mean2,n1,n2,direction,weighted,interpretation,corrected_p_value
molecular_weight,SA,EC,SA_vs_EC,0.6683,0.040056579464540956,-3.113228565186091,0.9881032410428461,258.57388944723624,261.68711801242233,398,161,lower,True,less_problematic,0.8177881578947368
molecular_weight,SA,CA,SA_vs_CA,0.0445,0.16795169983162367,12.655466539747238,1.05146205148082,258.57388944723624,245.918422907489,398,227,higher,True,more_problematic,0.1034625
molecular_weight,EC,CA,EC_vs_CA,0.0357,0.21667502265245092,15.768695104933329,1.0641216502549924,261.68711801242233,245.918422907489,161,227,higher,True,more_problematic,0.08513076923076923
logp,SA,EC,SA_vs_EC,0.0481,0.18306919989313863,0.3515683200162312,1.1148282199486785,3.4132575125628164,3.0616891925465852,398,161,higher,True,more_problematic,0.10910487804878048
logp,SA,CA,SA_vs_CA,0.0,0.44151693832094596,0.8027202438403487,1.3074923516541788,3.4132575125628164,2.6105372687224677,398,227,higher,True,more_problematic,0.0
logp,EC,CA,EC_vs_CA,0.0061,0.28360976493850737,0.4511519238241175,1.172819568304765,3.0616891925465852,2.6105372687224677,161,227,higher,True,more_problematic,0.020260714285714285
tpsa,SA,EC,SA_vs_EC,0.5496,0.05688758530220864,-1.49319345173069,0.9567619220597371,33.04103015075377,34.53422360248446,398,161,lower,True,less_problematic,0.7130000000000001
tpsa,SA,CA,SA_vs_CA,0.0002,0.3137045875307136,-7.579542536470889,0.8134063102745303,33.04103015075377,40.62057268722466,398,227,lower,True,less_problematic,0.0010941176470588235
tpsa,EC,CA,EC_vs_CA,0.0105,0.2531559249054408,-6.086349084740199,0.8501658474486653,34.53422360248446,40.62057268722466,161,227,lower,True,less_problematic,0.03255
num_hbd,SA,EC,SA_vs_EC,0.0023,0.2772883454948651,-0.29228440338337625,0.7456335732717644,0.85678391959799,1.1490683229813663,398,161,lower,True,less_problematic,0.008556000000000001
num_hbd,SA,CA,SA_vs_CA,0.0822,0.14439552228520922,0.13872224558917956,1.1931898757591641,0.85678391959799,0.7180616740088105,398,227,higher,True,more_problematic,0.14701153846153847
num_hbd,EC,CA,EC_vs_CA,0.0,0.42434587450536476,0.4310066489725558,1.6002362534771177,1.1490683229813663,0.7180616740088105,161,227,higher,True,more_problematic,0.0
num_hba,SA,EC,SA_vs_EC,0.0117,0.23967341158950103,-0.4637629139486239,0.8552987807253324,2.7412060301507544,3.2049689440993783,398,161,lower,True,less_problematic,0.034003124999999995
num_hba,SA,CA,SA_vs_CA,0.0,0.5557760827380462,-1.07817722976114,0.7177090759448919,2.7412060301507544,3.8193832599118944,398,227,lower,True,less_problematic,0.0
num_hba,EC,CA,EC_vs_CA,0.0008,0.34205589170676415,-0.6144143158125162,0.8391325839798833,3.2049689440993783,3.8193832599118944,161,227,lower,True,less_problematic,0.003542857142857143
num_rotatable_bonds,SA,EC,SA_vs_EC,0.823,0.021448407174495022,-0.054121539373887195,0.9847398111397621,3.492462311557789,3.5465838509316763,398,161,lower,True,less_problematic,0.8852103448275862
num_rotatable_bonds,SA,CA,SA_vs_CA,0.026,0.17935192832320473,0.4131671573727669,1.1341758865860059,3.492462311557789,3.079295154185022,398,227,higher,True,more_problematic,0.06716666666666667
num_rotatable_bonds,EC,CA,EC_vs_CA,0.0357,0.21342668910228182,0.4672886967466541,1.151751837140902,3.5465838509316763,3.079295154185022,161,227,higher,True,more_problematic,0.08513076923076923
num_atoms,SA,EC,SA_vs_EC,0.8657,0.014784234569390844,0.08597334498580267,1.0045667134749965,18.912060301507537,18.826086956521735,398,161,higher,True,more_problematic,0.8935153846153846
num_atoms,SA,CA,SA_vs_CA,0.0183,0.20141533781675663,1.1367299050317676,1.0639498608283051,18.912060301507537,17.77533039647577,398,227,higher,True,more_problematic,0.048625714285714286
num_atoms,EC,CA,EC_vs_CA,0.0586,0.19167821709090496,1.050756560045965,1.0591131943322019,18.826086956521735,17.77533039647577,161,227,higher,True,more_problematic,0.11605625000000001
num_heavy_atoms,SA,EC,SA_vs_EC,0.8743,0.014784234569390844,0.08597334498580267,1.0045667134749965,18.912060301507537,18.826086956521735,398,161,higher,True,more_problematic,0.8935153846153846
num_heavy_atoms,SA,CA,SA_vs_CA,0.0139,0.20141533781675663,1.1367299050317676,1.0639498608283051,18.912060301507537,17.77533039647577,398,227,higher,True,more_problematic,0.03917272727272727
num_heavy_atoms,EC,CA,EC_vs_CA,0.0614,0.19167821709090496,1.050756560045965,1.0591131943322019,18.826086956521735,17.77533039647577,161,227,higher,True,more_problematic,0.11653469387755103
num_rings,SA,EC,SA_vs_EC,0.4368,0.07295499088175451,0.09163831580261705,1.0306094789299198,3.0854271356783927,2.9937888198757756,398,161,higher,True,more_problematic,0.5887304347826087
num_rings,SA,CA,SA_vs_CA,0.0769,0.14618014012896546,0.16912757620702656,1.057993896977334,3.0854271356783927,2.916299559471366,398,227,higher,True,more_problematic,0.14022941176470588
num_rings,EC,CA,EC_vs_CA,0.5128,0.06666152721937146,0.07748926040440951,1.0265710908033248,2.9937888198757756,2.916299559471366,161,227,higher,True,more_problematic,0.6812914285714287
num_aromatic_rings,SA,EC,SA_vs_EC,0.6416,0.04444596577999688,0.05246730547145728,1.0299547382301582,1.8040201005025127,1.7515527950310554,398,161,higher,True,more_problematic,0.795584
num_aromatic_rings,SA,CA,SA_vs_CA,0.0001,0.3094069259106295,-0.367786066898369,0.8306542856269173,1.8040201005025127,2.1718061674008817,398,227,lower,True,less_problematic,0.00058125
num_aromatic_rings,EC,CA,EC_vs_CA,0.0003,0.3926865870177073,-0.4202533723698263,0.806495911708011,1.7515527950310554,2.1718061674008817,161,227,lower,True,less_problematic,0.00155
num_aliphatic_rings,SA,EC,SA_vs_EC,0.7303,0.03307176683515614,0.03917101033115933,1.0315326633165833,1.2814070351758795,1.2422360248447202,398,161,higher,True,more_problematic,0.8398012048192772
num_aliphatic_rings,SA,CA,SA_vs_CA,0.0,0.498879388199671,0.5369136431053949,1.7211798638161222,1.2814070351758795,0.7444933920704846,398,227,higher,True,more_problematic,0.0
num_aliphatic_rings,EC,CA,EC_vs_CA,0.0,0.5635901151258691,0.4977426327742356,1.6685655481642099,1.2422360248447202,0.7444933920704846,161,227,higher,True,more_problematic,0.0
num_saturated_rings,SA,EC,SA_vs_EC,0.0561,0.1746182897832072,0.16503324073785086,1.2767744974874373,0.7613065326633166,0.5962732919254657,398,161,higher,True,more_problematic,0.11605625000000001
num_saturated_rings,SA,CA,SA_vs_CA,0.0,0.5017480583856926,0.4441259159232285,2.4002303182579565,0.7613065326633166,0.31718061674008813,398,227,higher,True,more_problematic,0.0
