feature,pathogen1,pathogen2,comparison,p_value,effect_size,mean_diff,fold_change,mean1,mean2,n1,n2,direction,weighted,corrected_p_value
molecular_weight,SA,EC,SA_vs_EC,0.0049,0.133837482341078,11.295453250159142,1.043966700911932,268.2047281303602,256.90927488020105,2332,537,higher,True,0.00949375
molecular_weight,SA,CA,SA_vs_CA,0.0099,0.09185951818109983,7.676935585789693,1.0294668584522564,268.2047281303602,260.5277925445705,2332,1234,higher,True,0.017371698113207545
molecular_weight,EC,CA,EC_vs_CA,0.3949,0.04457970318957883,-3.618517664369449,0.9861108190069572,256.90927488020105,260.5277925445705,537,1234,lower,True,0.442478313253012
logp,SA,EC,SA_vs_EC,0.0,0.4154119121653074,0.6753980393185586,1.2901693154998015,3.0029978344768455,2.327599795158287,2332,537,higher,True,0.0
logp,SA,CA,SA_vs_CA,0.0,0.19734850309328802,0.3097871051413499,1.1150252008753079,3.0029978344768455,2.6932107293354957,2332,1234,higher,True,0.0
logp,EC,CA,EC_vs_CA,0.0,0.23647652544651976,-0.3656109341772087,0.8642471863806153,2.327599795158287,2.6932107293354957,537,1234,lower,True,0.0
tpsa,SA,EC,SA_vs_EC,0.0,0.3211256247207572,-7.083550688182541,0.8320267530369371,35.08715694682676,42.1707076350093,2332,537,lower,True,0.0
tpsa,SA,CA,SA_vs_CA,0.0002,0.13040714577748125,-2.930841432427698,0.9229091073340939,35.08715694682676,38.01799837925446,2332,1234,lower,True,0.0006642857142857143
tpsa,EC,CA,EC_vs_CA,0.0004,0.17514578931484046,4.152709255754843,1.1092300866113163,42.1707076350093,38.01799837925446,537,1234,higher,True,0.00124
num_hbd,SA,EC,SA_vs_EC,0.0,0.2845558743309033,-0.28362975171766114,0.7792620627936463,1.001286449399657,1.284916201117318,2332,537,lower,True,0.0
num_hbd,SA,CA,SA_vs_CA,0.0,0.3539891952689998,0.3327289129328822,1.4976817921929413,1.001286449399657,0.6685575364667747,2332,1234,higher,True,0.0
num_hbd,EC,CA,EC_vs_CA,0.0,0.6847955825078654,0.6163586646505433,1.9219231420348732,1.284916201117318,0.6685575364667747,537,1234,higher,True,0.0
num_hba,SA,EC,SA_vs_EC,0.0,0.31434913792194635,-0.5562747747316097,0.8501907953706748,3.1569468267581473,3.713221601489757,2332,537,lower,True,0.0
num_hba,SA,CA,SA_vs_CA,0.0,0.23858468221533266,-0.4581261067912856,0.873273343245809,3.1569468267581473,3.615072933549433,2332,1234,lower,True,0.0
num_hba,EC,CA,EC_vs_CA,0.3764,0.04724068464262153,0.09814866794032406,1.0271498444829321,3.713221601489757,3.615072933549433,537,1234,higher,True,0.43358414634146336
num_rotatable_bonds,SA,EC,SA_vs_EC,0.9576,0.0026497826166391463,0.007850455647441468,1.0019932362565844,3.94639794168096,3.9385474860335186,2332,537,higher,True,0.9576
num_rotatable_bonds,SA,CA,SA_vs_CA,0.0303,0.07578957940141635,-0.22134922201434026,0.9468899591744709,3.94639794168096,4.1677471636953,2332,1234,lower,True,0.0440296875
num_rotatable_bonds,EC,CA,EC_vs_CA,0.1013,0.08501150574522098,-0.22919967766178173,0.9450063382783125,3.9385474860335186,4.1677471636953,537,1234,lower,True,0.1345842857142857
num_atoms,SA,EC,SA_vs_EC,0.0011,0.15642755353362625,0.969774428164861,1.05242815543386,19.46698113207547,18.49720670391061,2332,537,higher,True,0.0026921052631578945
num_atoms,SA,CA,SA_vs_CA,0.0043,0.10266763246964351,0.6379697868566687,1.0338822774685228,19.46698113207547,18.829011345218802,2332,1234,higher,True,0.009088636363636363
num_atoms,EC,CA,EC_vs_CA,0.2925,0.05454875039191697,-0.3318046413081923,0.9823780104422505,18.49720670391061,18.829011345218802,537,1234,lower,True,0.36760135135135136
num_heavy_atoms,SA,EC,SA_vs_EC,0.0012,0.1581568464558195,0.980947612522403,1.0530642558602328,19.46698113207547,18.486033519553068,2332,537,higher,True,0.0028615384615384614
num_heavy_atoms,SA,CA,SA_vs_CA,0.0045,0.10266763246964351,0.6379697868566687,1.0338822774685228,19.46698113207547,18.829011345218802,2332,1234,higher,True,0.009097826086956522
num_heavy_atoms,EC,CA,EC_vs_CA,0.2739,0.0563418647268061,-0.3429778256657343,0.9817846078385403,18.486033519553068,18.829011345218802,537,1234,lower,True,0.34894109589041095
num_rings,SA,EC,SA_vs_EC,0.0,0.19573253626311232,0.25241957894535183,1.0879048728233813,3.1239279588336193,2.8715083798882675,2332,537,higher,True,0.0
num_rings,SA,CA,SA_vs_CA,0.0373,0.07387178805518178,0.09313379351757378,1.0307291714440336,3.1239279588336193,3.0307941653160455,2332,1234,higher,True,0.05255909090909091
num_rings,EC,CA,EC_vs_CA,0.0085,0.13414797111329207,-0.15928578542777805,0.9474442087652732,2.8715083798882675,3.0307941653160455,537,1234,lower,True,0.01520192307692308
num_aromatic_rings,SA,EC,SA_vs_EC,0.0256,0.10718154206067289,0.11553369682915404,1.0673632955453374,1.8306174957118353,1.7150837988826813,2332,537,higher,True,0.03902950819672132
num_aromatic_rings,SA,CA,SA_vs_CA,0.7532,0.01132019305169474,-0.01298055939351328,0.9929591163553427,1.8306174957118353,1.8435980551053486,2332,1234,lower,True,0.7959954545454545
num_aromatic_rings,EC,CA,EC_vs_CA,0.0409,0.1075990568978103,-0.12851425622266732,0.9302916078335071,1.7150837988826813,1.8435980551053486,537,1234,lower,True,0.05677164179104477
num_aliphatic_rings,SA,EC,SA_vs_EC,0.0063,0.1317221895496195,0.13688588211619734,1.118369917385504,1.2933104631217838,1.1564245810055864,2332,537,higher,True,0.011904000000000001
num_aliphatic_rings,SA,CA,SA_vs_CA,0.0107,0.09440987649020981,0.10611435291108684,1.0893823286636732,1.2933104631217838,1.187196110210697,2332,1234,higher,True,0.018427777777777776
num_aliphatic_rings,EC,CA,EC_vs_CA,0.6314,0.026362852613259814,-0.030771529205110504,0.9740805003146031,1.1564245810055864,1.187196110210697,537,1234,lower,True,0.6749448275862069
num_saturated_rings,SA,EC,SA_vs_EC,0.0,0.2255560345627101,0.20913227350984287,1.3520502535259737,0.8031732418524871,0.5940409683426442,2332,537,higher,True,0.0
num_saturated_rings,SA,CA,SA_vs_CA,0.0119,0.09010751921353112,0.09085557572606884,1.127549238277553,0.8031732418524871,0.7123176661264182,2332,1234,higher,True,0.02012181818181818
num_saturated_rings,EC,CA,EC_vs_CA,0.0266,0.11923581951412579,-0.11827669778377403,0.8339551250680579,0.5940409683426442,0.7123176661264182,537,1234,lower,True,0.0399
num_heteroatoms,SA,EC,SA_vs_EC,0.0,0.3285710181434855,-0.596012565839696,0.8551114767515089,3.5175814751286456,4.113594040968342,2332,537,lower,True,0.0
num_heteroatoms,SA,CA,SA_vs_CA,0.0,0.17268335738175172,-0.3349306804629273,0.9130617459631358,3.5175814751286456,3.852512155591573,2332,1234,lower,True,0.0
num_heteroatoms,EC,CA,EC_vs_CA,0.0133,0.12547365659209284,0.2610818853767687,1.0677692567427288,4.113594040968342,3.852512155591573,537,1234,higher,True,0.021325862068965515
formal_charge,SA,EC,SA_vs_EC,0.9562,0.003196345362564942,0.0008488489831380286,1.0119955764196085,0.0716123499142367,0.07076350093109868,2332,537,higher,True,0.9576
formal_charge,SA,CA,SA_vs_CA,0.0,0.15503404477402236,0.036766320740816934,2.0551079021899556,0.0716123499142367,0.03484602917341977,2332,1234,higher,True,0.0
formal_charge,EC,CA,EC_vs_CA,0.0009,0.16040764350481646,0.035917471757678905,2.030747910441297,0.07076350093109868,0.03484602917341977,537,1234,higher,True,0.0023914285714285713
fraction_csp3,SA,EC,SA_vs_EC,0.3132,0.04792593348407949,0.012367237822132504,1.0342943515351364,0.37298749359403677,0.36062025577190426,2332,537,higher,True,0.3832578947368421
fraction_csp3,SA,CA,SA_vs_CA,0.0019,0.11529807013623064,-0.031892712523107214,0.9212292622823856,0.37298749359403677,0.404880206117144,2332,1234,lower,True,0.0044174999999999996
fraction_csp3,EC,CA,EC_vs_CA,0.0031,0.15486169342470785,-0.04425995034523972,0.8906838376474399,0.36062025577190426,0.404880206117144,537,1234,lower,True,0.006704651162790697
bertz_complexity,SA,EC,SA_vs_EC,0.0084,0.12446458310419463,33.05185142855373,1.0636494254773692,552.3315021192809,519.2796506907272,2332,537,higher,True,0.01520192307692308
bertz_complexity,SA,CA,SA_vs_CA,0.0005,0.12489475820221244,34.086860321978065,1.0657736859637619,552.3315021192809,518.2446417973028,2332,1234,higher,True,0.001453125
bertz_complexity,EC,CA,EC_vs_CA,0.9389,0.003900276950048403,1.035008893424333,1.0019971434530126,519.2796506907272,518.2446417973028,537,1234,higher,True,0.9576
balaban_j,SA,EC,SA_vs_EC,0.0506,0.09461376566029704,-0.05066728903594142,0.9720618911452331,1.7628874257563059,1.8135547147922473,2332,537,lower,True,0.06920294117647059
balaban_j,SA,CA,SA_vs_CA,0.0064,0.09420540228554111,0.04567465614376531,1.0265981344606883,1.7628874257563059,1.7172127696125405,2332,1234,higher,True,0.011904000000000001
balaban_j,EC,CA,EC_vs_CA,0.0005,0.19421200994367802,0.09634194517970673,1.0561036738629916,1.8135547147922473,1.7172127696125405,537,1234,higher,True,0.001453125
carbon_count,SA,EC,SA_vs_EC,0.0,0.27518008369740266,1.5769601783621034,1.1097211215056297,15.949399656946829,14.372439478584726,2332,537,higher,True,0.0
carbon_count,SA,CA,SA_vs_CA,0.0,0.17388598607493827,0.9729004673195991,1.0649618081636483,15.949399656946829,14.97649918962723,2332,1234,higher,True,0.0
carbon_count,EC,CA,EC_vs_CA,0.0301,0.11279268159684393,-0.6040597110425043,0.9596661607366241,14.372439478584726,14.97649918962723,537,1234,lower,True,0.0440296875
nitrogen_count,SA,EC,SA_vs_EC,0.0,0.3982490921136255,-0.6072943517604621,0.7912182670324147,2.301457975986278,2.90875232774674,2332,537,lower,True,0.0
nitrogen_count,SA,CA,SA_vs_CA,0.0,0.2624299960808233,-0.4797413757155047,0.8275055776127819,2.301457975986278,2.781199351701783,2332,1234,lower,True,0.0
nitrogen_count,EC,CA,EC_vs_CA,0.2633,0.06010242496977318,0.1275529760449574,1.0458625793821321,2.90875232774674,2.781199351701783,537,1234,higher,True,0.3400958333333333
oxygen_count,SA,EC,SA_vs_EC,0.0194,0.11405189642957118,0.11886840365284579,1.1564517959842604,0.8786449399656947,0.7597765363128489,2332,537,higher,True,0.030070000000000003
oxygen_count,SA,CA,SA_vs_CA,0.0009,0.11554009562390906,0.11527378923635923,1.1510062164731074,0.8786449399656947,0.7633711507293355,2332,1234,higher,True,0.0023914285714285713
oxygen_count,EC,CA,EC_vs_CA,0.9467,0.003451649495513097,-0.0035946144164865634,0.99529113143318,0.7597765363128489,0.7633711507293355,537,1234,lower,True,0.9576
sulfur_count,SA,EC,SA_vs_EC,0.0,0.29994722029342996,-0.15238156839822264,0.6229082846550894,0.25171526586620924,0.4040968342644319,2332,537,lower,True,0.0
sulfur_count,SA,CA,SA_vs_CA,0.4453,0.02675689158981502,0.012655298281120081,1.0529377561996685,0.25171526586620924,0.23905996758508916,2332,1234,higher,True,0.49301071428571425
sulfur_count,EC,CA,EC_vs_CA,0.0,0.3253413946774034,0.16503686667934273,1.690357605024776,0.4040968342644319,0.23905996758508916,537,1234,higher,True,0.0
halogen_count,SA,EC,SA_vs_EC,0.0132,0.11759987800968352,0.043961273960219885,2.4754502572898804,0.07375643224699828,0.02979515828677839,2332,537,higher,True,0.021325862068965515
halogen_count,SA,CA,SA_vs_CA,0.0047,0.09301739910108349,0.03323779367325435,1.8203087478559172,0.07375643224699828,0.04051863857374393,2332,1234,higher,True,0.009300000000000001
halogen_count,EC,CA,EC_vs_CA,0.372,0.047699672749711174,-0.010723480286965539,0.7353445065176906,0.02979515828677839,0.04051863857374393,537,1234,lower,True,0.43358414634146336
aromatic_carbocycles,SA,EC,SA_vs_EC,0.0,0.22418829122830103,0.20351373969482978,1.2147089945306948,1.1513722126929673,0.9478584729981375,2332,537,higher,True,0.0
aromatic_carbocycles,SA,CA,SA_vs_CA,0.0,0.17120593569035794,0.1578551948647663,1.1588852450759557,1.1513722126929673,0.993517017828201,2332,1234,higher,True,0.0
aromatic_carbocycles,EC,CA,EC_vs_CA,0.3112,0.05209222063660428,-0.045658544830063486,0.9540435201302624,0.9478584729981375,0.993517017828201,537,1234,lower,True,0.3832578947368421
aromatic_heterocycles,SA,EC,SA_vs_EC,0.3215,0.04867370443961686,-0.02220183281108748,0.8998118973146724,0.19939965694682676,0.22160148975791424,2332,537,lower,True,0.3883051948051948
aromatic_heterocycles,SA,CA,SA_vs_CA,0.0,0.23343623314677855,0.09729268774099208,1.9528506085109858,0.19939965694682676,0.10210696920583469,2332,1234,higher,True,0.0
aromatic_heterocycles,EC,CA,EC_vs_CA,0.0,0.3361984576483594,0.11949452055207956,2.170287606041795,0.22160148975791424,0.10210696920583469,537,1234,higher,True,0.0
aliphatic_hydroxyl,SA,EC,SA_vs_EC,0.0712,0.08499141540650758,0.020400324527024227,2.0954974271012015,0.03902229845626072,0.018621973929236493,2332,537,higher,True,0.09596521739130434
aliphatic_hydroxyl,SA,CA,SA_vs_CA,0.001,0.11087569948902477,0.024435588569712906,2.6751953497236514,0.03902229845626072,0.014586709886547814,2332,1234,higher,True,0.0025135135135135136
aliphatic_hydroxyl,EC,CA,EC_vs_CA,0.5369,0.03235362446118163,0.004035264042688679,1.2766397682598793,0.018621973929236493,0.014586709886547814,537,1234,higher,True,0.5874317647058824
aromatic_hydroxyl,SA,EC,SA_vs_EC,0.38,0.0430688263651265,-0.005181731939400325,0.6908233276157806,0.01157804459691252,0.016759776536312845,2332,537,lower,True,0.43358414634146336
aromatic_hydroxyl,SA,CA,SA_vs_CA,0.002,0.09704020946880106,0.009146926282487885,4.762435677530016,0.01157804459691252,0.0024311183144246355,2332,1234,higher,True,0.004536585365853658
