feature,combo1,combo2,comparison,combo1_name,combo2_name,p_value,effect_size,mean_diff,fold_change,weighted_mean1,weighted_mean2,raw_mean1,raw_mean2,n1,n2,weight1,weight2,direction,biological_context,weighting_strategy,corrected_p_value
molecular_weight,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.3015077784017692,26.89966026089354,1.1000214851470005,295.8384809688582,268.9388207079647,295.8384809688582,268.9388207079647,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.0
molecular_weight,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0001,0.39110542857300196,39.07408907696629,1.1521787689837384,295.8384809688582,256.76439189189193,295.8384809688582,256.76439189189193,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.00024285714285714289
molecular_weight,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.1035,0.13890380657727106,12.174428816072748,1.0474147864755277,268.9388207079647,256.76439189189193,268.9388207079647,256.76439189189193,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.164953125
logp,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.9760743584421426,1.6551709653060618,1.6129335217540197,4.355579584775089,2.7004086194690275,4.355579584775089,2.7004086194690275,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.0
logp,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.8328441041026283,1.4876768820723854,1.5187333868301747,4.355579584775089,2.867902702702704,4.355579584775089,2.867902702702704,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
logp,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.2298,0.09925074919079362,-0.16749408323367643,0.9415970133589852,2.7004086194690275,2.867902702702704,2.7004086194690275,2.867902702702704,5650,148,1.0,1.0,lower,Gram+ vs Fungi (both with Gram-),fragment_based,0.31675135135135135
tpsa,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.6073002579492794,-13.923492396729646,0.6525438610697077,26.14916955017301,40.072661946902656,26.14916955017301,40.072661946902656,289,5650,1.0,1.0,lower,Fungi vs Gram- (both with Gram+),fragment_based,0.0
tpsa,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.787335590521047,-14.622316936313478,0.6413592391054965,26.14916955017301,40.77148648648649,26.14916955017301,40.77148648648649,289,148,1.0,1.0,lower,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
tpsa,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.7176,0.030477934288060934,-0.698824539583832,0.9828599690664834,40.072661946902656,40.77148648648649,40.072661946902656,40.77148648648649,5650,148,1.0,1.0,lower,Gram+ vs Fungi (both with Gram-),fragment_based,0.8162266666666667
num_hbd,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.32988923715906127,-0.3444082432556572,0.7160504050205073,0.8685121107266436,1.2129203539823008,0.8685121107266436,1.2129203539823008,289,5650,1.0,1.0,lower,Fungi vs Gram- (both with Gram+),fragment_based,0.0
