feature,pathogen1,pathogen2,comparison,p_value,effect_size,mean_diff,fold_change,mean1,mean2,n1,n2,direction,weighted,interpretation,corrected_p_value
logp,SA,CA,SA_vs_CA,0.0,0.44151693832094596,0.8027202438403487,1.3074923516541788,3.4132575125628164,2.6105372687224677,398,227,higher,True,more_problematic,0.0
tpsa,SA,CA,SA_vs_CA,0.0002,0.3137045875307136,-7.579542536470889,0.8134063102745303,33.04103015075377,40.62057268722466,398,227,lower,True,less_problematic,0.0010941176470588235
num_hbd,EC,CA,EC_vs_CA,0.0,0.42434587450536476,0.4310066489725558,1.6002362534771177,1.1490683229813663,0.7180616740088105,161,227,higher,True,more_problematic,0.0
num_hba,SA,CA,SA_vs_CA,0.0,0.5557760827380462,-1.07817722976114,0.7177090759448919,2.7412060301507544,3.8193832599118944,398,227,lower,True,less_problematic,0.0
num_hba,EC,CA,EC_vs_CA,0.0008,0.34205589170676415,-0.6144143158125162,0.8391325839798833,3.2049689440993783,3.8193832599118944,161,227,lower,True,less_problematic,0.003542857142857143
num_aromatic_rings,SA,CA,SA_vs_CA,0.0001,0.3094069259106295,-0.367786066898369,0.8306542856269173,1.8040201005025127,2.1718061674008817,398,227,lower,True,less_problematic,0.00058125
num_aromatic_rings,EC,CA,EC_vs_CA,0.0003,0.3926865870177073,-0.4202533723698263,0.806495911708011,1.7515527950310554,2.1718061674008817,161,227,lower,True,less_problematic,0.00155
num_aliphatic_rings,SA,CA,SA_vs_CA,0.0,0.498879388199671,0.5369136431053949,1.7211798638161222,1.2814070351758795,0.7444933920704846,398,227,higher,True,more_problematic,0.0
num_aliphatic_rings,EC,CA,EC_vs_CA,0.0,0.5635901151258691,0.4977426327742356,1.6685655481642099,1.2422360248447202,0.7444933920704846,161,227,higher,True,more_problematic,0.0
num_saturated_rings,SA,CA,SA_vs_CA,0.0,0.5017480583856926,0.4441259159232285,2.4002303182579565,0.7613065326633166,0.31718061674008813,398,227,higher,True,more_problematic,0.0
num_saturated_rings,EC,CA,EC_vs_CA,0.0,0.44606866598540923,0.2790926751853776,1.87991718426501,0.5962732919254657,0.31718061674008813,161,227,higher,True,more_problematic,0.0
num_heteroatoms,SA,CA,SA_vs_CA,0.0,0.48078607544036395,-0.9894627321630174,0.7571804970799947,3.0854271356783927,4.07488986784141,398,227,lower,True,less_problematic,0.0
formal_charge,SA,EC,SA_vs_EC,0.0017,0.334033719317415,-0.031055900621118005,0.0,0.0,0.031055900621118005,398,161,lower,True,less_problematic,0.007186363636363636
fraction_csp3,SA,CA,SA_vs_CA,0.0,0.4900420810144762,0.12602333737144086,1.5449122464510936,0.3572960573226001,0.23127271995115925,398,227,higher,True,more_problematic,0.0
fraction_csp3,EC,CA,EC_vs_CA,0.0,0.5081872846971696,0.11729414167629618,1.5071680814800235,0.3485668616274554,0.23127271995115925,161,227,higher,True,more_problematic,0.0
carbon_count,SA,CA,SA_vs_CA,0.0,0.38756432485168407,2.1261926371947872,1.1551915526183976,15.826633165829147,13.70044052863436,398,227,higher,True,more_problematic,0.0
carbon_count,EC,CA,EC_vs_CA,0.0019,0.3221736401450137,1.6039072974525936,1.1170697609394658,15.304347826086953,13.70044052863436,161,227,higher,True,more_problematic,0.0073625
nitrogen_count,SA,CA,SA_vs_CA,0.0,0.47316166079317074,-0.9026298895357843,0.6986809045226132,2.0929648241206036,2.995594713656388,398,227,lower,True,less_problematic,0.0
nitrogen_count,EC,CA,EC_vs_CA,0.0006,0.3800642204478974,-0.6664021670725377,0.777539276580197,2.32919254658385,2.995594713656388,161,227,lower,True,less_problematic,0.0029368421052631574
sulfur_count,SA,EC,SA_vs_EC,0.0,0.4170448498475219,-0.21221011891756908,0.5319749432091969,0.24120603015075381,0.4534161490683229,398,161,lower,True,less_problematic,0.0
amine,SA,CA,SA_vs_CA,0.0,0.47316166079317074,-0.9026298895357843,0.6986809045226132,2.0929648241206036,2.995594713656388,398,227,lower,True,less_problematic,0.0
amine,EC,CA,EC_vs_CA,0.0008,0.3800642204478974,-0.6664021670725377,0.777539276580197,2.32919254658385,2.995594713656388,161,227,lower,True,less_problematic,0.003542857142857143
