feature,pathogen1,pathogen2,comparison,p_value,effect_size,mean_diff,fold_change,mean1,mean2,n1,n2,direction,weighted,corrected_p_value
logp,SA,EC,SA_vs_EC,0.0,0.4154119121653074,0.6753980393185586,1.2901693154998015,3.0029978344768455,2.327599795158287,2332,537,higher,True,0.0
tpsa,SA,EC,SA_vs_EC,0.0,0.3211256247207572,-7.083550688182541,0.8320267530369371,35.08715694682676,42.1707076350093,2332,537,lower,True,0.0
num_hbd,SA,CA,SA_vs_CA,0.0,0.3539891952689998,0.3327289129328822,1.4976817921929413,1.001286449399657,0.6685575364667747,2332,1234,higher,True,0.0
num_hbd,EC,CA,EC_vs_CA,0.0,0.6847955825078654,0.6163586646505433,1.9219231420348732,1.284916201117318,0.6685575364667747,537,1234,higher,True,0.0
num_hba,SA,EC,SA_vs_EC,0.0,0.31434913792194635,-0.5562747747316097,0.8501907953706748,3.1569468267581473,3.713221601489757,2332,537,lower,True,0.0
num_heteroatoms,SA,EC,SA_vs_EC,0.0,0.3285710181434855,-0.596012565839696,0.8551114767515089,3.5175814751286456,4.113594040968342,2332,537,lower,True,0.0
nitrogen_count,SA,EC,SA_vs_EC,0.0,0.3982490921136255,-0.6072943517604621,0.7912182670324147,2.301457975986278,2.90875232774674,2332,537,lower,True,0.0
sulfur_count,EC,CA,EC_vs_CA,0.0,0.3253413946774034,0.16503686667934273,1.690357605024776,0.4040968342644319,0.23905996758508916,537,1234,higher,True,0.0
aromatic_heterocycles,EC,CA,EC_vs_CA,0.0,0.3361984576483594,0.11949452055207956,2.170287606041795,0.22160148975791424,0.10210696920583469,537,1234,higher,True,0.0
amide,EC,CA,EC_vs_CA,0.0,0.31768807170106195,0.0839377174952992,4.236848230912474,0.10986964618249531,0.025931928687196116,537,1234,higher,True,0.0
amine,SA,EC,SA_vs_EC,0.0,0.3982490921136255,-0.6072943517604621,0.7912182670324147,2.301457975986278,2.90875232774674,2332,537,lower,True,0.0
