Pathogen,Property,Positive_Mean,Positive_SD,Positive_N,Negative_Mean,Negative_SD,Negative_N,Difference
SA,MW,268.2,84.99,2332,266.55885285285285,74.991057537079,333,1.6411471471471373
SA,LogP,3.0,1.61,2332,3.7772774774774796,1.8283787970783503,333,-0.7772774774774796
SA,TPSA,35.09,21.73,2332,27.969399399399396,21.043023203470717,333,7.120600600600607
SA,HBD,1.05,1.1,2332,0.7927927927927928,0.9421564323828766,333,0.25720720720720724
SA,HBA,3.18,1.69,2332,2.5705705705705704,1.9754453452380976,333,0.6094294294294298
SA,RotBonds,3.95,3.03,2332,3.6276276276276276,2.6031872411965282,333,0.3223723723723726
SA,Rings,1.83,1.09,2332,3.3453453453453452,1.0939115254709078,333,-1.5153453453453452
SA,Fsp3,0.35,0.22,2332,0.37283688069407694,0.2725467152501101,333,-0.022836880694076966
EC,MW,256.91,81.94,537,267.7181879699248,73.10548977729403,133,-10.808187969924802
EC,LogP,2.33,1.68,537,3.416106015037596,1.3024095918579335,133,-1.086106015037596
EC,TPSA,42.17,23.47,537,28.508045112781954,14.92452910066972,133,13.661954887218048
EC,HBD,1.33,1.1,537,0.9774436090225563,0.8480473597904084,133,0.35255639097744373
EC,HBA,3.67,1.71,537,3.1278195488721803,1.4894250153269257,133,0.5421804511278197
EC,RotBonds,3.94,2.67,537,3.6165413533834587,2.6103575875767224,133,0.3234586466165412
EC,Rings,1.72,1.05,537,3.293233082706767,1.1792521698556948,133,-1.573233082706767
EC,Fsp3,0.28,0.21,537,0.3134703065361382,0.22058514253872946,133,-0.033470306536138195
CA,MW,260.53,80.9,1234,251.2459798994975,69.91100715288624,199,9.28402010050246
CA,LogP,2.69,1.48,1234,2.706919597989951,1.4814415803288072,199,-0.01691959798995102
CA,TPSA,38.02,23.83,1234,39.497537688442215,20.63240499373722,199,-1.4775376884422116
CA,HBD,0.7,0.89,1234,0.6532663316582915,0.8792655822120743,199,0.046733668341708445
CA,HBA,3.54,2.21,1234,3.899497487437186,1.8312521930882772,199,-0.3594974874371859
CA,RotBonds,4.17,2.71,1234,3.2160804020100504,1.9536401438557425,199,0.9539195979899495
CA,Rings,1.84,1.25,1234,3.090452261306533,0.9221512488414306,199,-1.2504522613065328
CA,Fsp3,0.3,0.21,1234,0.23001544492753398,0.2091066784337829,199,0.06998455507246601
