Comparison,Property,SA_Mean,SA_SD,SA_N,EC_Mean,EC_SD,EC_N,Cohens_d,Effect_Size,Direction,Fold_Change,U_Statistic,p_value,CA_Mean,CA_SD,CA_N,p_corrected,Significant,Practically_Significant
SA vs EC,MW,279.41195921450156,80.93154738256202,1986.0,268.73239380530975,78.35290631034023,452.0,0.13273074711470953,negligible,SA higher,1.0397405212597068,480037.0,0.020895357670286507,,,,5.518835372447833e-30,True,False
SA vs EC,LogP,3.2825134038267896,1.4783000463908176,1986.0,2.6279595132743374,1.505447183918399,452.0,0.4412633021522573,small,SA higher,1.2490730497354212,557376.0,9.3186411461594e-16,,,,5.518835372447833e-30,True,True
SA vs EC,TPSA,32.08047834843907,18.344349121952927,1986.0,37.69006637168142,17.818632385350927,452.0,-0.30740566873779934,small,SA lower,0.851165345056088,368570.0,2.7988736620044526e-09,,,,5.518835372447833e-30,True,True
SA vs EC,HBD,0.9118831822759316,0.9225906894725334,1986.0,1.1924778761061947,0.9560803489538887,452.0,-0.3020778568303371,small,SA lower,0.7646961009067181,372073.5,1.6775259793862826e-09,,,,5.518835372447833e-30,True,True
SA vs EC,HBA,3.213997985901309,1.7823725246481517,1986.0,3.7942477876106193,1.784302732166621,452.0,-0.32548383022756805,small,SA lower,0.8470711892871089,368174.0,1.3981922260934569e-09,,,,5.518835372447833e-30,True,True
SA vs EC,RotBonds,4.167673716012085,3.125676926386519,1986.0,4.152654867256637,2.757158316567048,452.0,0.004906840507487864,negligible,SA higher,1.0036166860082378,435723.5,0.32875752580956985,,,,5.518835372447833e-30,True,False
SA vs EC,Rings,3.4224572004028198,1.100162206694453,1986.0,3.1969026548672566,0.9712903887755441,452.0,0.20933792108347274,small,SA higher,1.0705540862159686,497531.5,0.0001602905174928106,,,,5.518835372447833e-30,True,True
SA vs EC,Fsp3,0.36371237688627783,0.24935249470149964,1986.0,0.3521093116830233,0.22581894439160835,452.0,0.047327390510918325,negligible,SA higher,1.0329530200374248,457060.5,0.5424787978945247,,,,5.518835372447833e-30,True,False
SA vs CA,MW,279.41195921450156,80.93154738256202,1986.0,,,,0.14748780907009917,negligible,SA higher,1.0443854578480458,1193126.5,2.108005989107201e-05,267.5371981818182,79.75290022075815,1100.0,5.518835372447833e-30,True,False
SA vs CA,LogP,3.2825134038267896,1.4783000463908176,1986.0,,,,0.3219689759667462,small,SA higher,1.1678353200956886,1266978.0,1.7268488219639821e-13,2.8107673636363653,1.4412114076011822,1100.0,5.518835372447833e-30,True,True
