Comparison,Property,SA_Mean,SA_SD,SA_N,EC_Mean,EC_SD,EC_N,Cohens_d,Effect_Size,Direction,Fold_Change,U_Statistic,p_value,CA_Mean,CA_SD,CA_N,p_corrected,Significant,Practically_Significant
EC vs CA,HBD,,,,1.1924778761061947,0.9560803489538887,452.0,0.6493349073893756,medium,EC higher,1.9065779995883927,335082.0,2.2995147385199304e-31,0.6254545454545455,0.8368705912308284,1100.0,5.518835372447833e-30,True,True
SA vs EC,LogP,3.2825134038267896,1.4783000463908176,1986.0,2.6279595132743374,1.505447183918399,452.0,0.4412633021522573,small,SA higher,1.2490730497354212,557376.0,9.3186411461594e-16,,,,5.518835372447833e-30,True,True
SA vs EC,HBA,3.213997985901309,1.7823725246481517,1986.0,3.7942477876106193,1.784302732166621,452.0,-0.32548383022756805,small,SA lower,0.8470711892871089,368174.0,1.3981922260934569e-09,,,,5.518835372447833e-30,True,True
SA vs CA,LogP,3.2825134038267896,1.4783000463908176,1986.0,,,,0.3219689759667462,small,SA higher,1.1678353200956886,1266978.0,1.7268488219639821e-13,2.8107673636363653,1.4412114076011822,1100.0,5.518835372447833e-30,True,True
SA vs CA,HBD,0.9118831822759316,0.9225906894725334,1986.0,,,,0.3207530500107773,small,SA higher,1.4579527623597743,1295144.5,3.163636459784745e-20,0.6254545454545455,0.8368705912308284,1100.0,5.518835372447833e-30,True,True
SA vs EC,TPSA,32.08047834843907,18.344349121952927,1986.0,37.69006637168142,17.818632385350927,452.0,-0.30740566873779934,small,SA lower,0.851165345056088,368570.0,2.7988736620044526e-09,,,,5.518835372447833e-30,True,True
SA vs EC,HBD,0.9118831822759316,0.9225906894725334,1986.0,1.1924778761061947,0.9560803489538887,452.0,-0.3020778568303371,small,SA lower,0.7646961009067181,372073.5,1.6775259793862826e-09,,,,5.518835372447833e-30,True,True
SA vs CA,TPSA,32.08047834843907,18.344349121952927,1986.0,,,,-0.24766691226782292,small,SA lower,0.8643792812512978,986074.5,7.416123194176007e-06,37.113890909090905,23.478716626715098,1100.0,5.518835372447833e-30,True,True
SA vs CA,HBA,3.213997985901309,1.7823725246481517,1986.0,,,,-0.2439829071092802,small,SA lower,0.8712168024868014,981389.0,2.109489240757259e-06,3.689090909090909,2.2141223232553484,1100.0,5.518835372447833e-30,True,True
SA vs EC,Rings,3.4224572004028198,1.100162206694453,1986.0,3.1969026548672566,0.9712903887755441,452.0,0.20933792108347274,small,SA higher,1.0705540862159686,497531.5,0.0001602905174928106,,,,5.518835372447833e-30,True,True
