activity_metric,chemical_feature,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value,n_samples,correlation_strength,correlation_direction,pearson_corrected_p,spearman_corrected_p
avg_activity_rate_percent,rank,0.3912909127487505,3.2183504607515173e-103,0.5725091556768703,7.276219996375849e-244,2803,weak,positive,,
avg_activity_rate_percent,pathogen_count,,,,,2803,very_weak,negative,,
avg_activity_rate_percent,total_tp_count,-0.11440685031061712,1.2450205164717907e-09,-0.5192480816042481,2.311200177242307e-193,2803,very_weak,negative,,
avg_activity_rate_percent,total_tn_count,-0.15636625343597987,8.353033899676703e-17,-0.9747614914725055,0.0,2803,very_weak,negative,,
avg_activity_rate_percent,total_fp_count,,,,,2803,very_weak,negative,,
avg_activity_rate_percent,total_fn_count,,,,,2803,very_weak,negative,,
avg_activity_rate_percent,overall_avg_attribution,0.30728348395444727,2.3074814656003104e-62,0.41454609300175366,7.459681511254838e-117,2803,weak,positive,,
avg_activity_rate_percent,overall_max_attribution,0.09959278631396803,1.2669353411455436e-07,0.01702127044829656,0.3676804962569713,2803,very_weak,positive,,
avg_activity_rate_percent,SA_tp_count,-0.11685818056775585,5.456616087574606e-10,-0.5502492782078214,1.2072172931552759e-221,2803,very_weak,negative,,
avg_activity_rate_percent,SA_tn_count,-0.14150088875679268,5.228307092899797e-14,-0.7912914326320994,0.0,2803,very_weak,negative,,
avg_activity_rate_percent,SA_total_count,-0.11963274778271216,2.1010733321250062e-10,-0.5847028380323477,8.906021561781641e-257,2803,very_weak,negative,,
avg_activity_rate_percent,EC_tp_count,-0.10639131258506701,1.640016385544823e-08,-0.3989161979748064,1.4332589916769996e-107,2803,very_weak,negative,,
avg_activity_rate_percent,EC_tn_count,-0.17395977808697383,1.7477107169332293e-20,-0.8389236638868157,0.0,2803,very_weak,negative,,
avg_activity_rate_percent,EC_total_count,-0.11806736857325625,3.6096270325386605e-10,-0.5011055675860111,4.007881581023491e-178,2803,very_weak,negative,,
avg_activity_rate_percent,CA_tp_count,-0.11166466998749001,3.0699541605771575e-09,-0.3205744965777999,5.176981854422665e-68,2803,very_weak,negative,,
avg_activity_rate_percent,CA_tn_count,-0.1461197320602795,7.581773629383791e-15,-0.7636667019357576,0.0,2803,very_weak,negative,,
avg_activity_rate_percent,CA_total_count,-0.12062352130093845,1.4863305318974852e-10,-0.4148977186740822,4.551065069848554e-117,2803,very_weak,negative,,
avg_activity_rate_percent,molecular_weight,0.45848401474971245,9.621295843668408e-146,0.60422187513854,1.2613808919620886e-278,2803,weak,positive,,
avg_activity_rate_percent,logp,0.27332503044411166,3.2664437269123127e-49,0.35542320195069477,3.065679571810796e-84,2803,very_weak,positive,,
avg_activity_rate_percent,tpsa,0.30565725945021305,1.0827861917018582e-61,0.39600914576258983,6.741338839267258e-106,2803,weak,positive,,
avg_activity_rate_percent,num_hbd,0.16181796033209558,6.681666168015405e-18,0.17195006533119095,4.822468545137629e-20,2803,very_weak,positive,,
avg_activity_rate_percent,num_hba,0.3722272185465594,7.83445408399311e-93,0.49030496896665854,1.7674693678104476e-169,2803,weak,positive,,
avg_activity_rate_percent,num_rotatable_bonds,0.3474900964047255,2.3227534946392587e-80,0.4761444575863348,1.320425933572152e-158,2803,weak,positive,,
avg_activity_rate_percent,num_atoms,0.4453066649648901,1.2563252515084864e-136,0.5883338573128494,9.949316554323992e-261,2803,weak,positive,,
avg_activity_rate_percent,num_heavy_atoms,0.4453066649648901,1.2563252515084864e-136,0.5883338573128494,9.949316554323992e-261,2803,weak,positive,,
avg_activity_rate_percent,num_rings,0.38476836931089065,1.3787098049198579e-99,0.5279754756864513,4.9842216635011424e-201,2803,weak,positive,,
avg_activity_rate_percent,num_aromatic_rings,0.35351897344369965,2.6788471156907568e-83,0.46222332575677494,2.101688684543787e-148,2803,weak,positive,,
avg_activity_rate_percent,num_aliphatic_rings,0.1219444999374124,9.327993776640468e-11,0.17949957090683566,9.99479475585569e-22,2803,very_weak,positive,,
