Category,Property,N,Mean,SD,Mean_SD
SA_only,MW,2332,268.20472813036025,84.98718543781551,268.20 ± 84.99
SA_only,LogP,2332,3.0029978344768455,1.613524787852697,3.00 ± 1.61
SA_only,TPSA,2332,35.08715694682676,21.731600193136632,35.09 ± 21.73
SA_only,HBD,2332,1.001286449399657,0.9896495964461091,1.00 ± 0.99
SA_only,HBA,2332,3.1569468267581473,1.7629288865015669,3.16 ± 1.76
SA_only,RotBonds,2332,3.9463979416809605,3.027281908587041,3.95 ± 3.03
SA_only,Rings,2332,3.1239279588336193,1.3052356076110705,3.12 ± 1.31
SA_only,Fsp3,2332,0.3729874935940367,0.2616832424888978,0.37 ± 0.26
EC_only,MW,537,256.9092748802011,81.9382856300968,256.91 ± 81.94
EC_only,LogP,537,2.3275997951582883,1.6814177877535463,2.33 ± 1.68
EC_only,TPSA,537,42.17070763500931,23.467821336977334,42.17 ± 23.47
EC_only,HBD,537,1.2849162011173185,1.028881276628884,1.28 ± 1.03
EC_only,HBA,537,3.713221601489758,1.8016556060513027,3.71 ± 1.80
EC_only,RotBonds,537,3.9385474860335195,2.6692598011933923,3.94 ± 2.67
EC_only,Rings,537,2.8715083798882683,1.221796815903237,2.87 ± 1.22
EC_only,Fsp3,537,0.3606202557719043,0.24209863040797502,0.36 ± 0.24
CA_only,MW,1234,260.5277925445705,80.89959332403495,260.53 ± 80.90
CA_only,LogP,1234,2.6932107293354957,1.4847700966967543,2.69 ± 1.48
CA_only,TPSA,1234,38.017998379254465,23.833548814910685,38.02 ± 23.83
CA_only,HBD,1234,0.6685575364667747,0.8387609293026613,0.67 ± 0.84
CA_only,HBA,1234,3.615072933549433,2.188252874669742,3.62 ± 2.19
CA_only,RotBonds,1234,4.167747163695299,2.7098505145345815,4.17 ± 2.71
CA_only,Rings,1234,3.0307941653160455,1.1731069448561546,3.03 ± 1.17
CA_only,Fsp3,1234,0.4048802061171439,0.3030425751510651,0.40 ± 0.30
SA_EC,MW,5650,268.9388207079647,87.98134624840232,268.94 ± 87.98
SA_EC,LogP,5650,2.7004086194690275,1.6881212190749635,2.70 ± 1.69
SA_EC,TPSA,5650,40.072661946902656,23.081182390783518,40.07 ± 23.08
SA_EC,HBD,5650,1.2129203539823008,1.028953894430181,1.21 ± 1.03
SA_EC,HBA,5650,3.7295575221238937,1.8853096873102593,3.73 ± 1.89
SA_EC,RotBonds,5650,4.0615929203539824,2.7347661597682076,4.06 ± 2.73
SA_EC,Rings,5650,3.153451327433628,1.3945470581710535,3.15 ± 1.39
SA_EC,Fsp3,5650,0.3669117573852155,0.2525646365644204,0.37 ± 0.25
SA_CA,MW,289,295.8384809688582,111.01538345953317,295.84 ± 111.02
SA_CA,LogP,289,4.355579584775089,1.8447419456306833,4.36 ± 1.84
SA_CA,TPSA,289,26.14916955017301,19.737789280890787,26.15 ± 19.74
SA_CA,HBD,289,0.8685121107266436,1.3083644638117167,0.87 ± 1.31
SA_CA,HBA,289,2.1453287197231834,1.5984977689263726,2.15 ± 1.60
SA_CA,RotBonds,289,5.259515570934256,6.082059322124948,5.26 ± 6.08
SA_CA,Rings,289,3.3217993079584773,1.442259830237321,3.32 ± 1.44
SA_CA,Fsp3,289,0.35139777882226947,0.24960963886212353,0.35 ± 0.25
EC_CA,MW,148,256.76439189189193,74.2407999232682,256.76 ± 74.24
EC_CA,LogP,148,2.867902702702704,1.678334974331632,2.87 ± 1.68
EC_CA,TPSA,148,40.77148648648649,16.180814765728254,40.77 ± 16.18
EC_CA,HBD,148,0.9662162162162162,0.9215156144973651,0.97 ± 0.92
EC_CA,HBA,148,3.6486486486486487,1.427927782930029,3.65 ± 1.43
EC_CA,RotBonds,148,3.810810810810811,2.7487816753350645,3.81 ± 2.75
EC_CA,Rings,148,2.7972972972972974,1.355058346307423,2.80 ± 1.36
EC_CA,Fsp3,148,0.24201243586062396,0.24715016328989334,0.24 ± 0.25
TRIPLE,MW,2803,215.49990688547987,98.29492463364534,215.50 ± 98.29
TRIPLE,LogP,2803,2.569364181234393,1.7561563013320753,2.57 ± 1.76
TRIPLE,TPSA,2803,31.627113806635748,21.58778118319538,31.63 ± 21.59
TRIPLE,HBD,2803,0.7905815198002141,0.8897206917871828,0.79 ± 0.89
TRIPLE,HBA,2803,2.6821262932572245,1.7859966164845567,2.68 ± 1.79
TRIPLE,RotBonds,2803,2.723510524438102,2.4573972187675315,2.72 ± 2.46
TRIPLE,Rings,2803,2.450945415626115,1.467225210949627,2.45 ± 1.47
TRIPLE,Fsp3,2803,0.2790506076059485,0.2903310145560935,0.28 ± 0.29
