Comparison,Property,Triple_Mean,Triple_SD,Triple_N,Single_Mean,Single_SD,Single_N,Cohens_d,Effect_Size,Fold_Change,U_Statistic,p_value,p_corrected,Significant,Practically_Significant
TRIPLE vs SA_only,MW,215.49990688547987,98.29492463364534,2803,268.20472813036025,84.98718543781551,2332,-0.5698481045544385,medium,0.803490335117197,2197235.5,3.5796935211832196e-91,1.5180448186863427e-130,True,True
TRIPLE vs SA_only,LogP,2.569364181234393,1.7561563013320753,2803,3.0029978344768455,1.613524787852697,2332,-0.25615226068305597,small,0.8555997449402103,2774962.0,1.0885036875630288e-20,1.5180448186863427e-130,True,False
TRIPLE vs SA_only,TPSA,31.627113806635748,21.58778118319538,2803,35.08715694682676,21.731600193136632,2332,-0.15979353748382824,negligible,0.9013871900355286,2973737.0,2.544975689440257e-08,1.5180448186863427e-130,True,False
TRIPLE vs SA_only,HBD,0.7905815198002141,0.8897206917871828,2803,1.001286449399657,0.9896495964461091,2332,-0.22501038664164638,small,0.7895657833722053,2881481.0,5.893586973847375e-15,1.5180448186863427e-130,True,False
TRIPLE vs SA_only,HBA,2.6821262932572245,1.7859966164845567,2803,3.1569468267581473,1.7629288865015669,2332,-0.2674204223862019,small,0.8495950170980505,2756637.0,9.594622230240071e-23,1.5180448186863427e-130,True,False
TRIPLE vs SA_only,RotBonds,2.723510524438102,2.4573972187675315,2803,3.9463979416809605,3.027281908587041,2332,-0.4477844532601933,small,0.6901256702151096,2477724.0,2.1903914266224663e-51,1.5180448186863427e-130,True,True
TRIPLE vs SA_only,Rings,2.450945415626115,1.467225210949627,2803,3.1239279588336193,1.3052356076110705,2332,-0.482081178760586,small,0.7845716828057789,2342612.5,7.567703760260856e-72,1.5180448186863427e-130,True,True
TRIPLE vs SA_only,Fsp3,0.2790506076059485,0.2903310145560935,2803,0.3729874935940367,0.2616832424888978,2332,-0.338282073169435,small,0.7481500382682267,2422405.0,9.629581435178789e-58,1.5180448186863427e-130,True,True
TRIPLE vs EC_only,MW,215.49990688547987,98.29492463364534,2803,256.9092748802011,81.9382856300968,537,-0.431992232375975,small,0.8388171543669228,549379.5,3.166552835247629e-23,1.5180448186863427e-130,True,True
TRIPLE vs EC_only,LogP,2.569364181234393,1.7561563013320753,2803,2.3275997951582883,1.6814177877535463,537,0.13859688631138897,negligible,1.1038685372713153,803186.0,0.013482200890128504,1.5180448186863427e-130,True,False
TRIPLE vs EC_only,TPSA,31.627113806635748,21.58778118319538,2803,42.17070763500931,23.467821336977334,537,-0.4814305782219392,small,0.7499782569543493,557086.0,1.2476264385586496e-21,1.5180448186863427e-130,True,True
TRIPLE vs EC_only,HBD,0.7905815198002141,0.8897206917871828,2803,1.2849162011173185,1.028881276628884,537,-0.5411457960359448,medium,0.6152786610619057,543167.5,7.918053357018818e-28,1.5180448186863427e-130,True,True
TRIPLE vs EC_only,HBA,2.6821262932572245,1.7859966164845567,2803,3.713221601489758,1.8016556060513027,537,-0.5765074666975446,medium,0.7223178633295535,512327.0,1.1215049933486525e-32,1.5180448186863427e-130,True,True
TRIPLE vs EC_only,RotBonds,2.723510524438102,2.4573972187675315,2803,3.9385474860335195,2.6692598011933923,537,-0.48745159610909494,small,0.691501253722582,545212.0,1.383579424432765e-24,1.5180448186863427e-130,True,True
TRIPLE vs EC_only,Rings,2.450945415626115,1.467225210949627,2803,2.8715083798882683,1.221796815903237,537,-0.29396514658685446,small,0.8535393568036469,603558.0,9.203689367985295e-14,1.5180448186863427e-130,True,False
TRIPLE vs EC_only,Fsp3,0.2790506076059485,0.2903310145560935,2803,0.3606202557719043,0.24209863040797502,537,-0.2880890754039957,small,0.7738073586816228,553095.0,1.469900669585538e-22,1.5180448186863427e-130,True,False
TRIPLE vs CA_only,MW,215.49990688547987,98.29492463364534,2803,260.5277925445705,80.89959332403495,1234,-0.4824899651483976,small,0.8271666710898518,1222121.0,5.115245985829941e-50,1.5180448186863427e-130,True,True
TRIPLE vs CA_only,LogP,2.569364181234393,1.7561563013320753,2803,2.6932107293354957,1.4847700966967543,1234,-0.07381084997594187,negligible,0.9540152774708203,1629022.5,0.0032431686351619532,1.5180448186863427e-130,True,False
TRIPLE vs CA_only,TPSA,31.627113806635748,21.58778118319538,2803,38.017998379254465,23.833548814910685,1234,-0.286611874054537,small,0.8318984469180768,1474292.0,7.357846915341806e-14,1.5180448186863427e-130,True,False
TRIPLE vs CA_only,HBD,0.7905815198002141,0.8897206917871828,2803,0.6685575364667747,0.8387609293026613,1234,0.139541501211804,negligible,1.182518297495108,1861906.0,2.4820384100896193e-05,1.5180448186863427e-130,True,False
TRIPLE vs CA_only,HBA,2.6821262932572245,1.7859966164845567,2803,3.615072933549433,2.188252874669742,1234,-0.4864445299052598,small,0.7419286809861948,1303981.0,1.2057258578302116e-36,1.5180448186863427e-130,True,True
TRIPLE vs CA_only,RotBonds,2.723510524438102,2.4573972187675315,2803,4.167747163695299,2.7098505145345815,1234,-0.5692229151172032,medium,0.6534730676952397,1151301.5,1.5802947484366508e-65,1.5180448186863427e-130,True,True
TRIPLE vs CA_only,Rings,2.450945415626115,1.467225210949627,2803,3.0307941653160455,1.1731069448561546,1234,-0.41896667661709935,small,0.8086809205568517,1283261.0,5.625331028226652e-41,1.5180448186863427e-130,True,True
TRIPLE vs CA_only,Fsp3,0.2790506076059485,0.2903310145560935,2803,0.4048802061171439,0.3030425751510651,1234,-0.42759386471413957,small,0.689217707830377,1234657.5,7.74475707749785e-48,1.5180448186863427e-130,True,True
TRIPLE vs SA_EC,MW,215.49990688547987,98.29492463364534,2803,268.9388207079647,87.98134624840232,5650,-0.5838418832931597,medium,0.8012971363456931,5333884.0,3.162593372263214e-132,1.5180448186863427e-130,True,True
TRIPLE vs SA_EC,LogP,2.569364181234393,1.7561563013320753,2803,2.7004086194690275,1.6881212190749635,5650,-0.07659034160150083,negligible,0.9514723670744314,7493936.0,5.839333749960188e-05,1.6693315099826091e-127,True,False
TRIPLE vs SA_EC,TPSA,31.627113806635748,21.58778118319538,2803,40.072661946902656,23.081182390783518,5650,-0.3737468911832186,small,0.7892441447623948,6198658.5,1.2900751521921018e-59,1.6693315099826091e-127,True,True
